,Country,Industry,Model,Stat,M=1,M=2,M=3,M=4,M=5,M=6,M=7,M=8,M=9,M=10,T
6,Chile,Fabricated metal products,Ar1 k,LR,196.5808,37.2919,-,-,-,-,-,-,-,-,5
7,Chile,Fabricated metal products,Ar1 k,LR Crit,"26.5, 29.6, 32.7","23.8, 26.5, 30.7","21.6, 23.3, 26.9",-,-,-,-,-,-,-,5
6,Chile,Fabricated metal products,Ar1 k mixture,LR,133.4047,26.5363,-,-,-,-,-,-,-,-,3
6,Chile,Fabricated metal products,Ar1 k mixture,LR,196.5406,-42.8673,-,-,-,-,-,-,-,-,5
7,Chile,Fabricated metal products,Ar1 k mixture,LR Crit,"84.9, 95.9, 123.0","68.8, 77.7, 104.4",-,-,-,-,-,-,-,-,3
7,Chile,Fabricated metal products,Ar1 k mixture,LR Crit,"688.0, 720.7, 755.5",-,-,-,-,-,-,-,-,-,5
6,Chile,Fabricated metal products,Ar1 plain,LR,155.2995,28.7050,21.3971,14.4669,-,-,-,-,-,-,3
6,Chile,Fabricated metal products,Ar1 plain,LR,183.4093,14.6856,-21.9556,32.5080,-,-,-,-,-,-,5
7,Chile,Fabricated metal products,Ar1 plain,LR Crit,"16.7, 18.1, 23.5","19.2, 20.8, 23.8","19.2, 20.8, 22.6","17.6, 19.4, 23.0",-,-,-,-,-,-,3
7,Chile,Fabricated metal products,Ar1 plain,LR Crit,"16.6, 18.0, 21.1","14.6, 15.7, 18.9",-,-,-,-,-,-,-,-,5
6,Chile,Fabricated metal products,Ar1 plain mixture,LR,164.3702,25.7938,-,-,-,-,-,-,-,-,3
6,Chile,Fabricated metal products,Ar1 plain mixture,LR,183.3371,-42.8350,-,-,-,-,-,-,-,-,5
7,Chile,Fabricated metal products,Ar1 plain mixture,LR Crit,"75.6, 99.4, 123.3","52.1, 74.1, 107.5",-,-,-,-,-,-,-,-,3
7,Chile,Fabricated metal products,Ar1 plain mixture,LR Crit,"437.3, 458.6, 555.6",-,-,-,-,-,-,-,-,-,5
