Industry,Specification,Model Type,Alpha,Alpha SE,Mu,Mu SE,Rho,Rho SE,Beta,Beta SE
Food products,Stationary Mixture,stationary_mixture,[0.159 0.841],[0.035 0.965],[-2.472 -0.887 -0.47  -0.45 ],[1.115 0.067 0.012 0.011],0.0,0.0,[],[]
Food products,Stationary Mixture kmshare ciiu,stationary_mixture,[0.2 0.8],[0.055 0.945],[-2.476 -0.925 -0.514 -0.507],[0.176 0.094 0.014 0.014],0.0,0.0,"[[-0.008  0.036]
 [-0.035  0.2  ]]","[[0.096 0.343]
 [0.01  0.079]]"
Food products,Stationary Normal,stationary_normal,[0.17 0.83],[0.033 0.967],[-0.936 -0.465],[0.07  0.011],0.0,0.0,[],[]
Food products,Stationary Normal kmshare ciiu,stationary_normal,[0.201 0.799],[0.039 0.961],[-0.994 -0.518],[0.089 0.012],0.0,0.0,"[[-0.001  0.1  ]
 [-0.037  0.212]]","[[0.056 0.219]
 [0.01  0.08 ]]"
Food products,AR1 Normal,ar1_normal,[0.205 0.795],[0.028 0.972],[-0.855 -0.521],[0.109 0.058],[0.537 0.816],[0.164 0.029],[],[]
Food products,AR1 Normal kmshare ciiu,ar1_normal,[0.204 0.796],[0.036 0.964],[-0.984 -0.556],[0.201 0.075],[0.548 0.78 ],[0.104 0.035],"[[ 0.043  0.033]
 [-0.03   0.121]]","[[0.012 0.2  ]
 [0.551 0.079]]"
Food products,AR1 Mixture,ar1_mixture,[0.205 0.795],[0.028 0.972],[-0.858 -0.857 -0.539 -0.474],[0.062 0.034 0.028 0.053],[0.536 0.808],[0.164 0.03 ],[],[]
Food products,AR1 Mixture kmshare ciiu,ar1_mixture,[0.43 0.57],[nan nan],[-1494.574 -1494.574    -1.522    -1.522],[nan nan nan nan],[0.99  0.989],[nan nan],"[[28.091  8.996]
 [-0.031  0.293]]","[[nan nan]
 [nan nan]]"
Fabricated metal products,Stationary Mixture,stationary_mixture,[0.249 0.751],[0.143 0.857],[-1.145 -1.142 -1.115 -0.433],[0.202 0.202 0.202 0.059],0.0,0.0,[],[]
Fabricated metal products,Stationary Mixture kmshare ciiu,stationary_mixture,[0.355 0.645],[0.083 0.917],[-0.917 -0.895 -0.744 -0.355],[0.079 0.074 0.218 0.052],0.0,0.0,"[[ 0.202 -0.565]
 [ 0.018 -0.082]]","[[0.05  0.193]
 [0.022 0.101]]"
Fabricated metal products,Stationary Normal,stationary_normal,[0.349 0.651],[0.052 0.948],[-1.022 -0.434],[0.061 0.026],0.0,0.0,[],[]
Fabricated metal products,Stationary Normal kmshare ciiu,stationary_normal,[0.383 0.617],[0.054 0.946],[-0.899 -0.383],[0.058 0.037],0.0,0.0,"[[ 0.196 -0.557]
 [ 0.018 -0.09 ]]","[[0.044 0.174]
 [0.022 0.094]]"
Fabricated metal products,AR1 Normal,ar1_normal,[0.359 0.641],[0.128 0.872],[-0.883 -0.419],[0.102 0.037],[0.472 0.579],[0.117 0.072],[],[]
Fabricated metal products,AR1 Normal kmshare ciiu,ar1_normal,[0.353 0.647],[0.394 0.606],[-0.786 -0.427],[1.158 1.392],[0.502 0.568],[0.461 0.599],"[[ 0.185 -1.036]
 [ 0.017 -0.013]]","[[ 0.51   1.054]
 [ 0.47  10.59 ]]"
Fabricated metal products,AR1 Mixture,ar1_mixture,[0.344 0.656],[0.117 0.883],[-0.916 -0.855 -0.426 -0.411],[0.143 0.127 0.052 0.068],[0.466 0.585],[0.134 0.072],[],[]
Fabricated metal products,AR1 Mixture kmshare ciiu,ar1_mixture,[0.366 0.634],[0.085 0.915],[-0.796 -0.741 -0.439 -0.389],[0.03  0.32  0.029 0.12 ],[0.503 0.551],[0.081 0.118],"[[ 0.18  -1.027]
 [ 0.015  0.008]]","[[0.067 0.236]
 [0.038 0.185]]"
Textiles,Stationary Mixture,stationary_mixture,[0.361 0.639],[0.085 0.915],[-3.029 -0.988 -0.594 -0.242],[0.119 0.074 0.055 0.041],0.0,0.0,[],[]
Textiles,Stationary Mixture kmshare ciiu,stationary_mixture,[0.342 0.658],[0.313 0.687],[-3.03  -0.985 -0.588 -0.234],[5.189 0.332 0.127 0.097],0.0,0.0,"[[ 0.068 -0.105]
 [-0.032 -0.093]]","[[0.336 0.861]
 [0.084 0.52 ]]"
Textiles,Stationary Normal,stationary_normal,[0.239 0.761],[0.127 0.873],[-1.191 -0.48 ],[0.223 0.07 ],0.0,0.0,[],[]
Textiles,Stationary Normal kmshare ciiu,stationary_normal,[0.23 0.77],[0.099 0.901],[-1.202 -0.467],[0.179 0.057],0.0,0.0,"[[ 0.211  0.009]
 [-0.036 -0.062]]","[[0.16  0.223]
 [0.027 0.093]]"
Textiles,AR1 Normal,ar1_normal,[0.142 0.858],[0.053 0.947],[-1.125 -0.411],[0.209 0.036],[0.497 0.822],[0.25  0.045],[],[]
Textiles,AR1 Normal kmshare ciiu,ar1_normal,[0.11 0.89],[0.183 0.817],[-1.009 -0.371],[6.057 1.149],[0.418 0.823],[4.891 0.398],"[[ 0.376 -0.536]
 [-0.026 -0.285]]","[[1.764 4.038]
 [4.017 1.237]]"
Textiles,AR1 Mixture,ar1_mixture,[0.148 0.852],[0.082 0.918],[-1.13  -1.125 -0.526 -0.328],[0.684 0.082 0.172 0.054],[0.496 0.798],[0.249 0.028],[],[]
Textiles,AR1 Mixture kmshare ciiu,ar1_mixture,[0.106 0.894],[0.116 0.884],[-1.074 -0.976 -0.479 -0.294],[0.056 0.164 0.196 0.07 ],[0.407 0.806],[0.384 0.056],"[[ 0.384 -0.52 ]
 [-0.024 -0.284]]","[[0.552 0.532]
 [0.061 0.173]]"
