Industry,Specification,Model Type,Alpha,Alpha SE,Mu,Mu SE,Rho,Rho SE,Beta,Beta SE,Sigma,Sigma SE,Mubar,Mubar SE
Food products,Stationary Mixture,stationary_mixture,[0.136 0.451 0.413],[0.21  0.21  0.283 0.283 0.158 0.158],[-0.956 -0.946 -0.844 -0.568 -0.405 -0.229],[0.096 0.096 0.143 0.041 0.029 0.019],0.0,0.0,[],[],[0.583 0.113 0.096],[0.088 0.026 0.005],[-0.952 -0.599 -0.352],[0.21  0.181 0.133]
Food products,Stationary Mixture kmshare ciiu,stationary_mixture,[0.158 0.45  0.392],[0.149 0.149 0.135 0.135 0.191 0.191],[-1.269 -0.927 -0.467 -0.305 -0.662 -0.657],[0.256 0.178 0.064 0.041 0.032 0.032],0.0,0.0,"[[ 0.011 -0.426]
 [-0.035  0.122]
 [-0.073  0.039]]","[[0.06  0.513]
 [0.047 1.063]
 [0.034 0.288]]",[0.551 0.088 0.136],[0.152 0.014 0.025],[-1.034 -0.437 -0.661],[0.255 0.248 0.189]
Food products,Stationary Normal,stationary_normal,[0.171 0.457 0.371],[0.031 0.053 0.916],[-0.917 -0.571 -0.341],[0.063 0.025 0.022],0.0,0.0,[],[],[0.532 0.127 0.125],[0.083 0.01  0.006],0.0,0.0
Food products,Stationary Normal kmshare ciiu,stationary_normal,[0.169 0.463 0.368],[0.033 0.052 0.915],[-0.91  -0.569 -0.335],[0.069 0.023 0.023],0.0,0.0,"[[ 0.005 -0.17 ]
 [ 0.013  0.077]
 [ 0.012 -0.063]]","[[0.048 0.208]
 [0.019 0.065]
 [0.018 0.089]]",[0.535 0.128 0.124],[0.086 0.011 0.006],0.0,0.0
Food products,AR1 Normal,ar1_normal,[0.05  0.293 0.658],[0.045 0.06  0.894],[-1.413 -0.624 -0.538],[0.571 0.065 0.118],[0.371 0.509 0.871],[0.348 0.151 0.051],[],[],[0.883 0.268 0.094],[0.316 0.064 0.011],0.0,0.0
Food products,AR1 Normal kmshare ciiu,ar1_normal,[0.05  0.312 0.638],[0.027 0.09  0.883],[-1.363 -0.614 -0.545],[0.467 0.381 0.086],[0.38  0.516 0.883],[0.097 0.224 0.026],"[[ 0.11  -0.471]
 [ 0.058 -0.046]
 [ 0.022 -0.098]]","[[0.598 0.578]
 [0.611 0.051]
 [0.074 0.052]]",[0.865 0.258 0.091],[0.485 0.057 0.013],0.0,0.0
Food products,AR1 Mixture,ar1_mixture,[0.049 0.76  0.19 ],[0.106 0.106 0.253 0.253 0.224 0.224],[-1.602 -1.552 -0.493 -0.021 -0.863 -0.428],[0.872 0.916 0.023 0.031 0.16  0.296],[0.446 0.574 0.01 ],[0.462 0.057 0.275],[],[],[0.875 0.107 0.224],[0.212 0.005 0.073],[-1.577 -0.463 -0.75 ],[1.273 2.575 0.174]
Food products,AR1 Mixture kmshare ciiu,ar1_mixture,[0.048 0.401 0.551],[0.078 0.078 0.055 0.055 0.073 0.073],[ -1.582  -1.582  -1.874  -1.874 -63.249 -63.249],[ 0.111  0.111  3.939  3.925 87.032 87.032],[0.99 0.99 0.99],[0.247 0.16  0.015],"[[ 0.     0.   ]
 [-0.053  0.468]
 [ 0.337  0.142]]","[[ 1.941  0.968]
 [ 2.103  6.409]
 [ 0.181 10.074]]",[0.041 0.11  0.47 ],[0.022 0.486 1.609],[ -1.582  -1.874 -63.249],[0.552 1.107 1.292]
Fabricated metal products,Stationary Mixture,stationary_mixture,[0.277 0.256 0.467],[0.266 0.266 0.307 0.307 0.215 0.215],[-1.094 -1.071 -0.483 -0.195 -0.991 -0.54 ],[0.202 0.201 0.223 0.066 0.091 0.039],0.0,0.0,[],[],[0.465 0.17  0.174],[0.06  0.054 0.078],[-1.086 -0.251 -0.589],[0.26  0.2   0.223]
Fabricated metal products,Stationary Mixture kmshare ciiu,stationary_mixture,[0.35  0.185 0.465],[0.178 0.178 0.228 0.228 0.101 0.101],[-1.429 -0.904 -0.26  -0.07  -0.551 -0.16 ],[0.162 0.18  0.185 0.226 0.09  0.117],0.0,0.0,"[[ 0.178 -0.502]
 [ 0.095 -1.655]
 [-0.002  0.152]]","[[0.065 0.319]
 [0.066 0.875]
 [0.034 0.138]]",[0.385 0.111 0.187],[0.041 0.06  0.026],[-0.979 -0.168 -0.509],[0.323 0.214 0.234]
Fabricated metal products,Stationary Normal,stationary_normal,[0.352 0.403 0.245],[0.049 0.058 0.893],[-1.01  -0.557 -0.242],[0.059 0.025 0.03 ],0.0,0.0,[],[],[0.464 0.187 0.195],[0.034 0.02  0.019],0.0,0.0
Fabricated metal products,Stationary Normal kmshare ciiu,stationary_normal,[0.36  0.407 0.233],[0.08  0.067 0.853],[-1.031 -0.558 -0.231],[0.072 0.038 0.052],0.0,0.0,"[[-0.032  0.224]
 [-0.037  0.172]
 [ 0.029 -0.112]]","[[0.038 0.18 ]
 [0.016 0.125]
 [0.015 0.085]]",[0.458 0.182 0.193],[0.032 0.032 0.047],0.0,0.0
Fabricated metal products,AR1 Normal,ar1_normal,[0.178 0.208 0.614],[0.101 0.138 0.761],[-0.79  -0.568 -0.416],[0.087 0.32  0.037],[0.231 0.866 0.526],[0.149 0.103 0.059],[],[],[0.554 0.26  0.216],[0.117 0.06  0.02 ],0.0,0.0
Fabricated metal products,AR1 Normal kmshare ciiu,ar1_normal,[0.068 0.237 0.695],[0.055 0.139 0.806],[-1.682 -0.854 -0.426],[0.775 2.559 2.409],[0.851 0.322 0.567],[0.035 1.99  1.846],"[[ 0.39   0.012]
 [-0.088  0.239]
 [ 0.034 -0.035]]","[[0.193 7.575]
 [0.881 2.279]
 [0.8   0.11 ]]",[0.157 0.501 0.216],[0.16  0.192 0.106],0.0,0.0
Fabricated metal products,AR1 Mixture,ar1_mixture,[0.427 0.394 0.179],[0.209 0.209 0.206 0.206 0.145 0.145],[-0.859 -0.81  -0.532 -0.525 -0.253 -0.137],[0.147 0.203 0.056 0.055 0.043 0.051],[0.494 0.136 0.01 ],[0.127 0.197 0.138],[],[],[0.442 0.165 0.138],[0.041 0.024 0.042],[-0.846 -0.531 -0.185],[0.222 0.311 0.65 ]
Fabricated metal products,AR1 Mixture kmshare ciiu,ar1_mixture,[0.151 0.486 0.362],[0.145 0.145 0.142 0.142 0.124 0.124],[-0.139 -0.139 -0.791 -0.759 -0.597 -0.415],[0.271 0.271 4.139 3.74  0.33  0.178],[0.335 0.532 0.01 ],[0.511 2.514 0.584],"[[ 0.027 -0.115]
 [-0.021  0.033]
 [-0.005  0.129]]","[[0.167 2.648]
 [0.702 2.069]
 [1.298 1.041]]",[0.111 0.431 0.131],[0.543 0.171 0.088],[-0.139 -0.786 -0.538],[1.043 0.545 2.185]
Textiles,Stationary Mixture,stationary_mixture,[0.433 0.056 0.511],[0.224 0.224 0.268 0.268 0.185 0.185],[-1.262 -0.791 -1.773 -1.674 -0.523 -0.242],[0.399 0.393 1.111 1.076 0.126 0.152],0.0,0.0,[],[],[0.207 0.947 0.169],[0.203 0.544 0.047],[-0.862 -1.724 -0.353],[0.51  0.458 0.467]
Textiles,Stationary Mixture kmshare ciiu,stationary_mixture,[0.459 0.115 0.426],[0.114 0.114 0.204 0.204 0.07  0.07 ],[-0.739 -0.733 -1.41  -1.398 -0.41  -0.119],[13.912 13.914  5.131  5.129  1.624  1.7  ],0.0,0.0,"[[-0.075  0.034]
 [ 0.217  0.507]
 [-0.041 -0.1  ]]","[[13.279  7.113]
 [ 5.073 13.492]
 [ 1.933  1.293]]",[0.239 0.728 0.134],[0.944 0.372 0.157],[-0.739 -1.405 -0.256],[0.504 0.318 0.305]
Textiles,Stationary Normal,stationary_normal,[0.418 0.082 0.5  ],[0.074 0.103 0.823],[-0.835 -1.549 -0.348],[0.137 0.597 0.056],0.0,0.0,[],[],[0.248 0.855 0.216],[0.077 0.459 0.019],0.0,0.0
Textiles,Stationary Normal kmshare ciiu,stationary_normal,[0.071 0.423 0.506],[0.074 0.067 0.86 ],[-6.608 -1.155 -0.77 ],[8.932 1.446 1.588],0.0,0.0,"[[ 4.553 -2.637]
 [ 0.277  0.032]
 [ 0.377  0.193]]","[[7.838 6.433]
 [1.37  0.833]
 [1.491 0.91 ]]",[0.844 0.255 0.213],[0.332 0.056 0.019],0.0,0.0
Textiles,AR1 Normal,ar1_normal,[0.058 0.579 0.364],[0.053 0.274 0.673],[-1.305 -0.724 -0.048],[0.407 0.133 0.147],[0.474 0.632 0.857],[0.302 0.081 0.182],[],[],[0.822 0.28  0.111],[0.379 0.084 0.051],0.0,0.0
Textiles,AR1 Normal kmshare ciiu,ar1_normal,[0.066 0.876 0.058],[nan nan nan],[-217.321   -2.625  186.295],[nan nan nan],[0.741 0.826 0.837],[nan nan nan],"[[ 190.917 -114.788]
 [   1.882   -0.802]
 [-159.733   79.702]]","[[nan nan]
 [nan nan]
 [nan nan]]",[0.298 0.204 0.262],[nan nan nan],0.0,0.0
Textiles,AR1 Mixture,ar1_mixture,[0.53  0.419 0.051],[0.226 0.226 0.188 0.188 0.1   0.1  ],[-0.867 -0.84  -0.556 -0.274 -0.     0.024],[1.044 0.066 0.054 0.082 0.035 0.032],[0.599 0.01  0.21 ],[0.045 0.39  0.111],[],[],[0.38  0.115 0.055],[0.053 0.052 0.008],[-0.842 -0.389  0.012],[0.491 0.382 0.521]
Textiles,AR1 Mixture kmshare ciiu,ar1_mixture,[0.421 0.158 0.421],[0.067 0.067 0.093 0.093 0.111 0.111],[ -1.199  -1.199 -11.923 -11.91   -1.199  -1.199],[ 1.946  1.946  0.     0.    26.845 26.845],[0.818 0.487 0.818],[0.008 0.    0.143],"[[ 0.666 -0.107]
 [ 9.81  -7.372]
 [ 0.666 -0.107]]","[[ 4.924  0.   ]
 [30.264  0.   ]
 [ 0.53   0.   ]]",[0.196 0.574 0.196],[0.028 0.    0.062],[ -1.199 -11.914  -1.199],[0.602 0.546 0.656]
