Industry,Specification,Model Type,Alpha,Alpha SE,Mu,Mu SE,Rho,Rho SE,Beta,Beta SE,Sigma,Sigma SE,Mubar,Mubar SE
Food products,Stationary Mixture,stationary_mixture,[0.16  0.841],[0.115 0.115],[-2.472 -0.887 -0.471 -0.433],[0.595 0.169 0.152 0.119],0.0,0.0,[],[],[0.348 0.174],[0.165 0.056],[-1.282 -0.463],[0.195 0.073]
Food products,Stationary Mixture kmshare ciiu,stationary_mixture,[0.8 0.2],[0.197 0.197],[-0.515 -0.508 -2.476 -0.925],[0.733 0.163 0.499 0.184],0.0,0.0,"[[-0.035  0.2  ]
 [-0.008  0.036]]","[[0.045 0.215]
 [0.026 0.124]]",[0.155 0.349],[0.108 0.094],[-0.513 -1.249],[0.254 0.208]
Food products,Stationary Normal,stationary_normal,[0.17 0.83],[0.178 0.178],[-0.936 -0.465],[0.142 0.124],0.0,0.0,[],[],[0.518 0.171],[0.121 0.085],0.0,
Food products,Stationary Normal kmshare ciiu,stationary_normal,[0.201 0.799],[0.233 0.233],[-0.994 -0.518],[0.204 0.21 ],0.0,0.0,"[[-0.001  0.1  ]
 [-0.037  0.212]]","[[0.059 0.211]
 [0.039 0.179]]",[0.508 0.153],[0.152 0.147],0.0,
Food products,AR1 Normal,ar1_normal,[0.205 0.795],[0.026 0.026],[-0.855 -0.521],[0.08 0.02],[0.537 0.816],[0.159 0.026],[],[],[0.515 0.111],[0.066 0.006],0.0,
Food products,AR1 Normal kmshare ciiu,ar1_normal,[0.211 0.789],[0.036 0.036],[-0.986 -0.557],[0.125 0.018],[0.55  0.771],[0.123 0.034],"[[ 0.041  0.001]
 [-0.035  0.127]]","[[0.083 0.513]
 [0.02  0.101]]",[0.509 0.11 ],[0.083 0.006],0.0,
Food products,AR1 Mixture,ar1_mixture,[0.205 0.795],[0.025 0.025],[-0.858 -0.857 -0.539 -0.471],[0.798 0.11  0.029 0.242],[0.536 0.807],[0.2   0.113],[],[],[0.516 0.111],[0.073 0.006],[-0.858 -0.518],[0.173 0.029]
Food products,AR1 Mixture kmshare ciiu,ar1_mixture,[0.43 0.57],[0.292 0.292],[-1511.48  -1511.426    -1.523    -1.523],[1.611e+07 1.673e+07 2.793e+08 2.794e+08],[0.99  0.989],[0.059 0.114],"[[25.762  8.126]
 [-0.031  0.293]]","[[ 4130886.939  4099469.193]
 [60066899.891 16285863.714]]",[47.004  0.132],[ 279174.968 1157819.728],[-1511.453    -1.523],[1.483e+07 2.793e+08]
Fabricated metal products,Stationary Mixture,stationary_mixture,[0.249 0.751],[0.126 0.126],[-1.153 -1.132 -1.115 -0.433],[0.297 0.273 0.348 0.214],0.0,0.0,[],[],[0.4   0.248],[0.07  0.057],[-1.144 -0.478],[0.196 0.172]
Fabricated metal products,Stationary Mixture kmshare ciiu,stationary_mixture,[0.362 0.638],[0.107 0.107],[-1.408 -0.821 -0.773 -0.345],[0.392 0.266 0.342 0.244],0.0,0.0,"[[ 0.212 -0.59 ]
 [ 0.019 -0.088]]","[[0.086 0.351]
 [0.074 0.334]]",[0.36  0.225],[0.081 0.071],[-0.901 -0.379],[0.205 0.226]
Fabricated metal products,Stationary Normal,stationary_normal,[0.349 0.651],[0.101 0.101],[-1.022 -0.434],[0.174 0.167],0.0,0.0,[],[],[0.449 0.249],[0.063 0.059],0.0,
Fabricated metal products,Stationary Normal kmshare ciiu,stationary_normal,[0.383 0.617],[0.092 0.092],[-0.899 -0.383],[0.16  0.155],0.0,0.0,"[[ 0.196 -0.557]
 [ 0.018 -0.09 ]]","[[0.074 0.44 ]
 [0.06  0.281]]",[0.42  0.239],[0.056 0.052],0.0,
Fabricated metal products,AR1 Normal,ar1_normal,[0.359 0.641],[0.123 0.123],[-0.883 -0.419],[0.126 0.051],[0.472 0.579],[0.137 0.093],[],[],[0.465 0.208],[0.086 0.027],0.0,
Fabricated metal products,AR1 Normal kmshare ciiu,ar1_normal,[0.349 0.651],[0.202 0.202],[-0.785 -0.429],[0.138 0.511],[0.504 0.572],[0.109 0.162],"[[ 0.186 -1.044]
 [ 0.018 -0.014]]","[[0.093 0.556]
 [0.138 0.898]]",[0.44  0.214],[0.085 0.062],0.0,
Fabricated metal products,AR1 Mixture,ar1_mixture,[0.344 0.656],[0.267 0.267],[-0.915 -0.857 -0.428 -0.41 ],[0.465 0.274 0.306 0.155],[0.466 0.585],[0.221 0.265],[],[],[0.47  0.211],[0.087 0.078],[-0.897 -0.422],[0.209 0.159]
Fabricated metal products,AR1 Mixture kmshare ciiu,ar1_mixture,[0.366 0.634],[0.272 0.272],[-0.792 -0.744 -0.439 -0.39 ],[0.935 0.934 0.288 0.247],[0.503 0.551],[0.159 0.216],"[[ 0.18  -1.027]
 [ 0.015  0.008]]","[[ 13.156 187.869]
 [  0.216   0.717]]",[0.433 0.211],[0.128 0.122],[-0.782 -0.423],[0.924 0.251]
