Industry,Specification,Model Type,Alpha,Alpha SE,Mu,Mu SE,Rho,Rho SE,Beta,Beta SE,Sigma,Sigma SE,Mubar,Mubar SE
Food products,Stationary Mixture kmshare ciiu,stationary_mixture,[0.2 0.8],[0.216 0.216],[-2.476 -0.925 -0.514 -0.508],[0.811 0.213 0.588 0.197],0.0,0.0,"[[-0.008  0.036]
 [-0.035  0.2  ]]","[[0.063 0.315]
 [0.028 0.145]]",[0.721 0.155],[0.235 0.182],[-1.249 -0.513],[0.288 0.235]
Food products,Stationary Normal kmshare ciiu,stationary_normal,[0.185 0.815],[0.201 0.201],[-0.939 -0.467],[0.178 0.155],0.0,0.0,"[[0.036 0.167]
 [0.009 0.326]]","[[0.054 0.268]
 [0.023 0.144]]",[0.502 0.165],[0.13  0.115],0.0,
Food products,AR1 Normal kmshare ciiu,ar1_normal,[0.211 0.789],[0.03 0.03],[-0.986 -0.557],[0.144 0.019],[0.55  0.771],[0.148 0.032],"[[ 0.041  0.001]
 [-0.035  0.127]]","[[0.096 0.468]
 [0.024 0.095]]",[0.509 0.11 ],[0.074 0.006],0.0,
Food products,AR1 Mixture kmshare ciiu,ar1_mixture,[0.43 0.57],[0.329 0.329],[-1486.741 -1491.427    -1.534    -1.534],[31534539.451 34317299.401  9247335.123 12718241.862],[0.987 0.989],[0.092 0.119],"[[14.812  4.079]
 [-0.031  0.293]]","[[ 6776261.045 26100103.558]
 [ 1017576.252 57478766.175]]",[49.702  0.132],[8173479.03 4080847.94],[-1490.234    -1.534],[31822098.6    4951685.839]
Food products,AR1 LAT Mixture kmshare ciiu,ar1_lat_mixture,[0.814 0.186],[0.318 0.318],[-0.01  -0.01   0.002  0.106],[0.118 0.108 0.118 0.104],0.0,0.0,[0.016 0.075 0.201 0.309 0.909 0.711],[0.05  0.065 0.392 0.355 0.122 0.138],[0.221 0.87 ],[0.344 0.361],[-0.01   0.056],[0.078 0.082]
Food products,AR1 LAT Normal kmshare ciiu,ar1_lat_normal,[0.118 0.882],[0.227 0.227],[-0.619  0.013],[0.279 0.088],0.0,0.0,[-0.061  0.012 -0.315  0.259  0.982  0.881],[0.039 0.016 0.415 0.171 0.199 0.107],[1.168 0.247],[0.387 0.185],0.0,
Fabricated metal products,Stationary Mixture kmshare ciiu,stationary_mixture,[0.355 0.645],[0.116 0.116],[-0.907 -0.905 -0.744 -0.355],[0.408 0.266 0.407 0.254],0.0,0.0,"[[ 0.202 -0.565]
 [ 0.018 -0.082]]","[[0.091 0.351]
 [0.108 0.362]]",[0.418 0.25 ],[0.077 0.078],[-0.907 -0.385],[0.228 0.232]
Fabricated metal products,Stationary Normal kmshare ciiu,stationary_normal,[0.612 0.388],[0.092 0.092],[-0.411 -0.937],[0.197 0.181],0.0,0.0,"[[ 0.022 -0.099]
 [ 0.192 -0.559]]","[[0.073 0.385]
 [0.07  0.319]]",[0.241 0.419],[0.072 0.062],0.0,
Fabricated metal products,AR1 Normal kmshare ciiu,ar1_normal,[0.349 0.651],[0.213 0.213],[-0.785 -0.429],[0.418 0.324],[0.504 0.572],[0.124 0.163],"[[ 0.186 -1.044]
 [ 0.018 -0.014]]","[[0.141 0.855]
 [0.147 1.448]]",[0.44  0.214],[0.086 0.075],0.0,
Fabricated metal products,AR1 Mixture kmshare ciiu,ar1_mixture,[0.366 0.634],[0.295 0.295],[-0.798 -0.74  -0.438 -0.388],[0.72  0.615 6.313 6.318],[0.502 0.551],[0.197 0.24 ],"[[ 0.18  -1.026]
 [ 0.015  0.008]]","[[  9.36  133.511]
 [  0.53    0.653]]",[0.433 0.212],[0.237 0.162],[-0.782 -0.423],[0.601 6.306]
Fabricated metal products,AR1 LAT Mixture kmshare ciiu,ar1_lat_mixture,[0.238 0.762],[0.379 0.379],[ 0.19   0.266 -0.043 -0.025],[0.525 0.365 0.487 0.443],0.0,0.0,[ 0.111  0.022 -0.83  -0.065  0.733  0.918],[0.289 0.297 1.151 1.622 0.343 0.329],[0.702 0.287],[0.285 0.28 ],[ 0.205 -0.031],[0.312 0.372]
Fabricated metal products,AR1 LAT Normal kmshare ciiu,ar1_lat_normal,[0.765 0.235],[0.363 0.363],[-0.028  0.071],[0.705 0.167],0.0,0.0,[ 0.036 -0.048 -0.117 -0.206  0.925  0.695],[0.396 0.053 7.371 0.372 0.737 0.311],[0.287 0.69 ],[0.402 0.227],0.0,
Textiles,Stationary Mixture kmshare ciiu,stationary_mixture,[0.376 0.624],[0.176 0.176],[-3.011 -0.96  -0.4   -0.374],[1.107 0.413 0.884 0.372],0.0,0.0,"[[ 0.063 -0.11 ]
 [-0.032 -0.097]]","[[0.187 0.349]
 [0.118 0.248]]",[0.76  0.236],[0.272 0.218],[-1.208 -0.391],[0.422 0.362]
Textiles,Stationary Normal kmshare ciiu,stationary_normal,[0.231 0.769],[0.199 0.199],[-1.203 -0.474],[0.322 0.271],0.0,0.0,"[[ 0.211  0.007]
 [-0.035 -0.066]]","[[0.165 0.376]
 [0.096 0.161]]",[0.578 0.273],[0.187 0.132],0.0,
Textiles,AR1 Normal kmshare ciiu,ar1_normal,[0.059 0.941],[0.239 0.239],[-0.891 -0.413],[0.459 0.149],[0.315 0.811],[0.288 0.11 ],"[[ 0.688 -0.822]
 [-0.011 -0.32 ]]","[[ 0.483 89.754]
 [ 0.307  1.251]]",[0.698 0.23 ],[0.206 0.116],0.0,
Textiles,AR1 Mixture kmshare ciiu,ar1_mixture,[0.106 0.894],[0.415 0.415],[-1.074 -0.977 -0.479 -0.294],[1.077 1.197 1.199 1.592],[0.407 0.806],[0.267 0.312],"[[ 0.384 -0.52 ]
 [-0.024 -0.284]]","[[ 0.532  6.066]
 [ 3.525 52.056]]",[0.629 0.229],[0.415 0.804],[-1.028 -0.386],[0.43 0.94]
Textiles,AR1 LAT Mixture kmshare ciiu,ar1_lat_mixture,[0.741 0.259],[0.409 0.409],[-0.041 -0.027 -0.162  0.159],[0.709 0.393 0.672 0.369],0.0,0.0,[-0.008  0.155 -0.018 -0.376  0.947  0.753],[0.323 0.292 0.829 0.812 0.431 0.435],[0.255 0.631],[0.295 0.247],[-0.037  0.098],[0.282 0.264]
Textiles,AR1 LAT Normal kmshare ciiu,ar1_lat_normal,[0.16 0.84],[0.263 0.263],[-0.049 -0.022],[0.537 0.17 ],0.0,0.0,[ 0.041  0.007  0.005 -0.05   0.646  0.936],[0.04  0.066 0.173 0.361 0.564 0.274],[0.721 0.283],[0.459 0.115],0.0,
