Industry,Specification,Model Type,Alpha,Alpha SE,Mu,Mu SE,Rho,Rho SE,Beta,Beta SE,Sigma,Sigma SE,Mubar,Mubar SE
Food products,Stationary Mixture,stationary_mixture,[0.17 0.83],[0.172 0.172 0.306 0.306],[-1.173 -0.844 -0.468 -0.45 ],[0.126 0.07  0.011 0.01 ],0.0,0.0,[],[],[0.496 0.171],[0.084 0.009],[-0.939 -0.465],[0.227 0.182]
Food products,Stationary Mixture kmshare ciiu,stationary_mixture,[0.201 0.799],[0.019 0.019 0.242 0.242],[-1.465 -0.881 -0.519 -0.51 ],[7.717 4.392 0.028 0.032],0.0,0.0,"[[ 0.001  0.073]
 [-0.037  0.211]]","[[ 1.076 25.527]
 [ 0.209  0.158]]",[0.45  0.154],[0.707 0.339],[-1.019 -0.518],[0.067 0.011]
Food products,Stationary Normal,stationary_normal,[0.17 0.83],[0.033 0.967],[-0.936 -0.465],[0.07  0.011],0.0,0.0,[],[],[0.518 0.171],[0.086 0.008],0.0,0.0
Food products,Stationary Normal kmshare ciiu,stationary_normal,[0.172 0.828],[0.034 0.966],[-0.926 -0.458],[0.068 0.013],0.0,0.0,"[[ 0.021  0.182]
 [ 0.002 -0.056]]","[[0.032 1.091]
 [0.006 0.121]]",[0.515 0.171],[0.084 0.009],0.0,0.0
Food products,AR1 Normal,ar1_normal,[0.205 0.795],[0.028 0.972],[-0.855 -0.521],[0.109 0.058],[0.537 0.816],[0.164 0.029],[],[],[0.515 0.111],[0.08  0.006],0.0,0.0
Food products,AR1 Normal kmshare ciiu,ar1_normal,[0.204 0.796],[0.114 0.886],[-0.878 -0.545],[0.414 0.364],[0.531 0.817],[0.059 0.117],"[[ 0.009 -0.023]
 [-0.007 -0.072]]","[[0.045 0.276]
 [0.67  0.119]]",[0.515 0.111],[0.518 0.013],0.0,0.0
Food products,AR1 Mixture,ar1_mixture,[0.204 0.795],[0.203 0.203 0.16  0.16 ],[-0.859 -0.858 -0.541 -0.451],[0.063 0.045 0.021 0.05 ],[0.536 0.801],[0.164 0.029],[],[],[0.516 0.111],[0.081 0.006],[-0.859 -0.516],[0.221 0.029]
Fabricated metal products,Stationary Mixture,stationary_mixture,[0.254 0.746],[0.306 0.306 0.33  0.33 ],[-1.613 -1.034 -1.128 -0.431],[0.075 0.065 0.094 0.022],0.0,0.0,[],[],[0.328 0.247],[0.029 0.016],[-1.146 -0.477],[0.182 0.133]
Fabricated metal products,Stationary Mixture kmshare ciiu,stationary_mixture,[0.362 0.638],[0.227 0.227 0.204 0.204],[-1.408 -0.821 -0.773 -0.345],[0.335 0.281 0.094 0.054],0.0,0.0,"[[ 0.212 -0.59 ]
 [ 0.019 -0.088]]","[[0.471 0.532]
 [0.061 0.092]]",[0.36  0.225],[0.096 0.021],[-0.901 -0.379],[0.159 0.151]
Fabricated metal products,Stationary Normal,stationary_normal,[0.349 0.651],[0.052 0.948],[-1.022 -0.434],[0.061 0.026],0.0,0.0,[],[],[0.449 0.249],[0.034 0.013],0.0,0.0
Fabricated metal products,Stationary Normal kmshare ciiu,stationary_normal,[0.345 0.655],[0.059 0.941],[-0.978 -0.412],[0.089 0.05 ],0.0,0.0,"[[-0.05  -0.357]
 [-0.03  -0.115]]","[[0.104 0.234]
 [0.045 0.083]]",[0.446 0.249],[0.033 0.015],0.0,0.0
Fabricated metal products,AR1 Normal,ar1_normal,[0.359 0.641],[0.128 0.872],[-0.883 -0.419],[0.102 0.037],[0.472 0.579],[0.117 0.072],[],[],[0.465 0.208],[0.068 0.023],0.0,0.0
Fabricated metal products,AR1 Normal kmshare ciiu,ar1_normal,[0.386 0.614],[0.03 0.97],[-0.844 -0.367],[0.229 0.391],[0.489 0.583],[0.077 0.055],"[[-0.141 -0.758]
 [-0.084 -0.044]]","[[  0.121   3.351]
 [  0.373 149.98 ]]",[0.454 0.203],[0.064 0.061],0.0,0.0
Fabricated metal products,AR1 Mixture,ar1_mixture,[0.314 0.686],[0.221 0.221 0.214 0.214],[-1.369 -0.874 -0.434 -0.409],[0.371 0.135 0.029 0.087],[0.342 0.565],[0.162 0.069],[],[],[0.463 0.217],[0.071 0.023],[-0.953 -0.425],[0.193 0.113]
Fabricated metal products,AR1 Mixture kmshare ciiu,ar1_mixture,[0.307 0.693],[0.167 0.167 0.181 0.181],[-0.949 -0.874 -0.373 -0.36 ],[0.48  0.496 0.349 1.123],[0.473 0.618],[0.263 0.43 ],"[[-0.15  -1.012]
 [-0.098 -0.056]]","[[0.353 2.721]
 [1.07  0.606]]",[0.486 0.21 ],[0.166 0.079],[-0.915 -0.37 ],[0.251 0.238]
Textiles,Stationary Mixture,stationary_mixture,[0.361 0.639],[0.162 0.162 0.146 0.146],[-3.029 -0.988 -0.594 -0.242],[0.119 0.074 0.055 0.041],0.0,0.0,[],[],[0.365 0.166],[0.042 0.013],[-1.244 -0.417],[0.338 0.258]
Textiles,Stationary Mixture kmshare ciiu,stationary_mixture,[0.342 0.658],[0.16  0.16  0.197 0.197],[-3.03  -0.985 -0.588 -0.234],[0.637 0.135 0.18  0.189],0.0,0.0,"[[ 0.068 -0.105]
 [-0.032 -0.093]]","[[0.324 0.574]
 [0.083 0.205]]",[0.367 0.167],[0.044 0.009],[-1.254 -0.408],[0.393 0.139]
Textiles,Stationary Normal,stationary_normal,[0.239 0.761],[0.127 0.873],[-1.191 -0.48 ],[0.223 0.07 ],0.0,0.0,[],[],[0.598 0.274],[0.203 0.033],0.0,0.0
Textiles,Stationary Normal kmshare ciiu,stationary_normal,[0.225 0.775],[0.111 0.889],[-1.188 -0.488],[0.244 0.079],0.0,0.0,"[[-0.049 -0.125]
 [-0.048  0.017]]","[[0.091 0.418]
 [0.054 0.172]]",[0.608 0.276],[0.203 0.029],0.0,0.0
Textiles,AR1 Normal,ar1_normal,[0.142 0.858],[0.053 0.947],[-1.125 -0.411],[0.209 0.036],[0.497 0.822],[0.25  0.045],[],[],[0.624 0.2  ],[0.154 0.018],0.0,0.0
