"padron"	"year"	"ciiu"	"rY"	"d_e"	"d_m"	"rexport"	"rMi"	"L"	"rM"	"markup"
288	90	3220	88238	0	0	0	0	51	61288	-.0126929
288	91	3220	106567.3	0	0	0	0	51	60882.71	.1862907
288	92	3220	90159.73	0	1	0	43593.31	53	45382.39	.1913047
288	93	3220	85185.81	0	0	0	0	54	67775.6	-.1190255
288	94	3220	120409	0	0	0	0	68	102292.6	-.196476
288	95	3220	262126.9	0	1	0	80854.16	108	85243.95	.3737744
288	96	3220	260539.1	0	1	0	56701.88	105	65113.06	.304774
405	90	3220	2274273	0	1	0	941227	552	1353346	.1321842
405	91	3220	1079212	1	1	46485.02	1784627	558	693386.5	-.2093861
405	92	3220	1291360	1	1	13362.07	361062.7	677	724654.6	-.0897857
405	93	3220	1589323	1	1	54273.39	451360.1	651	939161.2	-.1562835
405	94	3220	3754311	1	1	105744.2	2052691	646	2796795	-.0129569
405	95	3220	4463621	1	1	141006.1	1149563	631	1395931	.4209231
405	96	3220	5021864	1	1	154610.5	1917572	512	2242731	.2951273
1278	90	3220	274433	0	0	0	0	31	197551	.1823542
1278	91	3220	218543.9	0	0	0	0	36	50838.1	.6160856
1278	92	3220	130135.7	0	0	0	0	39	73197.98	.1604098
1278	93	3220	198356.5	0	0	0	0	40	55055.13	.5036545
1278	94	3220	208988.3	0	0	0	0	40	169445	-.0632309
1278	95	3220	396916.2	0	0	0	0	46	176472.3	.3658019
1278	96	3220	491782.3	0	0	0	0	36	359229.2	.1086261
1719	90	3220	35697	0	0	0	0	17	31928	-.0921086
1719	91	3220	43997.66	0	0	0	0	18	36842.68	.0002822
1719	92	3220	44335.93	0	0	0	0	18	26230.57	.2742941
1719	93	3220	59358.66	0	0	0	0	20	34103.18	.2833385
1719	94	3220	66773.97	0	0	0	0	20	44758.03	.2034667
1719	95	3220	72895.97	0	0	0	0	16	47342.07	.1705447
1719	96	3220	88292.41	0	0	0	0	12	37295.07	.4330229
6741	90	3220	230288	0	0	0	0	12	187777	.1630089
6741	91	3220	167676.8	0	0	0	0	13	147014.8	.0799074
6741	92	3220	172391.8	0	0	0	0	18	162674.4	.0087366
6741	93	3220	172352.5	0	0	0	0	19	166431.7	-.0288223
6741	94	3220	117644.1	0	0	0	0	19	113090.6	-.0230075
6741	95	3220	184709.6	0	0	0	0	20	155779.5	.0948896
6741	96	3220	216729.5	0	0	0	0	23	202499.3	-.0555461
7749	90	3220	208963	0	0	0	0	40	174018	.0809617
7749	91	3220	221338.3	0	1	0	9163.902	40	161141	.1520974
7749	92	3220	207082.7	0	0	0	0	41	134142.9	.2264807
7749	93	3220	270108.6	0	1	0	5753.993	35	174584.1	.2354228
7749	94	3220	306735.4	0	1	0	6136.861	46	198612.8	.2082317
7749	95	3220	509641.9	0	1	0	17979.36	58	370322.4	.151326
7749	96	3220	640630.6	0	0	0	0	56	455779.9	.1282423
7803	90	0	0	-1	-1	0	0	0	0	0
7803	91	0	0	-1	-1	0	0	0	0	0
7803	92	3220	16853.52	0	0	0	0	10	10635.41	.2314209
7803	93	0	0	-1	-1	0	0	0	0	0
7803	94	0	0	-1	-1	0	0	0	0	0
7803	95	0	0	-1	-1	0	0	0	0	0
7803	96	0	0	-1	-1	0	0	0	0	0
7992	90	3220	327971	0	1	0	254567	22	262714	.1364694
7992	91	3220	432518.7	0	1	0	199505.1	21	212676.9	.4544811
7992	92	3220	388055.5	0	1	0	297636.3	22	327059	.0964804
7992	93	3220	385335.4	0	1	0	161055.3	21	188040.4	.4437222
7992	94	3220	447724.1	0	1	0	265322.6	18	309198.7	.2428677
7992	95	3220	516735.6	0	1	0	229002.1	16	270748.6	.4050392
7992	96	3220	650489.6	0	1	0	457658.8	19	500303.4	.1378989
8406	90	3220	87236	0	0	0	0	26	60010	.200995
8406	91	3220	95306.74	0	0	0	0	31	73928.72	.1075725
8406	92	3220	128297.8	0	0	0	0	33	99850.4	.1370391
8406	93	3220	180598.7	0	0	0	0	41	127915.3	.2044294
8406	94	3220	169871	0	0	0	0	38	125502.1	.1284112
8406	95	3220	236543	0	0	0	0	43	206106.1	.0226794
8406	96	3220	273124.7	0	0	0	0	38	215438.4	.1129397
8541	90	3220	55844	0	0	0	0	32	26739	.3676133
8541	91	3220	53578.74	0	0	0	0	27	35248.45	.1756709
8541	92	3220	43232.1	0	0	0	0	29	23550.21	.2635167
8541	93	3220	40404.91	0	0	0	0	29	17888.83	.2958722
8541	94	3220	39404.82	0	0	0	0	30	8282.556	.4799091
8541	95	3220	38007.11	0	0	0	0	30	16208.69	.185814
8541	96	3220	48035.56	0	0	0	0	27	23834.88	.1895658
9414	90	3220	138218	0	0	0	0	39	90969	.2562474
9414	91	3220	165042.1	0	0	0	0	52	117952.9	.1448174
9414	92	3220	173801.4	0	0	0	0	52	114457.8	.209437
9414	93	3220	187584.4	0	0	0	0	53	111392.5	.2526932
9414	94	3220	251305.7	0	0	0	0	47	168818.5	.2151708
9414	95	3220	94834.7	0	0	0	0	12	78273.77	.0842709
9414	96	0	0	-1	-1	0	0	0	0	0
10152	90	3220	22314	0	0	0	0	10	12850	.2240298
10152	91	3220	25393.39	0	0	0	0	10	13443.32	.1626899
10152	92	3220	26285.34	0	0	0	0	10	9654.15	.3145975
10152	93	0	0	-1	-1	0	0	0	0	0
10152	94	0	0	-1	-1	0	0	0	0	0
10152	95	0	0	-1	-1	0	0	0	0	0
10152	96	0	0	-1	-1	0	0	0	0	0
10395	90	0	0	-1	-1	0	0	0	0	0
10395	91	0	0	-1	-1	0	0	0	0	0
10395	92	3220	111911.7	0	0	0	0	41	137807.8	-.4063585
10395	93	3220	168895.2	0	0	0	0	56	82116.7	.2983584
10395	94	3220	238316.5	0	0	0	0	62	137433.5	.2483986
10395	95	3220	440166.7	0	1	0	24329.11	63	209488.9	.3838509
10395	96	3220	678675	0	1	0	51230.96	73	402034.4	.2831727
11898	90	3220	93209	0	0	0	0	45	45179	.1884046
11898	91	3220	98933.9	0	0	0	0	41	37376.57	.3088276
11898	92	3220	92417.61	0	0	0	0	43	30479	.3609581
11898	93	3220	97653.02	0	0	0	0	43	52391.52	.1413849
11898	94	3220	113861.6	0	0	0	0	43	48024.38	.2592051
11898	95	3220	124169.6	0	0	0	0	43	64753.63	.1292183
11898	96	3220	110160.7	0	0	0	0	43	38879.71	.2266404
14265	90	3220	308411	0	1	0	50349	57	142123	.4283699
14265	91	3220	351812.4	0	1	0	38614.87	65	174443.6	.3430974
14265	92	3220	295061.5	0	1	0	38349.28	65	134062.8	.3619873
14265	93	3220	326567	0	1	0	22044.12	66	186883.8	.2128707
14265	94	3220	312290.5	0	1	0	19621.51	63	118785.5	.4051648
14265	95	3220	375733.1	0	1	0	37723.56	63	142401.9	.3852717
14265	96	3220	415535.3	0	1	0	17583.17	61	186604.5	.3514785
17046	90	0	0	-1	-1	0	0	0	0	0
17046	91	0	0	-1	-1	0	0	0	0	0
17046	92	3220	16153.93	0	0	0	0	10	13288.39	.0275266
17046	93	3220	23053.86	0	0	0	0	10	14157.64	.2469075
17046	94	3220	35800.14	0	0	0	0	11	20407.84	.3195308
17046	95	3220	42730.86	0	0	0	0	13	28039.27	.0807381
17046	96	3220	33483.33	0	0	0	0	14	18637.54	.0749598
19998	90	3220	316744	0	0	0	0	41	249079	.1129619
19998	91	3220	130631.3	0	0	0	0	43	100386.6	.0750046
19998	92	3220	37579.92	0	0	0	0	43	10745.6	.1388147
19998	93	0	0	-1	-1	0	0	0	0	0
19998	94	0	0	-1	-1	0	0	0	0	0
19998	95	0	0	-1	-1	0	0	0	0	0
19998	96	0	0	-1	-1	0	0	0	0	0
22419	90	3220	45527	0	0	0	0	17	32212	.1458036
22419	91	3220	38102.5	0	0	0	0	13	23226.37	.180418
22419	92	3220	44788.42	0	0	0	0	14	28373.04	.233048
22419	93	3220	32767.04	0	0	0	0	14	20485.3	.1832917
22419	94	3220	37298.58	0	0	0	0	15	21396.1	.2278154
22419	95	3220	52730.12	0	0	0	0	15	29957.57	.2336881
22419	96	3220	64398.36	0	0	0	0	15	30469.3	.3388744
22626	90	3220	320468	0	0	0	0	55	190788	.3001641
22626	91	3220	287852.2	0	0	0	0	56	237497.5	.0572296
22626	92	3220	233441.7	0	0	0	0	58	143358.3	.2457826
22626	93	3220	267391.1	0	0	0	0	60	178307.3	.1842167
22626	94	3220	299011.8	0	0	0	0	54	163405.1	.3092816
22626	95	3220	381784.7	0	0	0	0	49	222145.2	.2811125
22626	96	3220	487666.3	0	0	0	0	59	255910.4	.3501441
28926	90	3220	317981	0	0	0	0	56	273912	.0773568
28926	91	3220	326289.1	0	1	0	29240.72	57	274714.3	.1132618
28926	92	3220	289613.4	0	0	0	0	59	252499.7	.0682519
28926	93	3220	272491.1	0	1	0	1737.631	67	206316.8	.1442766
28926	94	3220	336583.2	0	0	0	0	72	255806.4	.1377553
28926	95	3220	286159.3	0	1	0	4739.104	58	234208.9	.0616092
28926	96	3220	387144	0	0	0	0	58	370456.2	-.067658
28944	90	3220	659329	0	0	0	0	40	495885	.1647372
28944	91	3220	704392.1	0	1	0	4959.814	44	589399.3	.0821638
28944	92	3220	694707.6	0	1	0	5673.044	39	522124.8	.1836295
28944	93	3220	848555	0	0	0	0	35	624210.4	.2085183
28944	94	3220	905923.8	0	0	0	0	32	623606.2	.2603028
28944	95	0	0	-1	-1	0	0	0	0	0
28944	96	0	0	-1	-1	0	0	0	0	0
29187	90	3220	226560	0	0	0	0	59	174493	.0924082
29187	91	3220	264808.8	0	0	0	0	45	211432.8	.0798455
29187	92	3220	295171.1	0	0	0	0	63	222110	.1216257
29187	93	3220	319950.8	0	0	0	0	66	171941.1	.3294606
29187	94	3220	335720.7	0	0	0	0	61	173309.8	.3019491
29187	95	3220	371333.8	0	0	0	0	58	240825.4	.1571751
29187	96	3220	362334.7	0	0	0	0	56	167256	.343183
29349	90	3220	39729	0	0	0	0	13	20010	.3628584
29349	91	3220	49339.89	0	0	0	0	19	15892.6	.5236545
29349	92	3220	65288.57	0	0	0	0	24	43456.39	.1907706
29349	93	3220	54508.71	0	0	0	0	23	31807.83	.2303293
29349	94	3220	65461.41	0	0	0	0	15	40173.77	.255503
29349	95	3220	64733.89	0	0	0	0	16	39555.63	.2033032
29349	96	3220	63280.2	0	0	0	0	15	30532.31	.312607
29934	90	3220	207879	0	0	0	0	49	193290	-.0587361
29934	91	3220	220156.3	0	0	0	0	49	136056.3	.252661
29934	92	3220	162890.2	0	0	0	0	49	103807.4	.229102
29934	93	3220	163978.8	0	0	0	0	53	101733.2	.1645242
29934	94	3220	187432.3	0	0	0	0	50	125500.7	.1444054
29934	95	3220	222296.5	0	0	0	0	49	143583.5	.1445243
29934	96	3220	280259.4	0	0	0	0	47	167392.8	.2131477
35559	90	3220	76208	0	0	0	0	16	49125	.2905732
35559	91	3220	78234.62	0	0	0	0	16	44381.73	.371863
35559	92	3220	63451.24	0	0	0	0	16	37279.35	.3287881
35559	93	3220	68729.5	0	0	0	0	16	32927.91	.4192063
35559	94	3220	76006.67	0	0	0	0	17	39197.54	.3897354
35559	95	3220	80415.69	0	0	0	0	18	45303.2	.3200171
35559	96	3220	99702.26	0	0	0	0	19	51964.11	.3649768
35712	90	3220	53984	0	0	0	0	22	36275	.1834247
35712	91	3220	57342.47	0	0	0	0	22	45149.87	.0810526
35712	92	3220	51223.65	0	0	0	0	22	26145.81	.3237106
35712	93	3220	68132.57	0	0	0	0	22	35535.03	.3197327
35712	94	3220	67399.16	0	0	0	0	21	27724.2	.4469489
35712	95	3220	84432.05	0	0	0	0	14	36798.39	.4572302
35712	96	3220	109403	0	0	0	0	17	69479.65	.2266297
43569	90	3220	348822	0	0	0	0	50	250476	.2074554
43569	91	3220	305225.6	1	0	10412.96	0	34	214484.6	.221418
43569	92	3220	221528.4	0	0	0	0	35	116059.1	.3678069
43569	93	3220	246565.5	0	0	0	0	31	101367.6	.4935242
43569	94	3220	305397.4	0	1	0	39908.98	34	129718.6	.472875
43569	95	3220	268907.8	0	1	0	73840.14	34	109125.8	.4769603
43569	96	3220	359618.1	0	1	0	74364.2	29	218184.2	.2844764
43596	90	3220	11602	0	0	0	0	10	7805	.0325806
43596	91	3220	18579.44	0	0	0	0	10	13770.27	-.102379
43596	92	3220	30311.44	0	0	0	0	13	11606.24	.2923639
43596	93	3220	34586.44	0	0	0	0	14	8028.07	.3881607
43596	94	3220	36658.02	0	0	0	0	15	6813.534	.3693273
43596	95	3220	44423.34	0	0	0	0	15	10108.87	.3119808
43596	96	3220	38792.87	0	0	0	0	13	7517.419	.1384536
43614	90	3220	296727	0	1	0	38851	46	140232	.407944
43614	91	3220	297707.3	0	1	0	44803.88	46	116477.8	.4768519
43614	92	3220	279978.2	0	1	0	104843.4	47	178834.2	.1795
43614	93	3220	354567.9	0	1	0	55123.59	51	118151	.4894159
43614	94	3220	406931.1	0	1	0	34871.39	53	263642.3	.1590011
43614	95	3220	502619.1	0	1	0	68645.76	54	175291.3	.4540663
43614	96	3220	516305.8	0	1	0	43375.4	58	292065.8	.1982526
43623	90	3220	362296	0	0	0	0	48	210407	.3242708
43623	91	3220	404590.7	0	0	0	0	43	230393	.3259171
43623	92	3220	437358.3	0	0	0	0	32	211114.7	.4222804
43623	93	3220	436915.3	0	0	0	0	52	231940.5	.3654225
43623	94	3220	354410.1	0	0	0	0	43	209154.8	.2562057
43623	95	0	0	-1	-1	0	0	0	0	0
43623	96	0	0	-1	-1	0	0	0	0	0
43767	90	3220	109266	0	0	0	0	24	105501	-.0827247
43767	91	0	0	-1	-1	0	0	0	0	0
43767	92	0	0	-1	-1	0	0	0	0	0
43767	93	0	0	-1	-1	0	0	0	0	0
43767	94	0	0	-1	-1	0	0	0	0	0
43767	95	0	0	-1	-1	0	0	0	0	0
43767	96	0	0	-1	-1	0	0	0	0	0
43776	90	3220	174924	0	0	0	0	71	146721	.0106503
43776	91	3220	99049.77	0	0	0	0	34	77516.97	.0127023
43776	92	0	0	-1	-1	0	0	0	0	0
43776	93	0	0	-1	-1	0	0	0	0	0
43776	94	0	0	-1	-1	0	0	0	0	0
43776	95	0	0	-1	-1	0	0	0	0	0
43776	96	0	0	-1	-1	0	0	0	0	0
43794	90	3220	405548	0	1	0	50387	61	306512	.1173696
43794	91	3220	405551.8	0	1	0	84032.1	46	280972	.2189239
43794	92	3220	348412	0	0	0	0	23	148595.8	.4839542
