Year	rer	rer_1
1981	0.605434172	0.434028822
1982	0.494881179	0.605434172
1983	0.300701388	0.494881179
1984	0.289802279	0.300701388
1985	0.057377026	0.289802279
1986	-0.09848894	0.057377026
1987	-0.18305841	-0.09848894
1988	-0.242985797	-0.18305841
1989	-0.217615239	-0.242985797
1990	-0.222852709	-0.217615239
1991	-0.189657192	-0.222852709
1992	-0.132934219	-0.189657192
1993	-0.109716769	-0.132934219
1994	-0.08080862	-0.109716769
1995	-0.022563045	-0.08080862
1996	-0.002735691	-0.022563045
1997	0.067830067	-0.002735691
1998	0.049339714	0.067830067
1999	0.000841491	0.049339714
2000	-0.007295234	0.000841491
2001	-0.10889509	-0.007295234
2002	-0.142532922	-0.10889509
2003	-0.205167322	-0.142532922
2004	-0.147055927	-0.205167322
2005	-0.087720595	-0.147055927
2006	-0.041560297	-0.087720595
2007	-0.056592122	-0.041560297
