year	tfp	tfp_1
1961	0.065501233	0.040906186
1962	0.07203396	0.053952733
1963	0.089664623	0.06048546
1964	0.066320442	0.078116123
1965	0.031429769	0.054771942
1966	0.102190392	0.019881269
1967	0.091440579	0.090641892
1968	0.094859782	0.079892079
1969	0.103896683	0.083311282
1970	0.089776606	0.092348183
1971	0.131784737	0.078228106
1972	0.082686759	0.120236237
1973	0.005512344	0.071138259
1974	0.014938329	-0.006036156
1975	-0.108251533	0.003389829
1976	-0.115169255	-0.119800033
1977	-0.083998417	-0.126717755
1978	-0.051238495	-0.095546917
1979	-0.011502711	-0.062786995
1980	0.012931151	-0.023051211
1981	0.026417594	0.001382651
1982	-0.077449671	0.014869094
1983	-0.166372653	-0.088998171
1984	-0.157144128	-0.177921153
1985	-0.17808325	-0.168692628
1986	-0.173441232	-0.18963175
1987	-0.151936417	-0.184989732
1988	-0.137071966	-0.163484917
1989	-0.093071893	-0.148620466
1990	-0.096461791	-0.104620393
1991	-0.053312588	-0.108010291
1992	0.00874722	-0.064861088
1993	0.009824425	-0.00280128
1994	0.02860681	-0.001724075
1995	0.087092594	0.01705831
1996	0.111886407	0.075544094
1997	0.126238458	0.100337907
1998	0.109709384	0.114689958
1999	0.085229802	0.098160884
2000	0.092925	0.073681302
2001	0.095256849	0.0813765
2002	0.081737199	0.083708349
2003	0.066354752	0.070188699
2004	0.083383851	0.054806252
2005	0.105783565	0.071835351
