id,year,y_it,lnmY_it,l_it,k_it,m_it,industry_2,export,I_K,I_K_m
4,1980,16.61176,-.4641181,6.340359,15.34312,16.14765,3,0,.0556254,.1187465
4,1981,16.50474,-.3412526,6.226537,15.32913,16.16348,3,0,-.1992874,-.3026696
4,1982,16.16777,-.2979148,6.133398,15.01512,15.86986,3,0,.0106745,.0246588
4,1983,0,0,0,0,0,0,0,0,0
4,1984,0,0,0,0,0,0,0,0,0
4,1985,0,0,0,0,0,0,0,0,0
4,1986,0,0,0,0,0,0,0,0,0
4,1987,0,0,0,0,0,0,0,0,0
4,1988,0,0,0,0,0,0,0,0,0
4,1989,0,0,0,0,0,0,0,0,0
4,1990,0,0,0,0,0,0,0,0,0
4,1991,0,0,0,0,0,0,0,0,0
4,1992,0,0,0,0,0,0,0,0,0
4,1993,0,0,0,0,0,0,0,0,0
4,1994,0,0,0,0,0,0,0,0,0
4,1995,0,0,0,0,0,0,0,0,0
4,1996,0,0,0,0,0,0,0,0,0
4,1997,0,0,0,0,0,0,0,0,0
4,1998,0,0,0,0,0,0,0,0,0
4,1999,0,0,0,0,0,0,0,0,0
4,2000,0,0,0,0,0,0,0,0,0
4,2001,0,0,0,0,0,0,0,0,0
4,2002,0,0,0,0,0,0,0,0,0
4,2003,0,0,0,0,0,0,0,0,0
4,2004,0,0,0,0,0,0,0,0,0
4,2005,0,0,0,0,0,0,0,0,0
4,2006,0,0,0,0,0,0,0,0,0
4,2007,0,0,0,0,0,0,0,0,0
4,2008,0,0,0,0,0,0,0,0,0
6,1980,19.84516,-.5517292,9.183175,19.4271,19.29343,5,0,.0261105,.01819
6,1981,19.7444,-.6482629,9.19024,19.38051,19.09613,5,7.45e+07,.0153281,-.0032048
6,1982,19.6475,-.726329,9.181426,19.32347,18.92118,5,6.19e+07,.1986594,.2730598
6,1983,19.69911,-.562001,9.070389,19.4447,19.13711,5,6.70e+07,.0314146,.0403859
6,1984,19.68915,-.6282043,9.001839,19.40505,19.06095,5,6.50e+07,.0264655,.0486264
6,1985,19.66421,-.6528367,9.002332,19.3606,19.01137,5,6.11e+07,.0415371,.0639552
6,1986,19.54841,-.8180426,8.938663,19.33189,18.73036,5,4.50e+07,.0514069,.0607444
6,1987,19.63905,-.9232426,8.896862,19.31342,18.71581,5,4.10e+07,.048966,.0636003
6,1988,19.74916,-.9611251,8.875147,19.29269,18.78804,5,5.23e+07,.0615907,.0875877
6,1989,19.77696,-.8593282,8.878636,19.28498,18.91763,5,6.04e+07,.0546105,.0878506
6,1990,19.86732,-.8098873,8.880586,19.27024,19.05744,5,7.68e+07,.0659942,.0825279
6,1991,19.89974,-.7334656,8.935772,19.26688,19.16627,5,8.33e+07,.1151181,.1897923
6,1992,19.76175,-.8471457,8.942461,19.31183,18.9146,5,7.11e+07,.0745777,.1036004
6,1993,19.63018,-.8688926,8.926119,19.31662,18.76129,5,5.85e+07,.0631993,.0978379
6,1994,19.5988,-.9016148,8.828054,19.30994,18.69718,5,5.75e+07,.0204847,.0480332
6,1995,19.64381,-.9285018,8.74608,19.25918,18.71531,5,6.90e+07,.0408579,.0650722
6,1996,19.70375,-.8955365,8.703672,19.22952,18.80822,5,8.21e+07,.0730783,.1500138
6,1997,19.67711,-.9310813,8.668712,19.23269,18.74603,5,6.97e+07,.0726724,.125987
6,1998,19.5218,-.9443727,8.576028,19.23458,18.57743,5,6.04e+07,.0451827,.0923415
6,1999,19.4051,-.8711889,8.473241,19.20815,18.53391,5,0,-.0130158,.0158405
6,2000,19.29328,-.8466898,8.196712,19.11965,18.44659,5,0,.0529431,.056556
6,2001,19.25413,-.8214469,8.217709,19.1004,18.43269,5,0,.0557179,.0960298
6,2002,19.2717,-.7862955,8.137396,19.08443,18.48541,5,0,.0114042,.0397614
6,2003,19.2641,-.9178315,8.073403,19.02203,18.34627,5,0,.0036237,.071297
