"nom.size","an","N","T","omega"
0.192,0.001,100,2,-1.12751199250883
0.084,0.01,100,2,-1.12751199250883
0.032,0.1,100,2,-1.12751199250883
0.172,0.001,100,2,-1.12751199250883
0.082,0.01,100,2,-1.12751199250883
0.02,0.1,100,2,-1.12751199250883
0.318,0.001,100,2,-0.000845171934856495
0.174,0.01,100,2,-0.000845171934856495
0.04,0.1,100,2,-0.000845171934856495
0.312,0.001,100,2,-0.000845171934856495
0.128,0.01,100,2,-0.000845171934856495
0.044,0.1,100,2,-0.000845171934856495
0.182,0.001,100,2,-5.08811245151567
0.092,0.01,100,2,-5.08811245151567
0.03,0.1,100,2,-5.08811245151567
0.168,0.001,100,2,-5.08811245151567
0.086,0.01,100,2,-5.08811245151567
0.028,0.1,100,2,-5.08811245151567
0.216,0.001,100,2,-1.31084359462252
0.104,0.01,100,2,-1.31084359462252
0.036,0.1,100,2,-1.31084359462252
0.204,0.001,100,2,-1.31084359462252
0.104,0.01,100,2,-1.31084359462252
0.04,0.1,100,2,-1.31084359462252
0.034,0.001,100,5,-1.12751199250883
0.024,0.01,100,5,-1.12751199250883
0.016,0.1,100,5,-1.12751199250883
0.028,0.001,100,5,-1.12751199250883
0.024,0.01,100,5,-1.12751199250883
0.014,0.1,100,5,-1.12751199250883
0.014,0.001,100,5,-0.000845171934856495
0.01,0.01,100,5,-0.000845171934856495
0.014,0.1,100,5,-0.000845171934856495
0.078,0.001,100,5,-0.000845171934856495
0.052,0.01,100,5,-0.000845171934856495
0.02,0.1,100,5,-0.000845171934856495
0.032,0.001,100,5,-5.08811245151567
0.024,0.01,100,5,-5.08811245151567
0.012,0.1,100,5,-5.08811245151567
0.028,0.001,100,5,-5.08811245151567
0.016,0.01,100,5,-5.08811245151567
0.012,0.1,100,5,-5.08811245151567
0.048,0.001,100,5,-1.31084359462252
0.034,0.01,100,5,-1.31084359462252
0.022,0.1,100,5,-1.31084359462252
0.042,0.001,100,5,-1.31084359462252
0.03,0.01,100,5,-1.31084359462252
0.02,0.1,100,5,-1.31084359462252
0.042,0.001,500,2,-1.12751199250883
0.03,0.01,500,2,-1.12751199250883
0.022,0.1,500,2,-1.12751199250883
0.044,0.001,500,2,-1.12751199250883
0.032,0.01,500,2,-1.12751199250883
0.02,0.1,500,2,-1.12751199250883
0.362,0.001,500,2,-0.000845171934856495
0.22,0.01,500,2,-0.000845171934856495
0.074,0.1,500,2,-0.000845171934856495
0.078,0.001,500,2,-0.000845171934856495
0.056,0.01,500,2,-0.000845171934856495
0.026,0.1,500,2,-0.000845171934856495
0.05,0.001,500,2,-5.08811245151567
0.042,0.01,500,2,-5.08811245151567
0.024,0.1,500,2,-5.08811245151567
0.044,0.001,500,2,-5.08811245151567
0.036,0.01,500,2,-5.08811245151567
0.022,0.1,500,2,-5.08811245151567
0.062,0.001,500,2,-1.31084359462252
0.054,0.01,500,2,-1.31084359462252
0.026,0.1,500,2,-1.31084359462252
0.074,0.001,500,2,-1.31084359462252
0.058,0.01,500,2,-1.31084359462252
0.042,0.1,500,2,-1.31084359462252
0.02,0.001,500,5,-1.12751199250883
0.02,0.01,500,5,-1.12751199250883
0.016,0.1,500,5,-1.12751199250883
0.024,0.001,500,5,-1.12751199250883
0.022,0.01,500,5,-1.12751199250883
0.02,0.1,500,5,-1.12751199250883
0.03,0.001,500,5,-0.000845171934856495
0.024,0.01,500,5,-0.000845171934856495
0.012,0.1,500,5,-0.000845171934856495
0.026,0.001,500,5,-0.000845171934856495
0.026,0.01,500,5,-0.000845171934856495
0.016,0.1,500,5,-0.000845171934856495
0.024,0.001,500,5,-5.08811245151567
0.024,0.01,500,5,-5.08811245151567
0.022,0.1,500,5,-5.08811245151567
0.028,0.001,500,5,-5.08811245151567
0.024,0.01,500,5,-5.08811245151567
0.02,0.1,500,5,-5.08811245151567
0.024,0.001,500,5,-1.31084359462252
0.02,0.01,500,5,-1.31084359462252
0.016,0.1,500,5,-1.31084359462252
0.028,0.001,500,5,-1.31084359462252
0.024,0.01,500,5,-1.31084359462252
0.022,0.1,500,5,-1.31084359462252
