"","M=1","M=2","M=3","M=4","M=5","M=6","M=7","M=8","M=9","M=10","M=11","M=12","M=13","M=14","M=15","original_df"
"Food products","$660.26^{***}$","$119.47^{***}$","$19.9^{***}$","$-11.37^{}$","$8.54^{}$","$5.93^{}$","$-4.59^{}$","$-4.31^{}$","$1.24^{}$","$3.08^{}$","0","0","0","0","0","df.2"
"2","3772.62","3117.53","3005.81","2992.31","2982.88","2979.54","2979.69","2978.96","2985.84","2989.59","0","0","0","0","0","df.2"
"3","3786.65","3150.26","3057.26","3062.46","3071.74","3087.11","3105.97","3123.95","3149.54","3171.99","0","0","0","0","0","df.2"
"Fabricated metal products","$134.29^{***}$","$21.67^{***}$","$10.31^{}$","$12.9^{*}$","$-20.12^{}$","$2.05^{}$","$-17^{}$","$-17.09^{}$","$-13.64^{}$","$-28.58^{}$","0","0","0","0","0","df.2"
"5","1131.22","1003.79","986.63","979.71","972.36","965.8","970.32","971.4","974.54","977.62","0","0","0","0","0","df.2"
"6","1141.47","1027.7","1024.21","1030.95","1037.27","1044.37","1062.56","1077.3","1094.1","1110.84","0","0","0","0","0","df.2"
"Textiles","$81.32^{***}$","$15.77^{**}$","$16.62^{**}$","$5.73^{}$","$0.79^{}$","$3.99^{}$","$0.79^{}$","$-5.94^{}$","$-9.66^{}$","$-9.19^{}$","0","0","0","0","0","df.2"
"8","858.17","783.93","778.11","776.44","772.64","771.16","775.76","774.4","779.58","780.04","0","0","0","0","0","df.2"
"9","868","806.88","814.17","825.61","834.92","846.55","864.27","876.02","894.32","907.89","0","0","0","0","0","df.2"
"Food products1","$1041.15^{***}$","$181.85^{***}$","$13.34^{**}$","$13.56^{**}$","$12.11^{*}$","$11.25^{*}$","$8.65^{}$","$5.01^{}$","$6.08^{}$","$2.55^{}$","0","0","0","0","0","df.3"
"21","5667.47","4632.62","4458.11","4447.17","4438.58","4429.69","4422.55","4418.59","4420.1","4423.46","0","0","0","0","0","df.3"
"31","5681.49","4665.34","4509.52","4517.27","4527.37","4537.17","4548.73","4563.47","4583.66","4605.72","0","0","0","0","0","df.3"
"Fabricated metal products1","$174.95^{***}$","$25.21^{***}$","$10.57^{}$","$3.69^{}$","$4.59^{}$","$7.03^{}$","$5.63^{}$","$4.33^{}$","$1.66^{}$","$5.58^{}$","0","0","0","0","0","df.3"
"51","1642.74","1473.16","1454.86","1451.76","1450.86","1456.01","1458.4","1462.44","1461.54","1469.02","0","0","0","0","0","df.3"
"61","1652.99","1497.08","1492.44","1503","1515.77","1534.58","1550.63","1568.34","1581.1","1602.25","0","0","0","0","0","df.3"
"Textiles1","$145.53^{***}$","$18.68^{***}$","$16.59^{**}$","$9.44^{}$","$-0.72^{}$","$-0.15^{}$","$-24.89^{}$","$-6.57^{}$","$-7.15^{}$","$-44.48^{}$","0","0","0","0","0","df.3"
"81","1265.71","1127.3","1115.52","1105.6","1094.96","1094.26","1095.45","1100.04","1108.24","1109.37","0","0","0","0","0","df.3"
"91","1275.54","1150.25","1151.58","1154.77","1157.25","1169.66","1183.96","1201.66","1222.98","1237.21","0","0","0","0","0","df.3"
"Food products2","$1279.96^{***}$","$239.68^{***}$","$38.46^{***}$","$21.1^{***}$","$22.18^{***}$","$11.22^{}$","$8.03^{}$","$7.54^{}$","$7.25^{}$","$5.18^{}$","0","0","0","0","0","df.4"
"22","7529.35","6255.59","6023.64","5990.96","5974.61","5956.4","5949.52","5944.94","5942.16","5939.83","0","0","0","0","0","df.4"
"32","7543.36","6288.26","6074.99","6060.98","6063.31","6063.77","6075.57","6089.65","6105.55","6121.89","0","0","0","0","0","df.4"
"Fabricated metal products2","$216.69^{***}$","$41.41^{***}$","$14.11^{**}$","$11.08^{}$","$-0.5^{}$","$6.58^{}$","$3.07^{}$","$0.05^{}$","$0.6^{}$","$0.25^{}$","0","0","0","0","0","df.4"
"52","2146.56","1936.42","1899.86","1890.14","1885.04","1884.45","1888.52","1888.04","1893.9","1899.66","0","0","0","0","0","df.4"
"62","2156.8","1960.33","1937.44","1941.38","1949.94","1963.02","1980.75","1993.94","2013.46","2032.89","0","0","0","0","0","df.4"
"Textiles2","$202.75^{***}$","$21.59^{***}$","$11.93^{*}$","$-0.26^{}$","$2.54^{}$","$4.4^{}$","$1.42^{}$","$3.68^{}$","$3.81^{}$","$2.77^{}$","0","0","0","0","0","df.4"
"82","1671.31","1475.72","1460.68","1455.27","1451.58","1451.09","1452.54","1456.17","1460.68","1464.65","0","0","0","0","0","df.4"
"92","1681.13","1498.63","1496.68","1504.36","1513.77","1526.37","1540.91","1557.63","1575.24","1592.29","0","0","0","0","0","df.4"
"Food products3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","df.5"
"23","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","df.5"
"33","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","df.5"
"Fabricated metal products3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","df.5"
"53","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","df.5"
"63","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","df.5"
"Textiles3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","df.5"
"83","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","df.5"
"93","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","df.5"
