"","M=1","M=2","M=3","M=4","M=5","M=6","M=7","M=8","M=9","M=10","M=11","M=12","M=13","M=14","M=15","original_df"
"Food products","$664.71^{***}$","$123.31^{***}$","$40.62^{***}$","$9.88^{}$","$19.55^{}$","$-2.61^{}$","$-4.09^{}$","$-41.54^{}$","$-62.22^{}$","$-91.39^{}$","0","0","0","0","0","df.2"
"2","3773.75","3118.32","3006.8","2972.8","2963.62","2951.87","2949.61","2938.51","2940.21","2930.19","0","0","0","0","0","df.2"
"3","3797.13","3169.77","3086.31","3080.37","3099.25","3115.56","3141.37","3158.33","3188.1","3206.13","0","0","0","0","0","df.2"
"Fabricated metal products","$136.52^{***}$","$33.54^{***}$","$11.22^{}$","$1.23^{}$","$-118.47^{}$","$-139.69^{}$","$-52.59^{}$","$-280.6^{}$","$-301.59^{}$","$-250.26^{}$","0","0","0","0","0","df.2"
"5","1135.09","1009.46","977.07","971.09","963.15","962.25","960.23","955.66","960.52","953.72","0","0","0","0","0","df.2"
"6","1152.17","1047.03","1035.14","1049.66","1062.22","1081.81","1100.29","1116.21","1141.58","1155.27","0","0","0","0","0","df.2"
"Textiles","$87^{***}$","$21.57^{}$","$-851.05^{}$","$1.38^{}$","$-17.86^{}$","$-3776.57^{}$","$-18.66^{}$","$-203.72^{}$","$-263.86^{}$","$-318.44^{}$","0","0","0","0","0","df.2"
"8","862.11","786.03","764.74","752.09","738.33","736.81","738","730.32","720.18","725.73","0","0","0","0","0","df.2"
"9","878.5","822.09","820.47","827.49","833.39","851.55","872.4","884.4","893.92","919.13","0","0","0","0","0","df.2"
"Food products1","$1050.76^{***}$","$185.16^{***}$","$38.25^{***}$","$23.15^{}$","$16.82^{}$","$15^{}$","$4.85^{}$","$-0.63^{}$","$-14.51^{}$","$-20.44^{}$","0","0","0","0","0","df.3"
"21","5662.13","4621.64","4447.82","4420.02","4406.3","4397.5","4390.74","4390.33","4380.35","4375.45","0","0","0","0","0","df.3"
"31","5685.49","4673.05","4527.27","4527.5","4541.83","4561.06","4582.34","4609.98","4628.03","4651.17","0","0","0","0","0","df.3"
"Fabricated metal products1","$183.17^{***}$","$28.46^{**}$","$18.76^{}$","$-1.89^{}$","$-35.46^{}$","$7.12^{}$","$0.76^{}$","$-8.07^{}$","$-109.18^{}$","$-20.1^{}$","0","0","0","0","0","df.3"
"51","1644.57","1471.42","1453.88","1442.51","1433.47","1437.1","1439.42","1435.82","1445.97","1449.07","0","0","0","0","0","df.3"
"61","1661.66","1509","1511.95","1521.08","1532.54","1556.67","1579.48","1596.38","1627.03","1650.62","0","0","0","0","0","df.3"
"Textiles1","$150.04^{***}$","$24.86^{*}$","$17.04^{}$","$-4.32^{}$","$-49.01^{}$","$-123.7^{}$","$-66.38^{}$","$-117.87^{}$","$-477.19^{}$","$-189.14^{}$","0","0","0","0","0","df.3"
"81","1269.63","1130.7","1109.07","1098.33","1080.67","1082.01","1089.46","1079.61","1089.69","1091.24","0","0","0","0","0","df.3"
"91","1286.03","1166.76","1164.8","1173.73","1175.73","1196.74","1223.87","1233.68","1263.43","1284.65","0","0","0","0","0","df.3"
"Food products2","$1298.66^{***}$","$236.48^{***}$","$40.85^{***}$","$22.71^{}$","$-8.34^{}$","$-5.49^{}$","$-104.75^{}$","$-210.66^{}$","$-76.5^{}$","$-43.12^{}$","0","0","0","0","0","df.4"
"22","7508.53","6219.92","5995.05","5963.91","5943.26","5927.9","5910.29","5903.55","5901.01","5886.02","0","0","0","0","0","df.4"
"32","7531.87","6271.27","6074.41","6071.28","6078.63","6091.29","6101.69","6122.96","6148.42","6161.45","0","0","0","0","0","df.4"
"Fabricated metal products2","$222.21^{***}$","$45.59^{***}$","$17.17^{}$","$9.82^{}$","$5.76^{}$","$-218.75^{}$","$-380.84^{}$","$-1308.37^{}$","$-546.42^{}$","$-536.24^{}$","0","0","0","0","0","df.4"
"52","2148.29","1936.54","1901.64","1879.79","1873.65","1852.68","1855.76","1850.62","1847.45","1842.41","0","0","0","0","0","df.4"
"62","2165.37","1974.11","1959.71","1958.36","1972.72","1972.24","1995.82","2011.18","2028.5","2043.96","0","0","0","0","0","df.4"
"Textiles2","$206.66^{***}$","$25.91^{*}$","$39^{***}$","$4.74^{}$","$-7.38^{}$","$-24.18^{}$","$-286.97^{}$","$-117.28^{}$","$-663.43^{}$","$-167.11^{}$","0","0","0","0","0","df.4"
"82","1674.4","1478.88","1455.91","1435.14","1430.81","1423.22","1417.18","1416.16","1411.02","1416.89","0","0","0","0","0","df.4"
"92","1690.76","1514.89","1511.56","1510.42","1525.73","1537.77","1551.38","1569.99","1584.49","1609.99","0","0","0","0","0","df.4"
"Food products3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","df.5"
"23","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","df.5"
"33","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","df.5"
"Fabricated metal products3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","df.5"
"53","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","df.5"
"63","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","df.5"
"Textiles3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","df.5"
"83","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","df.5"
"93","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","df.5"
