"","M=1","M=2","M=3","M=4","M=5","M=6","M=7","M=8","M=9","M=10","M=11","M=12","M=13","M=14","M=15","original_df"
"Food products","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","df.2"
"2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","df.2"
"3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","df.2"
"Fabricated metal products","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","df.2"
"5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","df.2"
"6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","df.2"
"Textiles","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","df.2"
"8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","df.2"
"9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","df.2"
"Food products1","$933.05^{***}$","$441.01^{}$","$-682.46^{}$","$-1671.76^{}$","$-2064.95^{}$","$-2513.86^{}$","$-2637.24^{}$","$-1956.86^{}$","$-1563.51^{}$","$-2772.82^{}$","0","0","0","0","0","df.3"
"21","352.7","-569.71","-996.87","-1137.89","-1224.92","-1296.67","-1342.17","-1351.31","-1395.55","-1390.56","0","0","0","0","0","df.3"
"31","380.74","-508.96","-903.41","-1011.71","-1066.03","-1105.06","-1117.86","-1094.28","-1105.81","-1068.1","0","0","0","0","0","df.3"
"Fabricated metal products1","$206.41^{***}$","$90.13^{***}$","$44.07^{***}$","$14.37^{}$","$-8.96^{}$","$-36.88^{}$","$-145.04^{}$","$-566.3^{}$","$-311.61^{}$","$-510.26^{}$","0","0","0","0","0","df.3"
"51","624.41","430.83","353.62","319.66","307.7","295.58","288.52","281.12","285.23","290.84","0","0","0","0","0","df.3"
"61","644.91","475.24","421.95","411.9","423.85","435.64","452.49","469","497.03","526.56","0","0","0","0","0","df.3"
"Textiles1","$212.12^{***}$","$95.92^{***}$","$39.45^{}$","$-46.5^{}$","$-524.2^{}$","$-751.21^{}$","$-652.41^{}$","$-1018.68^{}$","$-741^{}$","$-818.72^{}$","0","0","0","0","0","df.3"
"81","468.83","270.32","186.31","120.41","88.11","70.73","67.86","62.28","70.23","66.72","0","0","0","0","0","df.3"
"91","488.49","312.94","251.87","208.92","199.57","205.13","225.21","242.58","273.48","292.91","0","0","0","0","0","df.3"
"Food products2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","df.4"
"22","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","df.4"
"32","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","df.4"
"Fabricated metal products2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","df.4"
"52","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","df.4"
"62","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","df.4"
"Textiles2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","df.4"
"82","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","df.4"
"92","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","df.4"
"Food products3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","df.5"
"23","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","df.5"
"33","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","df.5"
"Fabricated metal products3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","df.5"
"53","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","df.5"
"63","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","df.5"
"Textiles3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","df.5"
"83","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","df.5"
"93","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","df.5"
