"","M=1","M=2","M=3","M=4","M=5","M=6","M=7","M=8","M=9","M=10","M=11","M=12","M=13","M=14","M=15","original_df"
"Food products","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","df.2"
"2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","df.2"
"3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","df.2"
"Fabricated metal products","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","df.2"
"5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","df.2"
"6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","df.2"
"Textiles","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","df.2"
"8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","df.2"
"9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","df.2"
"Food products1","$921.64^{***}$","$416.63^{}$","$34.55^{}$","$-933.95^{}$","$-1855.74^{}$","$-2150.94^{}$","$-2958.36^{}$","$-12606.03^{}$","$-2845.17^{}$","$-2702.83^{}$","0","0","0","0","0","df.3"
"21","307.39","-595.83","-992.72","-1160.59","-1261.05","-1299.25","-1354.49","-1391.91","-1412.52","-1397.92","0","0","0","0","0","df.3"
"31","354.12","-497.7","-843.17","-959.63","-1008.69","-995.48","-999.32","-985.33","-954.53","-888.53","0","0","0","0","0","df.3"
"Fabricated metal products1","$221.1^{***}$","$89.04^{***}$","$40.21^{}$","$19.92^{}$","$-43.69^{}$","$-88.88^{}$","$-669.46^{}$","$-265.16^{}$","$-358.56^{}$","$-2068.51^{}$","0","0","0","0","0","df.3"
"51","620.93","420.48","351.9","318.98","304.63","299.51","275.56","285.9","278.8","267.35","0","0","0","0","0","df.3"
"61","655.09","492.22","461.22","465.88","489.1","521.55","535.18","583.1","613.58","639.71","0","0","0","0","0","df.3"
"Textiles1","$217.99^{***}$","$118.41^{***}$","$-9.27^{}$","$-21.48^{}$","$-525.19^{}$","$-306.06^{}$","$-514.87^{}$","$-654.83^{}$","$-888.69^{}$","$-682.15^{}$","0","0","0","0","0","df.3"
"81","462.25","265.1","168.33","104.41","63.67","59.9","44.09","34.13","32.35","4.17","0","0","0","0","0","df.3"
"91","495.03","333.94","273.23","245.37","240.69","272.98","293.23","319.33","353.61","361.48","0","0","0","0","0","df.3"
"Food products2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","df.4"
"22","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","df.4"
"32","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","df.4"
"Fabricated metal products2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","df.4"
"52","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","df.4"
"62","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","df.4"
"Textiles2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","df.4"
"82","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","df.4"
"92","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","df.4"
"Food products3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","df.5"
"23","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","df.5"
"33","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","df.5"
"Fabricated metal products3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","df.5"
"53","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","df.5"
"63","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","df.5"
"Textiles3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","df.5"
"83","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","df.5"
"93","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","df.5"
