,M=1,M=2,M=3,M=4,M=5,M=1,M=2,M=3,M=4,M=5
Food products,$456.38^{***}$,$243^{**}$,$121.9^{**}$,$79.59^{*}$,$25.9^{*}$,,,,,
,96.0133427,-361.1410616,-596.3590342,-710.347374,-784.4123728,,,,,
Fabricated metal products,$-90.22^{}$,0,0,0,0,,,,,
,185.1293245,0,0,0,0,,,,,
Textiles,$-64.91^{}$,0,0,0,0,,,,,
,159.5259175,0,0,0,0,,,,,
"Wearing apparel, except footwear",$-16.61^{}$,0,0,0,0,,,,,
,131.2922865,0,0,0,0,,,,,
"Wood products, except furniture",$49.4^{***}$,$36.07^{**}$,$8.42^{}$,0,0,,,,,
,60.04137946,16.84797225,-11.49814546,0,0,,,,,
Plastic products,$9.29^{}$,0,0,0,0,,,,,
,61.19725201,0,0,0,0,,,,,
Printing and publishing,$-10.51^{}$,0,0,0,0,,,,,
,83.3045721,0,0,0,0,,,,,
"Machinery, except electrical",$-73.27^{}$,0,0,0,0,,,,,
,134.3825668,0,0,0,0,,,,,
Other chemicals,$15.17^{**}$,$25.95^{**}$,$18.47^{*}$,$28.64^{***}$,$12.63^{}$,,,,,
,96.52300308,88.64213471,70.53881115,58.64240843,50.63332636,,,,,
Other non-metallic mineral products,$-39.67^{}$,0,0,0,0,,,,,
,77.89916406,0,0,0,0,,,,,
"Footwear, except rubber or plastic",$27.68^{**}$,$17.83^{*}$,$16.86^{*}$,$7.22^{}$,0,,,,,
,48.6939528,26.99796852,13.0171807,0.224215896,0,,,,,
