,M=1,M=2,M=3,M=4,M=5,M=1,M=2,M=3,M=4,M=5
Food products,$805.51^{***}$,$637.77^{***}$,$204.92^{***}$,$80.54^{***}$,$72.41^{***}$,,,,,
,412.88,-395.30,-1030.63,-1229.79,-1304.49,,,,,
Fabricated metal products,$238.84^{***}$,$68.91^{***}$,$26.24^{***}$,$24.42^{***}$,$21.82^{***}$,,,,,
,712.68,478.84,415.79,394.18,375.59,,,,,
Textiles,$229.87^{***}$,$146.17^{***}$,$64.76^{***}$,$27.06^{***}$,$29.98^{**}$,,,,,
,628.53,401.18,260.97,199.27,175.45,,,,,
"Wearing apparel, except footwear",$266.92^{***}$,$105.98^{***}$,$45.06^{***}$,$11.73^{***}$,$10.4^{**}$,,,,,
,518.54,256.62,155.01,115.90,106.57,,,,,
"Wood products, except furniture",$236.76^{***}$,$54.25^{***}$,$16.32^{***}$,$10.12^{**}$,$10.7^{**}$,,,,,
,295.08,64.01,14.17,0.03,-5.37,,,,,
Plastic products,$154.85^{***}$,$53.62^{***}$,$14.34^{***}$,$10.44^{**}$,$11.44^{**}$,,,,,
,222.66,72.38,23.69,12.16,4.22,,,,,
Printing and publishing,$139.37^{***}$,$67.5^{***}$,$46.3^{***}$,$8.56^{**}$,$7.87^{*}$,,,,,
,336.80,202.10,140.51,98.73,94.97,,,,,
"Machinery, except electrical",$104.47^{***}$,$57.04^{***}$,$18.52^{***}$,$8.84^{**}$,$6.73^{**}$,,,,,
,480.01,380.52,328.09,315.31,307.37,,,,,
Other chemicals,$185.26^{***}$,$71.35^{***}$,$18.05^{***}$,$7.39^{*}$,$8.97^{**}$,,,,,
,241.95,62.50,-3.90,-16.03,-21.20,,,,,
Other non-metallic mineral products,$108.69^{***}$,$62.36^{***}$,$8.76^{**}$,$10.07^{**}$,$6.18^{}$,,,,,
,279.36,176.41,118.91,112.89,108.78,,,,,
"Footwear, except rubber or plastic",$137.72^{***}$,$65.83^{***}$,$29.73^{***}$,$22.72^{***}$,$5.96^{}$,,,,,
,150.40,17.68,-43.18,-67.24,-86.84,,,,,
