,M=1,M=2,M=3,M=4,M=5,M=1,M=2,M=3,M=4,M=5
Food products,$1165.08^{***}$,$874.27^{***}$,$257.49^{***}$,$130.61^{***}$,$139.59^{***}$,409.80,-755.00,-1624.78,-1879.04,-2005.70
,409.80,-755.00,-1624.78,-1879.04,-2005.70,,,,,
Fabricated metal products,$362.1^{***}$,$120.7^{***}$,$41.6^{***}$,$43.68^{***}$,$20.95^{***}$,898.85,541.65,425.18,388.52,350.41
,898.85,541.65,425.18,388.52,350.41,,,,,
Textiles,$325.17^{***}$,$222.28^{***}$,$74.19^{***}$,$47.58^{***}$,$51.65^{***}$,814.89,493.87,276.44,205.88,162.88
,814.89,493.87,276.44,205.88,162.88,,,,,
"Wearing apparel, except footwear",$381.31^{***}$,$138.07^{***}$,$63.17^{***}$,$19.86^{***}$,$23.15^{***}$,670.85,294.43,161.28,103.95,87.31
,670.85,294.43,161.28,103.95,87.31,,,,,
"Wood products, except furniture",$382.88^{***}$,$84.22^{***}$,$24.39^{***}$,$18.69^{***}$,$14.41^{***}$,422.91,43.83,-35.15,-54.87,-67.68
,422.91,43.83,-35.15,-54.87,-67.68,,,,,
Plastic products,$213.86^{***}$,$87.02^{***}$,$32.73^{***}$,$17.44^{***}$,$15.51^{***}$,328.95,119.51,37.37,10.27,-2.81
,328.95,119.51,37.37,10.27,-2.81,,,,,
Printing and publishing,$217.56^{***}$,$115.62^{***}$,$54.2^{***}$,$13.36^{***}$,$12.62^{***}$,435.89,222.55,112.52,63.27,54.80
,435.89,222.55,112.52,63.27,54.80,,,,,
"Machinery, except electrical",$160.51^{***}$,$97.12^{***}$,$20.16^{***}$,$10.12^{**}$,$11.58^{**}$,612.44,457.73,365.73,351.03,343.43
,612.44,457.73,365.73,351.03,343.43,,,,,
Other chemicals,$258.39^{***}$,$90.98^{***}$,$36.17^{***}$,$13.35^{***}$,$12.82^{***}$,307.58,54.88,-31.21,-61.65,-69.32
,307.58,54.88,-31.21,-61.65,-69.32,,,,,
Other non-metallic mineral products,$170.06^{***}$,$83.36^{***}$,$26.45^{***}$,$15.69^{***}$,$6.52^{}$,364.57,200.06,121.05,99.47,86.78
,364.57,200.06,121.05,99.47,86.78,,,,,
"Footwear, except rubber or plastic",$182.63^{***}$,$71.82^{***}$,$25.75^{***}$,$20.19^{***}$,$11.68^{**}$,159.43,-18.12,-85.17,-106.13,-122.57
,159.43,-18.12,-85.17,-106.13,-122.57,,,,,
