"","M=1","M=2","M=3","M=4","M=5"
"1","-","-","-","-","-"
"2","-","-","-","-","-"
"Food products","$1362.45^{*}$","$507.12^{*}$","$231.07^{*}$","$138.25^{}$","0"
"4","160.004677794239","-1197.62663399875","-1697.02128206827","-1921.23524726946","0"
"5","-","-","-","-","-"
"6","-","-","-","-","-"
"Fabricated metal products","$289.4^{**}$","$104.49^{**}$","$50.18^{**}$","$58.3^{*}$","$162.59^{}$"
"8","682.270527757379","399.557963116907","302.242366165105","257.534340706297","200.58999845504"
"9","-","-","-","-","-"
"10","-","-","-","-","-"
"Textiles","$282.99^{**}$","$108.46^{***}$","$83.38^{*}$","$51.18^{*}$","$19.79^{}$"
"12","525.037650006783","249.654394422276","147.129025252345","70.7252522760762","38.7756315058237"
"13","-","-","-","-","-"
"14","-","-","-","-","-"
"Wearing apparel, except footwear","$288.29^{**}$","$140.26^{*}$","$38.39^{**}$","$20.16^{*}$","$-24.75^{}$"
"16","479.488825150351","197.115836381967","64.7608846212375","34.2801355606686","13.2537677846848"
"17","-","-","-","-","-"
"18","-","-","-","-","-"
"Wood products, except furniture","$319.71^{**}$","$70.53^{}$","0","0","0"
"20","266.105946093514","-47.9675987142181","0","0","0"
"21","-","-","-","-","-"
"22","-","-","-","-","-"
"Plastic products","$193.12^{**}$","$73.77^{*}$","$43.21^{}$","0","0"
"24","267.22646545503","80.9537061568729","14.1025166258852","0","0"
"25","-","-","-","-","-"
"26","-","-","-","-","-"
"Printing and publishing","$218.63^{***}$","$96.7^{*}$","$40.77^{*}$","$15.38^{}$","0"
"28","342.338463705949","130.561315732763","30.5181730214632","-14.7995012095259","0"
"29","-","-","-","-","-"
"30","-","-","-","-","-"
"Machinery, except electrical","$155.04^{**}$","$90.05^{**}$","$32.38^{*}$","$186.49^{*}$","$161.46^{**}$"
"32","472.870589264439","324.525080549457","241.27156285565","216.490007502656","199.462456776525"
"33","-","-","-","-","-"
"34","-","-","-","-","-"
"Other chemicals","$261.54^{*}$","$81.85^{*}$","$43.59^{*}$","$18.07^{}$","0"
"36","297.115230160996","42.9967666536805","-30.8563998443777","-66.6476956469225","0"
"37","-","-","-","-","-"
"38","-","-","-","-","-"
"Other non-metallic mineral products","$113.25^{*}$","$76.15^{**}$","$102.54^{***}$","$56.69^{***}$","$23.94^{***}$"
"40","301.881369673218","195.3942280222","124.542330287332","86.6897363452158","61.9442688942241"
"41","-","-","-","-","-"
"42","-","-","-","-","-"
"Footwear, except rubber or plastic","$164.51^{}$","0","0","0","0"
"44","144.621838055715","0","0","0","0"
