,M=1,M=2,M=3,M=4,M=5
Food products,$1574.29^{**}$,$597.75^{**}$,$260.81^{}$,0,0
,47.22,-1523.44,-2113.20,0.00,0.00
Fabricated metal products,$-270.73^{}$,0,0,0,0
,174.60,0.00,0.00,0.00,0.00
Textiles,$-79.53^{}$,0,0,0,0
,123.81,0.00,0.00,0.00,0.00
"Wearing apparel, except footwear",$-90.88^{}$,0,0,0,0
,117.85,0.00,0.00,0.00,0.00
"Wood products, except furniture",$146.57^{**}$,$97.77^{**}$,$49.13^{**}$,$21.11^{*}$,$-263.01^{}$
,75.43,-64.51,-155.51,-197.75,-225.01
Plastic products,$-18.54^{}$,0,0,0,0
,72.05,0.00,0.00,0.00,0.00
Printing and publishing,$-23.15^{}$,0,0,0,0
,87.95,0.00,0.00,0.00,0.00
"Machinery, except electrical",$-242.48^{}$,0,0,0,0
,118.57,0.00,0.00,0.00,0.00
Other chemicals,$49.38^{*}$,$91.66^{*}$,$51.79^{*}$,$22.06^{}$,0
,76.73,34.93,-49.02,-93.64,0.00
Other non-metallic mineral products,$-120.02^{}$,0,0,0,0
,77.42,0.00,0.00,0.00,0.00
"Footwear, except rubber or plastic",$78.07^{**}$,$85.35^{*}$,$45.82^{***}$,$34.92^{***}$,$-220.73^{}$
,47.13,-24.34,-102.34,-150.42,-182.73
