"","M=1","M=2","M=3","M=4","M=5","M=6","M=7","M=8","M=9","M=10","original_df"
"Food products","0","0","0","0","0","0","0","0","0","0","df.2"
"2","0","0","0","0","0","0","0","0","0","0","df.2"
"3","0","0","0","0","0","0","0","0","0","0","df.2"
"Fabricated metal products","0","0","0","0","0","0","0","0","0","0","df.2"
"5","0","0","0","0","0","0","0","0","0","0","df.2"
"6","0","0","0","0","0","0","0","0","0","0","df.2"
"Textiles","0","0","0","0","0","0","0","0","0","0","df.2"
"8","0","0","0","0","0","0","0","0","0","0","df.2"
"9","0","0","0","0","0","0","0","0","0","0","df.2"
"Food products1","$3961.73^{***}$","$-65568.51^{}$","$-4875.37$","$-16320.74$","$-78916.93$","$-142569.23$","$-101008.18$","$-110724.48$","$-71067.05$","$-57482.56$","df.3"
"21","7821.86","-61723.4","-5299.72","-12556.85","-75708.09","-138721.6","-97319.85","-181814.91","-134091.86","-98839.17","df.3"
"31","7845.22","-61672","-5220.28","-12449.36","-75572.57","-138558.04","-97128.24","-181595.26","-133844.17","-98563.44","df.3"
"Fabricated metal products1","$1045.8^{***}$","$28.18^{*}$","$-4571.56$","$-10.47$","$-8369.37$","$-2700.62$","$-12741.45$","$-26342.61$","$26298.98$","$-19069.99$","df.3"
"51","2267.41","1232.18","-6602.86","1185.07","-9275.54","-5951.26","-21833.84","-47764","-55329.86","-35114.37","df.3"
"61","2284.49","1269.75","-6544.78","1263.64","-9176.47","-5831.69","-21693.78","-47603.45","-55148.8","-34912.82","df.3"
"Textiles1","$890.55^{***}$","$20.45^{*}$","$82$","$11111.81$","$-23930.49$","$-14332.6$","$20579.17$","$-20784.29$","$14539.13$","$-33103.67$","df.3"
"81","1826.42","945.76","935.33","37.54","-23078.68","-40754.47","-4426.67","-20670.83","-24896.47","-41331.89","df.3"
"91","1842.81","981.82","991.06","112.94","-22983.62","-40639.74","-4292.27","-20516.75","-24722.73","-41138.48","df.3"
"Food products2","0","0","0","0","0","0","0","0","0","0","df.4"
"22","0","0","0","0","0","0","0","0","0","0","df.4"
"32","0","0","0","0","0","0","0","0","0","0","df.4"
"Fabricated metal products2","0","0","0","0","0","0","0","0","0","0","df.4"
"52","0","0","0","0","0","0","0","0","0","0","df.4"
"62","0","0","0","0","0","0","0","0","0","0","df.4"
"Textiles2","0","0","0","0","0","0","0","0","0","0","df.4"
"82","0","0","0","0","0","0","0","0","0","0","df.4"
"92","0","0","0","0","0","0","0","0","0","0","df.4"
"Food products3","0","0","0","0","0","0","0","0","0","0","df.5"
"23","0","0","0","0","0","0","0","0","0","0","df.5"
"33","0","0","0","0","0","0","0","0","0","0","df.5"
"Fabricated metal products3","0","0","0","0","0","0","0","0","0","0","df.5"
"53","0","0","0","0","0","0","0","0","0","0","df.5"
"63","0","0","0","0","0","0","0","0","0","0","df.5"
"Textiles3","0","0","0","0","0","0","0","0","0","0","df.5"
"83","0","0","0","0","0","0","0","0","0","0","df.5"
"93","0","0","0","0","0","0","0","0","0","0","df.5"
