"","M=1","M=2","M=3","M=4","M=5","M=6","M=7","M=8","M=9","M=10","original_df"
"Food products","0","0","0","0","0","0","0","0","0","0","df.2"
"2","0","0","0","0","0","0","0","0","0","0","df.2"
"3","0","0","0","0","0","0","0","0","0","0","df.2"
"Fabricated metal products","0","0","0","0","0","0","0","0","0","0","df.2"
"5","0","0","0","0","0","0","0","0","0","0","df.2"
"6","0","0","0","0","0","0","0","0","0","0","df.2"
"Textiles","0","0","0","0","0","0","0","0","0","0","df.2"
"8","0","0","0","0","0","0","0","0","0","0","df.2"
"9","0","0","0","0","0","0","0","0","0","0","df.2"
"Food products1","$816.06^{***}$","$489.37^{***}$","$169.14^{***}$","$80.88^{***}$","$80.63^{***}$","$52.67^{***}$","$31.29^{***}$","$17.16^{**}$","$20.55^{***}$","$-66.54^{}$","df.3"
"21","6745.36","5930","5447.85","5286.31","5212.44","5134.34","5083.98","5055.72","5047.07","5037.18","df.3"
"31","6759.39","5962.74","5499.3","5356.47","5301.31","5241.91","5210.27","5200.71","5210.77","5219.59","df.3"
"Fabricated metal products1","$199.35^{***}$","$63.25^{***}$","$49.24^{***}$","$30.27^{***}$","$15.73^{**}$","$18.25^{**}$","$17.58^{**}$","$-24.4^{}$","$11.08^{}$","$9.97^{}$","df.3"
"51","1913.39","1720.81","1662.39","1619.69","1596.12","1580.97","1571.72","1565.16","1562.17","1562.17","df.3"
"61","1923.64","1744.72","1699.97","1670.93","1661.03","1659.54","1663.96","1671.06","1681.74","1695.4","df.3"
"Textiles1","$201.86^{***}$","$95.17^{***}$","$61.43^{***}$","$31.17^{***}$","$14.12^{*}$","$17.45^{**}$","$9.13^{}$","$5.18^{}$","$4.08^{}$","$5.18^{}$","df.3"
"81","1672.08","1477.05","1388.88","1331.76","1306.36","1289.54","1278.54","1268.28","1268.09","1269.31","df.3"
"91","1681.91","1499.99","1424.93","1380.93","1368.65","1364.94","1367.05","1369.9","1382.83","1397.16","df.3"
"Food products2","0","0","0","0","0","0","0","0","0","0","df.4"
"22","0","0","0","0","0","0","0","0","0","0","df.4"
"32","0","0","0","0","0","0","0","0","0","0","df.4"
"Fabricated metal products2","0","0","0","0","0","0","0","0","0","0","df.4"
"52","0","0","0","0","0","0","0","0","0","0","df.4"
"62","0","0","0","0","0","0","0","0","0","0","df.4"
"Textiles2","0","0","0","0","0","0","0","0","0","0","df.4"
"82","0","0","0","0","0","0","0","0","0","0","df.4"
"92","0","0","0","0","0","0","0","0","0","0","df.4"
"Food products3","0","0","0","0","0","0","0","0","0","0","df.5"
"23","0","0","0","0","0","0","0","0","0","0","df.5"
"33","0","0","0","0","0","0","0","0","0","0","df.5"
"Fabricated metal products3","0","0","0","0","0","0","0","0","0","0","df.5"
"53","0","0","0","0","0","0","0","0","0","0","df.5"
"63","0","0","0","0","0","0","0","0","0","0","df.5"
"Textiles3","0","0","0","0","0","0","0","0","0","0","df.5"
"83","0","0","0","0","0","0","0","0","0","0","df.5"
"93","0","0","0","0","0","0","0","0","0","0","df.5"
