"","M=1","M=2","M=3","M=4","M=5","M=6","M=7","M=8","M=9","M=10","original_df"
"Food products","0","0","0","0","0","0","0","0","0","0","df.2"
"2","0","0","0","0","0","0","0","0","0","0","df.2"
"3","0","0","0","0","0","0","0","0","0","0","df.2"
"Fabricated metal products","0","0","0","0","0","0","0","0","0","0","df.2"
"5","0","0","0","0","0","0","0","0","0","0","df.2"
"6","0","0","0","0","0","0","0","0","0","0","df.2"
"Textiles","0","0","0","0","0","0","0","0","0","0","df.2"
"8","0","0","0","0","0","0","0","0","0","0","df.2"
"9","0","0","0","0","0","0","0","0","0","0","df.2"
"Food products1","$805.09^{***}$","$478.64^{***}$","$177.08^{***}$","$84.13^{***}$","$80.96^{***}$","$51.97^{***}$","$32.3^{***}$","$19.5^{}$","$19.08^{}$","$3.66^{}$","df.3"
"21","6713.41","5910.61","5441.07","5273.4","5197.12","5122.14","5074.35","5047.49","5035.75","5031.19","df.3"
"31","6732.11","5952.7","5506.55","5362.27","5309.37","5257.78","5233.37","5229.9","5241.54","5260.37","df.3"
"Fabricated metal products1","$204.45^{***}$","$63.57^{***}$","$49.42^{***}$","$28.61^{***}$","$18.32^{}$","$17.34^{}$","$-1.11^{}$","$-12.21^{}$","$-3.69^{}$","$-28.2^{}$","df.3"
"51","1912.4","1716.55","1661.62","1620.49","1596.73","1581.48","1568.87","1562.96","1552.9","1556.17","df.3"
"61","1926.06","1747.29","1709.44","1685.39","1678.71","1680.54","1685.02","1696.19","1703.21","1723.56","df.3"
"Textiles1","$203.69^{***}$","$90.69^{***}$","$58.4^{***}$","$32.55^{***}$","$16.19^{}$","$16.94^{}$","$0.06^{}$","$7.46^{}$","$0.6^{}$","$-132.07^{}$","df.3"
"81","1660.88","1466.05","1385.28","1332.25","1303.92","1277.97","1257.34","1254.57","1250.06","1233.46","df.3"
"91","1673.99","1495.55","1431.18","1394.54","1382.59","1373.03","1368.8","1382.42","1394.3","1394.09","df.3"
"Food products2","0","0","0","0","0","0","0","0","0","0","df.4"
"22","0","0","0","0","0","0","0","0","0","0","df.4"
"32","0","0","0","0","0","0","0","0","0","0","df.4"
"Fabricated metal products2","0","0","0","0","0","0","0","0","0","0","df.4"
"52","0","0","0","0","0","0","0","0","0","0","df.4"
"62","0","0","0","0","0","0","0","0","0","0","df.4"
"Textiles2","0","0","0","0","0","0","0","0","0","0","df.4"
"82","0","0","0","0","0","0","0","0","0","0","df.4"
"92","0","0","0","0","0","0","0","0","0","0","df.4"
"Food products3","0","0","0","0","0","0","0","0","0","0","df.5"
"23","0","0","0","0","0","0","0","0","0","0","df.5"
"33","0","0","0","0","0","0","0","0","0","0","df.5"
"Fabricated metal products3","0","0","0","0","0","0","0","0","0","0","df.5"
"53","0","0","0","0","0","0","0","0","0","0","df.5"
"63","0","0","0","0","0","0","0","0","0","0","df.5"
"Textiles3","0","0","0","0","0","0","0","0","0","0","df.5"
"83","0","0","0","0","0","0","0","0","0","0","df.5"
"93","0","0","0","0","0","0","0","0","0","0","df.5"
