"","M=1","M=2","M=3","M=4","M=5","M=6","M=7","M=8","M=9","M=10","original_df"
"Food products","0","0","0","0","0","0","0","0","0","0","df.2"
"2","0","0","0","0","0","0","0","0","0","0","df.2"
"3","0","0","0","0","0","0","0","0","0","0","df.2"
"Fabricated metal products","0","0","0","0","0","0","0","0","0","0","df.2"
"5","0","0","0","0","0","0","0","0","0","0","df.2"
"6","0","0","0","0","0","0","0","0","0","0","df.2"
"Textiles","0","0","0","0","0","0","0","0","0","0","df.2"
"8","0","0","0","0","0","0","0","0","0","0","df.2"
"9","0","0","0","0","0","0","0","0","0","0","df.2"
"Food products1","$64326.7^{}$","$216508.63$","$100491.09$","$154072.98$","$80448.3$","$22805.75$","$3747.01$","$1412.28$","$67671.74$","$40465.79$","df.3"
"21","7798.1","-90500.94","-211576.81","-162778.31","-190099.15","-341850.99","-281813.66","-306570.01","-224721.6","-330506","df.3"
"31","7849.51","-90393.45","-211413.25","-162558.66","-189823.43","-341519.19","-281425.78","-306126.05","-224221.55","-329949.88","df.3"
"Fabricated metal products1","$35550.94^{}$","$18638.08$","$-34128.9$","$-16622.47$","$34139.12$","$519.71$","$9744.14$","$4040.75$","$-1011.34$","$14245.13$","df.3"
"51","2274.91","-34767.68","-75438.91","-54948.69","-42290.52","-65755.4","-57724.16","-69275.07","-78721.01","-70532","df.3"
"61","2312.49","-34689.11","-75319.35","-54788.13","-42088.97","-65512.85","-57440.63","-68950.54","-78355.48","-70125.48","df.3"
"Textiles1","$14074.52^{}$","$-23768.65$","$-16012.6$","$15899.32$","$-5831.02$","$-3096.64$","$8446.81$","$-10601.52$","$-12556.75$","$-12423.87$","df.3"
"81","1826.66","-63652.51","-47840.08","-63547.21","-67220.02","-64611.15","-67131.85","-86052.71","-79291.02","-83306.11","df.3"
"91","1862.72","-63577.11","-47725.35","-63393.14","-67026.61","-64378.41","-66859.76","-85741.29","-78940.26","-82916.01","df.3"
"Food products2","0","0","0","0","0","0","0","0","0","0","df.4"
"22","0","0","0","0","0","0","0","0","0","0","df.4"
"32","0","0","0","0","0","0","0","0","0","0","df.4"
"Fabricated metal products2","0","0","0","0","0","0","0","0","0","0","df.4"
"52","0","0","0","0","0","0","0","0","0","0","df.4"
"62","0","0","0","0","0","0","0","0","0","0","df.4"
"Textiles2","0","0","0","0","0","0","0","0","0","0","df.4"
"82","0","0","0","0","0","0","0","0","0","0","df.4"
"92","0","0","0","0","0","0","0","0","0","0","df.4"
"Food products3","0","0","0","0","0","0","0","0","0","0","df.5"
"23","0","0","0","0","0","0","0","0","0","0","df.5"
"33","0","0","0","0","0","0","0","0","0","0","df.5"
"Fabricated metal products3","0","0","0","0","0","0","0","0","0","0","df.5"
"53","0","0","0","0","0","0","0","0","0","0","df.5"
"63","0","0","0","0","0","0","0","0","0","0","df.5"
"Textiles3","0","0","0","0","0","0","0","0","0","0","df.5"
"83","0","0","0","0","0","0","0","0","0","0","df.5"
"93","0","0","0","0","0","0","0","0","0","0","df.5"
