"","M=1","M=2","M=3","M=4","M=5","M=6","M=7","M=8","M=9","M=10","original_df"
"Food products","0","0","0","0","0","0","0","0","0","0","df.2"
"2","0","0","0","0","0","0","0","0","0","0","df.2"
"3","0","0","0","0","0","0","0","0","0","0","df.2"
"Fabricated metal products","0","0","0","0","0","0","0","0","0","0","df.2"
"5","0","0","0","0","0","0","0","0","0","0","df.2"
"6","0","0","0","0","0","0","0","0","0","0","df.2"
"Textiles","0","0","0","0","0","0","0","0","0","0","df.2"
"8","0","0","0","0","0","0","0","0","0","0","df.2"
"9","0","0","0","0","0","0","0","0","0","0","df.2"
"Food products1","$4271.61^{***}$","$-5358.46^{**}$","$61685571.43$","$69663.78$","$331704.81$","$388981.69$","$49308.95$","$5246.29$","$9407579.4$","$1413158.64$","df.3"
"21","7814.96","-4507.23","-123541.1","-238028.63","-271563.9","-246158.49","-372080.28","-314772.56","-244716.03","-268049","df.3"
"31","7852.34","-4427.79","-123419.6","-237865.06","-271358.27","-245910.81","-371790.54","-314440.75","-244342.17","-267633.08","df.3"
"Fabricated metal products1","$1071.03^{**}$","$119144.99$","$68737.89$","$-41550.55$","$2181.93$","$421554.21$","$34594.22$","$424246.56$","$5419.01$","$188755.7$","df.3"
"51","2267.96","-5255.74","-21222.06","-58265.11","-47594.92","-68373.5","-58864.15","-48432.48","-80837.71","-68960.22","df.3"
"61","2295.28","-5197.67","-21133.24","-58145.55","-47444.61","-68192.45","-58652.36","-48189.94","-80564.42","-68656.19","df.3"
"Textiles1","$912.03^{**}$","$2878.87$","$92768.38$","$8740.89$","$58352$","$59373.41$","$99767.96$","$86354.13$","$63217.4$","$134306.66$","df.3"
"81","1831.18","998.48","-17882.53","-63567.56","-48398.11","-74118.67","-96109.86","-72363.98","-77187.73","-68780.82","df.3"
"91","1857.4","1054.21","-17797.3","-63452.83","-48253.87","-73944.93","-95906.62","-72131.24","-76925.48","-68489.06","df.3"
"Food products2","0","0","0","0","0","0","0","0","0","0","df.4"
"22","0","0","0","0","0","0","0","0","0","0","df.4"
"32","0","0","0","0","0","0","0","0","0","0","df.4"
"Fabricated metal products2","0","0","0","0","0","0","0","0","0","0","df.4"
"52","0","0","0","0","0","0","0","0","0","0","df.4"
"62","0","0","0","0","0","0","0","0","0","0","df.4"
"Textiles2","0","0","0","0","0","0","0","0","0","0","df.4"
"82","0","0","0","0","0","0","0","0","0","0","df.4"
"92","0","0","0","0","0","0","0","0","0","0","df.4"
"Food products3","0","0","0","0","0","0","0","0","0","0","df.5"
"23","0","0","0","0","0","0","0","0","0","0","df.5"
"33","0","0","0","0","0","0","0","0","0","0","df.5"
"Fabricated metal products3","0","0","0","0","0","0","0","0","0","0","df.5"
"53","0","0","0","0","0","0","0","0","0","0","df.5"
"63","0","0","0","0","0","0","0","0","0","0","df.5"
"Textiles3","0","0","0","0","0","0","0","0","0","0","df.5"
"83","0","0","0","0","0","0","0","0","0","0","df.5"
"93","0","0","0","0","0","0","0","0","0","0","df.5"
