"","M=1","M=2","M=3","M=4","M=5","M=6","M=7","M=8","M=9","M=10","original_df"
"Food products","$986.68^{***}$","$751.56^{***}$","$244.64^{***}$","$114.41^{***}$","$114.04^{***}$","$80.41^{***}$","$31.41^{***}$","$17.69^{***}$","$18.16^{***}$","$12.53^{***}$","LR"
"Fabricated metal products","$301.4^{***}$","$112.16^{***}$","$41.94^{***}$","$38.97^{***}$","$14.69^{***}$","$15.8^{***}$","$8.66^{*}$","$8.91^{*}$","$0.01^{}$","$1.97^{}$","LR"
"Textiles","$260.83^{***}$","$144.73^{***}$","$59.93^{***}$","$47.49^{***}$","$35.88^{***}$","$19.11^{***}$","$11.05^{**}$","$7.39^{**}$","$6.81^{**}$","$9.11^{***}$","LR"
"Food products","8982.04","7996.84","7249.96","7010.11","6898.29","6784.32","6707.27","6680.56","6665.03","6647.75","AIC"
"Fabricated metal products","2557.09","2260.35","2152.64","2115.3","2078.56","2063.57","2053.32","2046.68","2041.02","2041.54","AIC"
"Textiles","2227.89","1972.34","1831.21","1777.04","1727.83","1697.14","1679.85","1668.58","1661.21","1656.22","AIC"
"Food products","8991.39","8020.21","7287.35","7061.51","6963.71","6863.77","6800.74","6788.05","6786.54","6783.28","BIC"
"Fabricated metal products","2563.92","2277.43","2179.97","2152.87","2126.38","2121.64","2121.64","2125.25","2129.84","2140.61","BIC"
"Textiles","2234.45","1988.73","1857.44","1813.1","1773.72","1752.86","1745.41","1743.98","1746.44","1751.28","BIC"
"Food products","701.266400436388","475.190910966459","52.2540336232362","34.0411156618045","0","0","0","0","0","0","Nonpar"
"Fabricated metal products","149.215714864498","217.506349034972","38.4831047066369","0","0","0","0","0","0","0","Nonpar"
"Textiles","175.088244020848","137.300011348481","26.5854859165803","0","0","0","0","0","0","0","Nonpar"
"Food products","0","0","0.03908095277868","0.107031932161371","0","0","0","0","0","0","Nonpar pval"
"Fabricated metal products","0","0","0.357780769077553","0","0","0","0","0","0","0","Nonpar pval"
"Textiles","0","2.65277022570842e-10","0.873649766870241","0","0","0","0","0","0","0","Nonpar pval"
