"","M=1","M=2","M=3","M=4","M=5","M=6","M=7","M=8","M=9","M=10","original_df"
"chemical","0","0","0","0","0","0","0","0","0","0","df.2"
"2","0","0","0","0","0","0","0","0","0","0","df.2"
"3","0","0","0","0","0","0","0","0","0","0","df.2"
"electronics","0","0","0","0","0","0","0","0","0","0","df.2"
"5","0","0","0","0","0","0","0","0","0","0","df.2"
"6","0","0","0","0","0","0","0","0","0","0","df.2"
"machine","0","0","0","0","0","0","0","0","0","0","df.2"
"8","0","0","0","0","0","0","0","0","0","0","df.2"
"9","0","0","0","0","0","0","0","0","0","0","df.2"
"chemical1","$806.85^{***}$","$26.17^{}$","$41.06$","$111.41$","$143.42$","$132.86$","$-7088.59$","$-1921.98$","$-5430.15$","$7979.37$","df.3"
"21","208.37","-589.73","-627.79","-631.41","-639.88","-6129.45","-8182.3","-5941.6","-13360.02","-7305.54","df.3"
"31","223.77","-555.83","-575.41","-560.54","-550.52","-6021.6","-8055.96","-5796.77","-13196.7","-7123.74","df.3"
"electronics1","$890.36^{***}$","$126.59^{**}$","$154.08$","$140.32$","$17.02$","$25.69$","$2380.26$","$137.67$","$-3716.71$","$-5601.87$","df.3"
"51","416.01","-421.05","-458.81","-466.65","-492.58","-494.11","-9704.59","-437","-4310.56","-7848.61","df.3"
"61","431.22","-387.57","-407.07","-396.66","-404.32","-387.59","-9579.81","-293.95","-4149.26","-7669.05","df.3"
"machine1","$874.54^{***}$","$37.43^{**}$","$33.21$","$94.4$","$-1512$","$117.08$","$-4229.06$","$-6861.42$","$-15940.48$","$-2157.08$","df.3"
"81","668.05","-198.88","-223.35","-235.33","-1863.39","-210.15","-4554.63","-7358.71","-16200.32","-3062.32","df.3"
"91","683.36","-165.19","-171.29","-164.89","-1774.58","-102.96","-4429.06","-7214.77","-16038","-2881.62","df.3"
"chemical2","0","0","0","0","0","0","0","0","0","0","df.4"
"22","0","0","0","0","0","0","0","0","0","0","df.4"
"32","0","0","0","0","0","0","0","0","0","0","df.4"
"electronics2","0","0","0","0","0","0","0","0","0","0","df.4"
"52","0","0","0","0","0","0","0","0","0","0","df.4"
"62","0","0","0","0","0","0","0","0","0","0","df.4"
"machine2","0","0","0","0","0","0","0","0","0","0","df.4"
"82","0","0","0","0","0","0","0","0","0","0","df.4"
"92","0","0","0","0","0","0","0","0","0","0","df.4"
"chemical3","0","0","0","0","0","0","0","0","0","0","df.5"
"23","0","0","0","0","0","0","0","0","0","0","df.5"
"33","0","0","0","0","0","0","0","0","0","0","df.5"
"electronics3","0","0","0","0","0","0","0","0","0","0","df.5"
"53","0","0","0","0","0","0","0","0","0","0","df.5"
"63","0","0","0","0","0","0","0","0","0","0","df.5"
"machine3","0","0","0","0","0","0","0","0","0","0","df.5"
"83","0","0","0","0","0","0","0","0","0","0","df.5"
"93","0","0","0","0","0","0","0","0","0","0","df.5"
