"","M=1","M=2","M=3","M=4","M=5","M=6","M=7","M=8","M=9","M=10","original_df"
"chemical","0","0","0","0","0","0","0","0","0","0","df.2"
"2","0","0","0","0","0","0","0","0","0","0","df.2"
"3","0","0","0","0","0","0","0","0","0","0","df.2"
"electronics","0","0","0","0","0","0","0","0","0","0","df.2"
"5","0","0","0","0","0","0","0","0","0","0","df.2"
"6","0","0","0","0","0","0","0","0","0","0","df.2"
"machine","0","0","0","0","0","0","0","0","0","0","df.2"
"8","0","0","0","0","0","0","0","0","0","0","df.2"
"9","0","0","0","0","0","0","0","0","0","0","df.2"
"chemical1","$459.4^{***}$","$236.36^{***}$","$125.42^{***}$","$118.36^{***}$","$87.63^{***}$","$53.72^{***}$","$38.69^{***}$","$34.07^{**}$","$36.47^{***}$","$23.38^{***}$","df.3"
"21","1375.51","922.04","692.64","574.1","460.32","379.05","330.29","298.94","273.64","245.92","df.3"
"31","1384.76","943.61","726.53","620.32","518.86","449.92","413.49","394.46","381.48","366.09","df.3"
"electronics1","$560.06^{***}$","$213.82^{***}$","$116.29^{***}$","$78.81^{***}$","$47.05^{***}$","$40.77^{***}$","$27.4^{***}$","$29.02^{*}$","$19.22^{***}$","$14.27^{*}$","df.3"
"51","1323.01","766.88","559.96","450.09","376.32","336.77","303.28","278.28","257.73","232.22","df.3"
"61","1332.14","788.19","593.44","495.74","434.15","406.77","385.45","372.63","364.25","350.92","df.3"
"machine1","$433.19^{***}$","$202.92^{***}$","$80.42^{***}$","$76.82^{***}$","$53.83^{***}$","$34.62^{**}$","$55.65^{**}$","$42.27^{**}$","$0.72^{}$","$26.03$","df.3"
"81","1346.42","919.05","723.31","650.12","580.29","546.96","506.25","477.22","439.05","428.71","df.3"
"91","1355.6","940.49","757","696.06","638.48","617.4","588.94","572.16","546.24","548.15","df.3"
"chemical2","0","0","0","0","0","0","0","0","0","0","df.4"
"22","0","0","0","0","0","0","0","0","0","0","df.4"
"32","0","0","0","0","0","0","0","0","0","0","df.4"
"electronics2","0","0","0","0","0","0","0","0","0","0","df.4"
"52","0","0","0","0","0","0","0","0","0","0","df.4"
"62","0","0","0","0","0","0","0","0","0","0","df.4"
"machine2","0","0","0","0","0","0","0","0","0","0","df.4"
"82","0","0","0","0","0","0","0","0","0","0","df.4"
"92","0","0","0","0","0","0","0","0","0","0","df.4"
"chemical3","0","0","0","0","0","0","0","0","0","0","df.5"
"23","0","0","0","0","0","0","0","0","0","0","df.5"
"33","0","0","0","0","0","0","0","0","0","0","df.5"
"electronics3","0","0","0","0","0","0","0","0","0","0","df.5"
"53","0","0","0","0","0","0","0","0","0","0","df.5"
"63","0","0","0","0","0","0","0","0","0","0","df.5"
"machine3","0","0","0","0","0","0","0","0","0","0","df.5"
"83","0","0","0","0","0","0","0","0","0","0","df.5"
"93","0","0","0","0","0","0","0","0","0","0","df.5"
