"","M=1","M=2","M=3","M=4","M=5","M=6","M=7","M=8","M=9","M=10","original_df"
"chemical","0","0","0","0","0","0","0","0","0","0","df.2"
"2","0","0","0","0","0","0","0","0","0","0","df.2"
"3","0","0","0","0","0","0","0","0","0","0","df.2"
"electronics","0","0","0","0","0","0","0","0","0","0","df.2"
"5","0","0","0","0","0","0","0","0","0","0","df.2"
"6","0","0","0","0","0","0","0","0","0","0","df.2"
"machine","0","0","0","0","0","0","0","0","0","0","df.2"
"8","0","0","0","0","0","0","0","0","0","0","df.2"
"9","0","0","0","0","0","0","0","0","0","0","df.2"
"chemical1","$412.35^{***}$","$224.09^{***}$","$141.59^{***}$","$132.24^{**}$","$121.56^{**}$","$118.64^{**}$","$43.14^{**}$","$49.22^{**}$","$-38.11^{}$","$30.67^{**}$","df.3"
"21","1281.72","877.71","662.58","528.75","416.12","390.38","284.29","270.12","246.7","221.71","df.3"
"31","1294.05","905.44","705.72","587.3","490.07","479.74","389.05","390.29","382.28","372.69","df.3"
"electronics1","$573.11^{***}$","$218.38^{***}$","$116.07^{***}$","$94.76^{**}$","$47.73^{**}$","$42.27^{**}$","$33.67^{**}$","$37.32^{**}$","$17.26^{}$","$14.48^{}$","df.3"
"51","1324.52","757.56","548.12","440.73","353.19","301.65","268.58","252.95","225.24","219.13","df.3"
"61","1336.69","784.95","590.73","498.55","426.23","389.91","372.05","371.64","359.15","368.25","df.3"
"machine1","$468.06^{***}$","$204.01^{***}$","$93.35^{***}$","$81.62^{***}$","$62^{***}$","$37.04^{***}$","$14.21^{}$","$-23.69^{}$","$-32.44^{}$","$-12.09^{}$","df.3"
"81","1348.31","888.12","693.32","618.08","552.16","507.63","460.21","429.26","402.03","389.57","df.3"
"91","1360.56","915.69","736.2","676.26","625.66","596.45","564.34","548.7","536.78","539.64","df.3"
"chemical2","0","0","0","0","0","0","0","0","0","0","df.4"
"22","0","0","0","0","0","0","0","0","0","0","df.4"
"32","0","0","0","0","0","0","0","0","0","0","df.4"
"electronics2","0","0","0","0","0","0","0","0","0","0","df.4"
"52","0","0","0","0","0","0","0","0","0","0","df.4"
"62","0","0","0","0","0","0","0","0","0","0","df.4"
"machine2","0","0","0","0","0","0","0","0","0","0","df.4"
"82","0","0","0","0","0","0","0","0","0","0","df.4"
"92","0","0","0","0","0","0","0","0","0","0","df.4"
"chemical3","0","0","0","0","0","0","0","0","0","0","df.5"
"23","0","0","0","0","0","0","0","0","0","0","df.5"
"33","0","0","0","0","0","0","0","0","0","0","df.5"
"electronics3","0","0","0","0","0","0","0","0","0","0","df.5"
"53","0","0","0","0","0","0","0","0","0","0","df.5"
"63","0","0","0","0","0","0","0","0","0","0","df.5"
"machine3","0","0","0","0","0","0","0","0","0","0","df.5"
"83","0","0","0","0","0","0","0","0","0","0","df.5"
"93","0","0","0","0","0","0","0","0","0","0","df.5"
