"","M=1","M=2","M=3","M=4","M=5","M=6","M=7","M=8","M=9","M=10","original_df"
"chemical","0","0","0","0","0","0","0","0","0","0","df.2"
"2","0","0","0","0","0","0","0","0","0","0","df.2"
"3","0","0","0","0","0","0","0","0","0","0","df.2"
"electronics","0","0","0","0","0","0","0","0","0","0","df.2"
"5","0","0","0","0","0","0","0","0","0","0","df.2"
"6","0","0","0","0","0","0","0","0","0","0","df.2"
"machine","0","0","0","0","0","0","0","0","0","0","df.2"
"8","0","0","0","0","0","0","0","0","0","0","df.2"
"9","0","0","0","0","0","0","0","0","0","0","df.2"
"chemical1","$27540.59^{}$","$25387.09$","$26199.37$","$20114.78$","$27915.4$","$24069.44$","$16914.52$","$52652.64$","$24065.47$","$17172.88$","df.3"
"21","7800.43","7800.43","7800.43","7800.43","7800.43","7800.43","7800.43","7800.43","7800.43","7800.43","df.3"
"31","7851.84","7851.84","7851.84","7851.84","7851.84","7851.84","7851.84","7851.84","7851.84","7851.84","df.3"
"electronics1","$23830.05^{}$","$38414.7$","$14228.01$","$14291.12$","$14866.55$","$15769.85$","$28686.33$","$17801.98$","$10151.95$","$13404.85$","df.3"
"51","7800.43","7800.43","7800.43","7800.43","7800.43","7800.43","7800.43","7800.43","7800.43","7800.43","df.3"
"61","7851.84","7851.84","7851.84","7851.84","7851.84","7851.84","7851.84","7851.84","7851.84","7851.84","df.3"
"machine1","$13245.55^{}$","$25576.1$","$15166.78$","$20313.78$","$16346.6$","$9924.28$","$9523.5$","$12174.29$","$18292.29$","$21687.15$","df.3"
"81","7800.43","7800.43","7800.43","7800.43","7800.43","7800.43","7800.43","7800.43","7800.43","7800.43","df.3"
"91","7851.84","7851.84","7851.84","7851.84","7851.84","7851.84","7851.84","7851.84","7851.84","7851.84","df.3"
"chemical2","0","0","0","0","0","0","0","0","0","0","df.4"
"22","0","0","0","0","0","0","0","0","0","0","df.4"
"32","0","0","0","0","0","0","0","0","0","0","df.4"
"electronics2","0","0","0","0","0","0","0","0","0","0","df.4"
"52","0","0","0","0","0","0","0","0","0","0","df.4"
"62","0","0","0","0","0","0","0","0","0","0","df.4"
"machine2","0","0","0","0","0","0","0","0","0","0","df.4"
"82","0","0","0","0","0","0","0","0","0","0","df.4"
"92","0","0","0","0","0","0","0","0","0","0","df.4"
"chemical3","0","0","0","0","0","0","0","0","0","0","df.5"
"23","0","0","0","0","0","0","0","0","0","0","df.5"
"33","0","0","0","0","0","0","0","0","0","0","df.5"
"electronics3","0","0","0","0","0","0","0","0","0","0","df.5"
"53","0","0","0","0","0","0","0","0","0","0","df.5"
"63","0","0","0","0","0","0","0","0","0","0","df.5"
"machine3","0","0","0","0","0","0","0","0","0","0","df.5"
"83","0","0","0","0","0","0","0","0","0","0","df.5"
"93","0","0","0","0","0","0","0","0","0","0","df.5"
