"","M=1","M=2","M=3","M=4","M=5","M=6","M=7","M=8","M=9","M=10","original_df"
"chemical","0","0","0","0","0","0","0","0","0","0","df.2"
"2","0","0","0","0","0","0","0","0","0","0","df.2"
"3","0","0","0","0","0","0","0","0","0","0","df.2"
"electronics","0","0","0","0","0","0","0","0","0","0","df.2"
"5","0","0","0","0","0","0","0","0","0","0","df.2"
"6","0","0","0","0","0","0","0","0","0","0","df.2"
"machine","0","0","0","0","0","0","0","0","0","0","df.2"
"8","0","0","0","0","0","0","0","0","0","0","df.2"
"9","0","0","0","0","0","0","0","0","0","0","df.2"
"chemical1","$773.68^{***}$","$38.57^{**}$","$66039.26$","$8308.79$","$-10086.08$","$880.32$","$-5704.99$","$-34540.06$","$-35395.43$","$20951.2$","df.3"
"21","195.98","-564.75","-590.24","-29285.72","-64297.59","-27382.41","-33158.82","-35772.59","-48653.27","-46099.89","df.3"
"31","217.55","-518.53","-519.36","-29190.2","-64177.42","-27237.58","-32989.34","-35578.46","-48434.49","-45856.46","df.3"
"electronics1","$841.98^{**}$","$-35700.18$","$-4533.89$","$48591.85$","$-20842.37$","$29556.66$","$1913.35$","$-15352.92$","$-19109.59$","$-6957.46$","df.3"
"51","419.14","-36147.61","-4985.39","-6936.32","-42368.75","-46598.54","-45052.79","-70002.83","-52465.41","-75890.36","df.3"
"61","440.44","-36101.96","-4915.39","-6841.97","-42250.05","-46455.5","-44885.4","-69811.09","-52249.33","-75649.93","df.3"
"machine1","$875.41^{**}$","$-10005.53$","$36695.22$","$-5705.09$","$-3360.68$","$4153.04$","$903.16$","$12472.47$","$15378.34$","$4350.51$","df.3"
"81","670.59","-10223.19","-5488.5","-23552.27","-44418.8","-62141.07","-63236.95","-43113.98","-57585.53","-68181.6","df.3"
"91","692.03","-10177.25","-5418.06","-23457.33","-44299.36","-61997.13","-63068.51","-42921.03","-57368.09","-67939.65","df.3"
"chemical2","0","0","0","0","0","0","0","0","0","0","df.4"
"22","0","0","0","0","0","0","0","0","0","0","df.4"
"32","0","0","0","0","0","0","0","0","0","0","df.4"
"electronics2","0","0","0","0","0","0","0","0","0","0","df.4"
"52","0","0","0","0","0","0","0","0","0","0","df.4"
"62","0","0","0","0","0","0","0","0","0","0","df.4"
"machine2","0","0","0","0","0","0","0","0","0","0","df.4"
"82","0","0","0","0","0","0","0","0","0","0","df.4"
"92","0","0","0","0","0","0","0","0","0","0","df.4"
"chemical3","0","0","0","0","0","0","0","0","0","0","df.5"
"23","0","0","0","0","0","0","0","0","0","0","df.5"
"33","0","0","0","0","0","0","0","0","0","0","df.5"
"electronics3","0","0","0","0","0","0","0","0","0","0","df.5"
"53","0","0","0","0","0","0","0","0","0","0","df.5"
"63","0","0","0","0","0","0","0","0","0","0","df.5"
"machine3","0","0","0","0","0","0","0","0","0","0","df.5"
"83","0","0","0","0","0","0","0","0","0","0","df.5"
"93","0","0","0","0","0","0","0","0","0","0","df.5"
