"","M=1","M=2","M=3","M=4","M=5","M=6","M=7","M=8","M=9","M=10","original_df"
"chemical","$628.43^{***}$","$308.72^{***}$","$181.33^{***}$","$174.4^{***}$","$95.42^{***}$","$63.44^{***}$","$39.52^{***}$","$39.75^{***}$","$39.65^{***}$","$23.25^{***}$","LR"
"electronics","$799.97^{***}$","$282.32^{***}$","$167.76^{***}$","$105.68^{***}$","$88.83^{***}$","$49.16^{***}$","$40.42^{***}$","$38.85^{***}$","$33.9^{***}$","$32.03^{**}$","LR"
"machine","$620.13^{***}$","$292.56^{***}$","$118.34^{***}$","$94.22^{***}$","$73.78^{***}$","$56.86^{***}$","$40.25^{***}$","$37.25^{***}$","$41^{**}$","$36.21^{***}$","LR"
"chemical","1830.59","1206.43","902.81","726.41","554.15","462.8","403.11","368.25","333.75","297.06","AIC"
"electronics","1762.48","964.55","687.29","524.26","423.56","339.5","294.77","257.02","222.21","196.95","AIC"
"machine","1796.54","1180.39","893.03","779.71","682.73","613.3","556.34","519.92","496.99","460.61","AIC"
"chemical","1836.75","1221.84","927.46","760.31","597.29","515.19","464.74","439.12","413.87","386.42","BIC"
"electronics","1768.57","979.77","711.63","557.74","466.17","391.23","355.64","327.02","301.34","285.21","BIC"
"machine","1802.66","1195.71","917.53","813.4","725.6","665.37","617.59","590.36","576.62","549.43","BIC"
"chemical","1113.0660149413","1615.03474042833","7.70364326301886","0","0","0","0","0","0","0","Nonpar"
"electronics","1792.7451349212","2050.20803785017","21.7162282233432","0","0","0","0","0","0","0","Nonpar"
"machine","416.505383657033","1282.94117831463","33.6006958222139","0","0","0","0","0","0","0","Nonpar"
"chemical","0","0","0.999999855493774","0","0","0","0","0","0","0","Nonpar pval"
"electronics","0","0","0.971048454680144","0","0","0","0","0","0","0","Nonpar pval"
"machine","0","0","0.583238784595807","0","0","0","0","0","0","0","Nonpar pval"
