"","M=1","M=2","M=3","M=4","M=5","M=6","M=7","M=8","M=9","M=10","M=11","M=12","M=13","M=14","M=15"
"1",2890.66,1597.51,954.46,546.75,214.83,210.59,212.3,221.09,365.25,270.74,0,0,0,0,0
"2",2660,1320.76,773.29,353.68,67.03,62.55,65.78,71.55,450.89,1039.52,0,0,0,0,0
"3",2953.43,1597.23,904.41,560.82,224.74,214.9,218.32,244.23,1287.71,1339.75,0,0,0,0,0
"4",2040.51,1045.61,535.64,122.09,-198.63,-193.26,-189.52,230.78,168.72,315.68,0,0,0,0,0
"5",2587.93,1313.73,860.34,430.45,146.49,135.03,136.11,136.09,157.48,151.33,0,0,0,0,0
"6",2101.95,1093.15,663.73,283.35,-1.68,-9.16,-7.39,-4.04,-10.91,3.33,0,0,0,0,0
"7",2582.1,1655.31,1026.71,702.67,514.13,510.47,510.51,511.77,525.16,524.09,0,0,0,0,0
"8",2644.57,1669.27,1132.37,756,584.43,575.46,572.06,574.1,573.74,580.88,0,0,0,0,0
"9",2253.76,1389.17,895.47,507.64,368.69,359.79,359,359.03,372.11,365.64,0,0,0,0,0
"10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"14",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
