"","M=1","M=2","M=3","M=4","M=5","M=6","M=7","M=8","M=9","M=10","M=11","M=12","M=13","M=14","M=15"
"1",2903.08,1625.46,997.94,605.76,289.37,300.66,317.9,342.23,501.91,422.93,0,0,0,0,0
"2",2672.42,1348.72,816.78,412.7,141.57,152.62,171.38,192.68,587.55,1191.71,0,0,0,0,0
"3",2965.86,1625.19,947.9,619.84,299.29,304.98,323.92,365.36,1424.38,1491.94,0,0,0,0,0
"4",2053.1,1073.94,579.71,181.89,-123.09,-101.98,-82.51,353.54,307.21,469.9,0,0,0,0,0
"5",2600.52,1342.05,904.41,490.26,222.03,226.3,243.13,258.85,295.97,305.56,0,0,0,0,0
"6",2114.54,1121.48,707.79,343.15,73.86,82.12,99.62,118.71,127.58,157.56,0,0,0,0,0
"7",2594.57,1683.37,1070.36,761.91,588.96,600.89,616.52,633.37,662.35,676.87,0,0,0,0,0
"8",2657.04,1697.33,1176.02,815.24,659.26,665.88,678.08,695.7,710.93,733.66,0,0,0,0,0
"9",2266.23,1417.24,939.13,566.88,443.52,450.22,465.01,480.63,509.3,518.42,0,0,0,0,0
"10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"14",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
