"","M=1","M=2","M=3","M=4","M=5","M=6","M=7","M=8","M=9","M=10","M=11","M=12","M=13","M=14","M=15"
"1","$914.07^{***}$","$649.15^{***}$","$396.02^{***}$","$244.74^{***}$","$5.41^{}$","$3.08^{}$","$144.3^{***}$","$143.09^{***}$","$277.25^{***}$","$172.74^{***}$","0","0","0","0","0"
"2","$1021.12^{***}$","$527.54^{***}$","$409.06^{***}$","$107.12^{**}$","$4.96^{}$","$4.55^{}$","$-2.22^{}$","$-6.45^{}$","$362.89^{**}$","$941.52^{**}$","0","0","0","0","0"
"3","$993.37^{***}$","$695.26^{***}$","$325.36^{***}$","$262.09^{***}$","$3.81^{}$","$156.9^{***}$","$150.32^{***}$","$166.23^{***}$","$1199.71^{***}$","$1241.75^{***}$","0","0","0","0","0"
"4","$890.98^{***}$","$518.61^{***}$","$415.94^{***}$","$238.41^{}$","$3.98^{}$","$3.94^{}$","$2.46^{}$","$-489.63^{}$","$80.72^{}$","$217.68^{}$","0","0","0","0","0"
"5","$1060.69^{***}$","$455.19^{***}$","$422.36^{***}$","$243.01^{***}$","$4.98^{}$","$77.03^{*}$","$68.11^{*}$","$58.09^{*}$","$69.48^{*}$","$53.33^{*}$","0","0","0","0","0"
"6","$885.17^{***}$","$437.91^{***}$","$380.4^{***}$","$258.16^{***}$","$3.41^{}$","$1.6^{}$","$1.93^{}$","$0^{}$","$-98.91^{}$","$-18.16^{}$","0","0","0","0","0"
"7","$885.44^{***}$","$635.99^{***}$","$314.03^{***}$","$150.21^{***}$","$4.39^{}$","$4.41^{}$","$4.41^{}$","$433.77^{***}$","$-0.11^{}$","$3.09^{}$","0","0","0","0","0"
"8","$923.9^{***}$","$544.36^{***}$","$359.87^{***}$","$141.69^{***}$","$6.58^{}$","$6.58^{}$","$504.06^{***}$","$496.1^{***}$","$485.74^{***}$","$482.88^{***}$","0","0","0","0","0"
"9","$750.75^{***}$","$502.65^{***}$","$376.23^{***}$","$112.09^{***}$","$12.88^{}$","$3.19^{}$","$3.19^{}$","$281.03^{***}$","$284.11^{***}$","$267.64^{***}$","0","0","0","0","0"
"10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"12","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"13","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"14","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"15","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
