"","M=1","M=2","M=3","M=4","M=5","M=6","M=7","M=8","M=9","M=10","M=11","M=12","M=13","M=14","M=15"
"1","$1302.64^{***}$","$651.31^{***}$","$417.66^{***}$","$341.4^{***}$","$11.93^{}$","$7.23^{}$","$144.3^{***}$","$143.09^{***}$","$153.18^{***}$","$172.74^{***}$","0","0","0","0","0"
"2","$1348.37^{***}$","$557.22^{***}$","$429.5^{***}$","$295.97^{**}$","$15.07^{}$","$4.5^{}$","$10.78^{}$","$6.98^{}$","$371.76^{**}$","$941.52^{**}$","0","0","0","0","0"
"3","$1365.59^{***}$","$701.2^{***}$","$353.48^{***}$","$345.79^{***}$","$18.79^{}$","$156.9^{***}$","$150.32^{***}$","$166.23^{***}$","$1199.71^{***}$","$1241.75^{***}$","0","0","0","0","0"
"4","$1003.42^{***}$","$519.58^{***}$","$423.05^{***}$","$330.46^{}$","$13.02^{}$","$25.62^{}$","$19.21^{}$","$432.93^{}$","$350.88^{}$","$217.68^{}$","0","0","0","0","0"
"5","$1283.03^{***}$","$462.27^{***}$","$439.74^{***}$","$293.57^{***}$","$98.49^{*}$","$77.03^{*}$","$68.11^{*}$","$58.09^{*}$","$69.48^{*}$","$53.33^{*}$","0","0","0","0","0"
"6","$1017.76^{***}$","$438.84^{***}$","$388.15^{***}$","$294.62^{***}$","$18.12^{**}$","$9.75^{}$","$4.51^{}$","$6.35^{}$","$-98.91^{}$","$10.49^{}$","0","0","0","0","0"
"7","$933.95^{***}$","$638^{***}$","$333.93^{***}$","$198.13^{***}$","$14.9^{}$","$11.76^{}$","$11.42^{}$","$11.98^{}$","$437.16^{***}$","$426.09^{***}$","0","0","0","0","0"
"8","$982.8^{***}$","$546.09^{***}$","$386.35^{***}$","$181.55^{***}$","$16.4^{}$","$13.48^{}$","$504.06^{***}$","$496.1^{***}$","$485.74^{***}$","$482.88^{***}$","0","0","0","0","0"
"9","$873.7^{***}$","$503.1^{***}$","$397.41^{***}$","$148.22^{***}$","$14.43^{*}$","$12.4^{}$","$11.67^{}$","$281.03^{***}$","$284.11^{***}$","$267.64^{***}$","0","0","0","0","0"
"10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"12","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"13","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"14","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"15","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
