"","M=1","M=2","M=3","M=4","M=5","M=6","M=7","M=8","M=9","M=10","M=11","M=12","M=13","M=14","M=15"
"1","$1295.32^{***}$","$651.26^{***}$","$417.42^{***}$","$334.86^{***}$","$3.98^{}$","$6.97^{}$","$144.3^{***}$","$143.09^{***}$","$277.25^{***}$","$172.74^{***}$","0","0","0","0","0"
"2","$1342.58^{***}$","$556.9^{***}$","$429.27^{***}$","$276.12^{**}$","$5.39^{}$","$4.55^{}$","$9.06^{}$","$-2.49^{}$","$362.74^{**}$","$941.52^{**}$","0","0","0","0","0"
"3","$1357.76^{***}$","$701.14^{***}$","$352.25^{***}$","$343.97^{***}$","$13.6^{}$","$156.9^{***}$","$150.32^{***}$","$166.23^{***}$","$1199.71^{***}$","$1241.75^{***}$","0","0","0","0","0"
"4","$1002.06^{***}$","$519.57^{***}$","$419.56^{***}$","$328.51^{}$","$8.96^{}$","$11.03^{}$","$10.88^{}$","$152.78^{}$","$80.72^{}$","$217.68^{}$","0","0","0","0","0"
"5","$1279.88^{***}$","$462.19^{***}$","$439.55^{***}$","$291.47^{***}$","$5.63^{}$","$77.03^{*}$","$68.11^{*}$","$58.09^{*}$","$69.48^{*}$","$53.33^{*}$","0","0","0","0","0"
"6","$1016.11^{***}$","$438.83^{***}$","$387.53^{***}$","$293.12^{***}$","$6.29^{}$","$6.36^{}$","$2.24^{}$","$0.59^{}$","$-98.91^{}$","$-14.34^{}$","0","0","0","0","0"
"7","$933.4^{***}$","$637.98^{***}$","$333.7^{***}$","$196.53^{***}$","$5.32^{}$","$5.54^{}$","$10.45^{}$","$9.08^{}$","$15.16^{}$","$-74.15^{}$","0","0","0","0","0"
"8","$982.14^{***}$","$546.07^{***}$","$386.06^{***}$","$180.13^{***}$","$13.02^{}$","$12.59^{}$","$504.06^{***}$","$496.1^{***}$","$485.74^{***}$","$482.88^{***}$","0","0","0","0","0"
"9","$872.1^{***}$","$503.1^{***}$","$397.17^{***}$","$147.36^{***}$","$17.97^{**}$","$8.51^{}$","$3.58^{}$","$281.03^{***}$","$284.11^{***}$","$267.64^{***}$","0","0","0","0","0"
"10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"12","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"13","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"14","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"15","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
