"","M=1","M=2","M=3","M=4","M=5","M=6","M=7","M=8","M=9","M=10","M=11","M=12","M=13","M=14","M=15","original_df"
"chemical","$74.53^{***}$","$19.39^{***}$","$6.65^{}$","$-1.51$","$4.56$","$1.88$","$-4.23$","$-132.46$","$-28.98$","$-118.5$","0","0","0","0","0","df.2"
"2","-238.67","-309.2","-321.34","-320.87","-321.04","-315.5","-314.92","-309.65","-308.32","-301.58","0","0","0","0","0","df.2"
"3","-229.42","-287.64","-287.44","-274.64","-262.5","-244.63","-231.73","-214.13","-200.47","-181.4","0","0","0","0","0","df.2"
"electronics","$144.57^{***}$","$17.72^{***}$","$5.77^{}$","$5.69$","$-1.84$","$-5.96$","$-6.99$","$-11.02$","$-20.72$","$-24.94$","0","0","0","0","0","df.2"
"5","-4.52","-143.13","-153.84","-159.8","-166.05","-165.91","-166.04","-172.34","-174.9","-168.6","0","0","0","0","0","df.2"
"6","4.61","-121.83","-120.36","-114.14","-108.23","-95.91","-83.87","-78","-68.38","-49.9","0","0","0","0","0","df.2"
"machine","$154.71^{***}$","$31.8^{***}$","$16.42^{**}$","$7.16^{}$","$-25.06$","$-47.85$","$-26.23$","$-25$","$-54.99$","$-58.91$","0","0","0","0","0","df.2"
"8","154.57","5.79","-16.82","-27","-36.07","-42.47","-43.72","-44.29","-39.35","-32.87","0","0","0","0","0","df.2"
"9","163.75","27.23","16.87","18.94","22.12","27.97","38.97","50.65","67.84","86.57","0","0","0","0","0","df.2"
"chemical1","$153.77^{***}$","$28.59^{***}$","$15.76^{**}$","$1.91^{}$","$2.06$","$0.59$","$-6.59$","$-66.9$","$8.1$","$-159.82$","0","0","0","0","0","df.3"
"21","-255.41","-402.8","-426.79","-434.82","-434.64","-435.28","-429.35","-424.57","-415.54","-416.66","0","0","0","0","0","df.3"
"31","-246.17","-381.23","-392.89","-388.6","-376.09","-364.41","-346.15","-329.04","-307.69","-296.48","0","0","0","0","0","df.3"
"electronics1","$231.2^{***}$","$33.65^{***}$","$13.93^{*}$","$4.09^{}$","$3.12$","$-18.61$","$-4$","$-3.63$","$-28.12$","$-8.8$","0","0","0","0","0","df.3"
"51","-28.79","-254.97","-281.61","-288.73","-289.81","-288.74","-291.76","-286.8","-281.62","-280.84","0","0","0","0","0","df.3"
"61","-19.66","-233.67","-248.13","-243.08","-231.98","-218.74","-209.59","-192.45","-175.1","-162.14","0","0","0","0","0","df.3"
"machine1","$258.78^{***}$","$35.49^{***}$","$11.88^{*}$","$6.1^{}$","$5.74$","$3.38$","$2.26$","$5.16$","$6.57$","$-37.59$","0","0","0","0","0","df.3"
"81","215.05","-39.82","-67.33","-72.64","-73.8","-72.51","-70.93","-66.69","-64.81","-65.62","0","0","0","0","0","df.3"
"91","224.24","-18.38","-33.64","-26.7","-15.61","-2.07","11.76","28.25","42.39","53.82","0","0","0","0","0","df.3"
"chemical2","$222.54^{***}$","$22.08^{***}$","$6.42^{}$","$7.9$","$6.03$","$3.38$","$0.31$","$-1258.54$","$7.58$","$-4.35$","0","0","0","0","0","df.4"
"22","-348.89","-565.28","-582.5","-590.07","-589.31","-591.87","-592.83","-585.88","-581.35","-575.89","0","0","0","0","0","df.4"
"32","-339.64","-543.71","-548.61","-543.85","-530.76","-521","-509.64","-490.35","-473.5","-455.72","0","0","0","0","0","df.4"
"electronics2","$265.41^{***}$","$52.66^{***}$","$12.98^{*}$","$3.17^{}$","$4.64$","$3.19$","$2.41$","$2.77$","$5.57$","$2.88$","0","0","0","0","0","df.4"
"52","-110.64","-369.95","-414.64","-420.48","-421.84","-420.99","-417.14","-413.95","-409.57","-403.73","0","0","0","0","0","df.4"
"62","-101.51","-348.64","-381.17","-374.83","-364.02","-350.99","-334.96","-319.61","-303.05","-285.03","0","0","0","0","0","df.4"
"machine2","$307.67^{***}$","$48.57^{***}$","$13.47^{**}$","$6.01^{}$","$2.36$","$4.49$","$2.13$","$5.09$","$2.58$","$5.95$","0","0","0","0","0","df.4"
"82","261.29","-40.75","-84.09","-93","-93.37","-96.92","-92.12","-91.35","-89.73","-86.08","0","0","0","0","0","df.4"
"92","270.47","-19.32","-50.4","-47.06","-35.18","-26.48","-9.43","3.59","17.46","33.36","0","0","0","0","0","df.4"
"chemical3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","df.5"
"23","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","df.5"
"33","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","df.5"
"electronics3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","df.5"
"53","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","df.5"
"63","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","df.5"
"machine3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","df.5"
"83","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","df.5"
"93","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","df.5"
