"","M=1","M=2","M=3","M=4","M=5","M=6","M=7","M=8","M=9","M=10","M=11","M=12","M=13","M=14","M=15","original_df"
"chemical","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","df.2"
"2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","df.2"
"3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","df.2"
"electronics","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","df.2"
"5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","df.2"
"6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","df.2"
"machine","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","df.2"
"8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","df.2"
"9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","df.2"
"chemical1","$154.16^{***}$","$31.25^{**}$","$34.14^{***}$","$11.4^{}$","$-3.32$","$-32.72$","$-106.84$","$-53.37$","$-22.5$","$-1232.77$","0","0","0","0","0","df.3"
"21","-265.14","-409.32","-434.9","-448.02","-454.76","-462.57","-453.8","-456.67","-452.14","-450.32","0","0","0","0","0","df.3"
"31","-249.73","-375.42","-382.51","-377.15","-365.4","-354.72","-327.47","-311.84","-288.82","-268.52","0","0","0","0","0","df.3"
"electronics1","$237.65^{*}$","$36.99^{**}$","$21.79^{}$","$-57.65$","$9.7$","$-26.76$","$-10.41$","$-115.02$","$-472.81$","$-141.6$","0","0","0","0","0","df.3"
"51","-24.9","-252.39","-279.17","-299.18","-306.95","-310.15","-300.7","-324.17","-312.75","-287.64","0","0","0","0","0","df.3"
"61","-9.69","-218.92","-227.43","-229.19","-218.69","-203.64","-175.92","-181.13","-151.45","-108.08","0","0","0","0","0","df.3"
"machine1","$260.58^{***}$","$53.11^{***}$","$15.82^{}$","$-239.5$","$-146.44$","$-12.33$","$-75.29$","$-86.85$","$-58.91$","$-126.72$","0","0","0","0","0","df.3"
"81","218.01","-33.76","-70.39","-102.84","-96.27","-94.43","-110.85","-113.76","-102.19","-100.44","0","0","0","0","0","df.3"
"91","233.32","-0.07","-18.33","-32.4","-7.45","12.76","14.71","30.18","60.13","80.25","0","0","0","0","0","df.3"
"chemical2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","df.4"
"22","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","df.4"
"32","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","df.4"
"electronics2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","df.4"
"52","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","df.4"
"62","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","df.4"
"machine2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","df.4"
"82","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","df.4"
"92","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","df.4"
"chemical3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","df.5"
"23","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","df.5"
"33","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","df.5"
"electronics3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","df.5"
"53","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","df.5"
"63","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","df.5"
"machine3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","df.5"
"83","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","df.5"
"93","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","df.5"
