"","M=1","M=2","M=3","M=4","M=5","M=6","M=7","M=8","M=9","M=10","M=11","M=12","M=13","M=14","M=15","original_df"
"chemical","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","df.2"
"2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","df.2"
"3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","df.2"
"electronics","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","df.2"
"5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","df.2"
"6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","df.2"
"machine","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","df.2"
"8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","df.2"
"9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","df.2"
"chemical1","$478.88^{***}$","$241.31^{***}$","$118.38^{***}$","$-786.04^{}$","$-893.76$","$-1186.61$","$-1070.51$","$-721.07$","$-1127.86$","$-637.64$","0","0","0","0","0","df.3"
"21","1377.62","910.78","684.52","548.85","436.44","335.91","312.1","266.03","237.89","226.87","0","0","0","0","0","df.3"
"31","1396.11","950.84","746.15","632.05","541.21","462.25","460.01","435.51","428.94","439.49","0","0","0","0","0","df.3"
"electronics1","$566.55^{***}$","$246.48^{***}$","$112.52^{}$","$16.13$","$-134.08$","$-1117.46$","$-920.47$","$-313.37$","$-909.19$","$-953.65$","0","0","0","0","0","df.3"
"51","1322.21","765.93","531.3","416.89","338.52","292.67","228.77","217.08","191.09","188.68","0","0","0","0","0","df.3"
"61","1340.48","805.5","592.17","499.06","442","417.45","374.85","384.46","379.79","398.67","0","0","0","0","0","df.3"
"machine1","$459.03^{***}$","$217.82^{***}$","$112.01^{***}$","$-246.97^{}$","$-928.09$","$-892.8$","$-1193.87$","$-1062.88$","$-452.56$","$-1189.88$","0","0","0","0","0","df.3"
"81","1335.37","887.23","683.15","583.43","513.33","469.54","425.67","393.69","366.3","373.56","0","0","0","0","0","df.3"
"91","1353.74","927.05","744.4","666.12","617.45","595.1","572.68","562.14","556.18","584.88","0","0","0","0","0","df.3"
"chemical2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","df.4"
"22","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","df.4"
"32","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","df.4"
"electronics2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","df.4"
"52","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","df.4"
"62","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","df.4"
"machine2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","df.4"
"82","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","df.4"
"92","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","df.4"
"chemical3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","df.5"
"23","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","df.5"
"33","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","df.5"
"electronics3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","df.5"
"53","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","df.5"
"63","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","df.5"
"machine3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","df.5"
"83","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","df.5"
"93","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","df.5"
