"","M=1","M=2","M=3","M=4","M=5","M=6","M=7","M=8","M=9","M=10","M=11","M=12","M=13","M=14","M=15","original_df"
"chemical","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","df.2"
"2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","df.2"
"3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","df.2"
"electronics","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","df.2"
"5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","df.2"
"6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","df.2"
"machine","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","df.2"
"8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","df.2"
"9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","df.2"
"chemical1","$162.44^{***}$","$79.89^{}$","$-64.5$","$-407.03$","$-474$","$-864.35$","$376$","$75.29$","$38.31$","$86.27$","0","0","0","0","0","df.3"
"21","-251.73","-387.33","-458.52","-483.83","-477.43","-431.85","261.21","148.15","152.97","194.64","0","0","0","0","0","df.3"
"31","-208.6","-297.97","-322.94","-302.02","-249.4","-157.61","581.68","514.84","565.88","653.76","0","0","0","0","0","df.3"
"electronics1","$248.53^{***}$","$57.42^{}$","$-367.64$","$-4187.03$","$-901.68$","$-258.02$","$239.16$","$364.7$","$146.7$","$-92.66$","0","0","0","0","0","df.3"
"51","-9.44","-230.23","-269.19","-321.38","-316.73","138.79","339.82","595.78","404.95","448.09","0","0","0","0","0","df.3"
"61","33.17","-141.97","-135.28","-141.82","-91.51","409.66","656.34","957.94","812.76","901.56","0","0","0","0","0","df.3"
"machine1","$258.1^{***}$","$143.57^{}$","$-173.56$","$-620.87$","$-326.86$","$-599.03$","$287.79$","$-1318$","$2388.66$","$1581.13$","0","0","0","0","0","df.3"
"81","182.77","-48.73","-159.65","-120.06","-108.21","-59.87","888.63","564.81","2991.85","2087.1","0","0","0","0","0","df.3"
"91","225.65","40.08","-24.89","60.64","118.42","212.7","1207.14","929.26","3402.23","2543.43","0","0","0","0","0","df.3"
"chemical2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","df.4"
"22","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","df.4"
"32","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","df.4"
"electronics2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","df.4"
"52","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","df.4"
"62","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","df.4"
"machine2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","df.4"
"82","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","df.4"
"92","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","df.4"
"chemical3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","df.5"
"23","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","df.5"
"33","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","df.5"
"electronics3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","df.5"
"53","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","df.5"
"63","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","df.5"
"machine3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","df.5"
"83","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","df.5"
"93","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","df.5"
