"","M=1","M=2","M=3","M=4","M=5","M=6","M=7","M=8","M=9","M=10","M=11","M=12","M=13","M=14","M=15","original_df"
"chemical","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","df.2"
"2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","df.2"
"3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","df.2"
"electronics","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","df.2"
"5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","df.2"
"6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","df.2"
"machine","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","df.2"
"8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","df.2"
"9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","df.2"
"chemical1","$178.76^{***}$","$17.56^{}$","$-176.12$","$-622.58$","$-589.96$","$-714.25$","$-844.11$","$-62.92$","$523.67$","$355.62$","0","0","0","0","0","df.3"
"21","-267.45","-432.85","-500.58","-526.96","-552.69","-268.03","182.67","256.66","764.25","666.59","0","0","0","0","0","df.3"
"31","-199.66","-294.18","-291.04","-246.55","-201.41","154.13","675.7","820.56","1399.02","1372.23","0","0","0","0","0","df.3"
"electronics1","$252.4^{***}$","$157.2^{}$","$-216.06$","$-683.31$","$-3213.44$","$-582.91$","$82.2$","$131.49$","$125.98$","$-151.82$","0","0","0","0","0","df.3"
"51","-31.71","-240.1","-344.21","-371.02","-353.88","-317.72","370.2","489.88","558.85","658.68","0","0","0","0","0","df.3"
"61","35.25","-103.15","-137.26","-94.07","-6.93","99.23","857.15","1046.82","1185.8","1355.63","0","0","0","0","0","df.3"
"machine1","$285.18^{***}$","$145.98^{}$","$-538.05$","$-506.41$","$-153.12$","$136.35$","$110.03$","$-2117.29$","$335.64$","$1795.38$","0","0","0","0","0","df.3"
"81","193.68","-51.93","-267.56","-270.93","400.87","672.61","654.64","735.43","792.54","2563.41","0","0","0","0","0","df.3"
"91","261.05","85.89","-59.3","7.77","750.01","1092.19","1144.66","1295.89","1423.44","3264.75","0","0","0","0","0","df.3"
"chemical2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","df.4"
"22","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","df.4"
"32","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","df.4"
"electronics2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","df.4"
"52","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","df.4"
"62","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","df.4"
"machine2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","df.4"
"82","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","df.4"
"92","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","df.4"
"chemical3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","df.5"
"23","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","df.5"
"33","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","df.5"
"electronics3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","df.5"
"53","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","df.5"
"63","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","df.5"
"machine3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","df.5"
"83","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","df.5"
"93","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","df.5"
