"","M=1","M=2","M=3","M=4","M=5","M=6","M=7","M=8","M=9","M=10","M=11","M=12","M=13","M=14","M=15","original_df"
"chemical","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","df.2"
"2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","df.2"
"3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","df.2"
"electronics","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","df.2"
"5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","df.2"
"6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","df.2"
"machine","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","df.2"
"8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","df.2"
"9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","df.2"
"chemical1","$447.62^{***}$","$243.23^{}$","$-39.01$","$-208.71$","$-511.08$","$-1005.22$","$-1151.35$","$-1311.56$","$-1123.21$","$-1405.39$","0","0","0","0","0","df.3"
"21","1257.8","830.51","596.87","466.38","354.76","297.14","241.24","196.75","156.7","108.33","0","0","0","0","0","df.3"
"31","1288.62","895.22","695.47","598.88","521.16","497.43","475.43","464.83","458.68","444.2","0","0","0","0","0","df.3"
"electronics1","$589.54^{***}$","$287.64^{}$","$-101.22$","$-833.92$","$-544.93$","$-1144.15$","$-1205.71$","$-659.85$","$-754.64$","$-1342.73$","0","0","0","0","0","df.3"
"51","1318.8","747.9","468.34","354.06","259.65","217.21","192.4","112.99","105.04","77.36","0","0","0","0","0","df.3"
"61","1349.24","811.81","565.73","484.93","423.99","415.03","423.7","377.77","403.29","409.1","0","0","0","0","0","df.3"
"machine1","$535.34^{***}$","$196.11^{***}$","$-32.62^{}$","$-635.65$","$-1588.22$","$-1033.25$","$-921.74$","$-347863.76$","$-478.83$","$227.73$","0","0","0","0","0","df.3"
"81","1328.45","812.44","615.27","554.24","527.28","545.13","687.48","505.19","1185.08","1199.18","0","0","0","0","0","df.3"
"91","1359.07","876.75","713.27","685.93","692.66","744.2","920.24","771.64","1485.21","1533.01","0","0","0","0","0","df.3"
"chemical2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","df.4"
"22","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","df.4"
"32","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","df.4"
"electronics2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","df.4"
"52","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","df.4"
"62","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","df.4"
"machine2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","df.4"
"82","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","df.4"
"92","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","df.4"
"chemical3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","df.5"
"23","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","df.5"
"33","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","df.5"
"electronics3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","df.5"
"53","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","df.5"
"63","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","df.5"
"machine3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","df.5"
"83","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","df.5"
"93","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","df.5"
