"","M=1","M=2","M=3","M=4","M=5"
"chemical","$256.76^{***}$","$117.84^{**}$","$68.53^{***}$","$57.26^{*}$","$34.69^{***}$"
"2","545.924405866166","294.820867448796","184.252987072684","120.765174416286","67.3839368573452"
"electronics","$320.13^{***}$","$104.42^{**}$","$58.93^{**}$","$52.46^{***}$","$18.93^{***}$"
"4","548.312889331249","232.439357319683","134.490027323587","82.4600202069408","40.9801578839876"
"machine","$239.35^{***}$","$116.32^{*}$","$43.09^{}$","0","0"
"6","296.973550258354","63.4339077932178","-45.8293388419127","0","0"
"transportation equipment","$198.44^{***}$","$83.89^{**}$","$53.81^{}$","0","0"
"8","117.694266165221","-75.4970825728459","-152.258109751572","0","0"
"food","$119.73^{***}$","$89.23^{**}$","$62.85^{***}$","$13.93^{}$","0"
"10","298.169635045145","184.485877621075","102.558318875474","43.9319392136397","0"
