,M=1,M=2,M=3,M=4,M=5
chemical,$818.38^{***}$,$386.08^{***}$,$219.13^{***}$,$209.42^{***}$,$118.25^{***}$
,1325.37,512.07,131.21,-82.42,-286.87
electronics,$1024.86^{***}$,$375.29^{***}$,$226.01^{***}$,$134.53^{***}$,$126.36^{***}$
,1337.03,317.39,-52.67,-272.79,-401.78
machine,$819.98^{***}$,$389.69^{***}$,$156.44^{***}$,$149.98^{***}$,$96.32^{***}$
,769.62,-45.49,-431.09,-582.50,-726.83
transportation equipment,$668.85^{***}$,$211.63^{***}$,$175.15^{***}$,$110.67^{***}$,$110.49^{***}$
,331.69,-332.24,-538.78,-710.22,-815.19
food,$490.47^{***}$,$250.32^{***}$,$160.01^{***}$,$145.08^{***}$,$91.57^{***}$
,794.43,309.08,64.15,-90.21,-229.72
