"","V1","V2","V3","V4","V5","V6"
"1","7.8","2","100","-1,0,1","0.333333333333333,0.333333333333333,0.333333333333333","1,1,1"
"2","6.8","2","100","-1,0,1","0.25,0.5,0.25","1,1,1"
"3","50.6","2","100","-1,0,1","0.333333333333333,0.333333333333333,0.333333333333333","0.6,1.2,0.6"
"4","44.4","2","100","-1,0,1","0.25,0.5,0.25","0.6,1.2,0.6"
"5","72.2","2","100","-1,0,1","0.333333333333333,0.333333333333333,0.333333333333333","0.6,0.6,1.2"
"6","84.4","2","100","-1,0,1","0.25,0.5,0.25","0.6,0.6,1.2"
"7","34.2","2","100","-1.5,0,1.5","0.333333333333333,0.333333333333333,0.333333333333333","1,1,1"
"8","41.8","2","100","-1.5,0,1.5","0.25,0.5,0.25","1,1,1"
"9","91","2","100","-1.5,0,1.5","0.333333333333333,0.333333333333333,0.333333333333333","0.6,1.2,0.6"
"10","80.2","2","100","-1.5,0,1.5","0.25,0.5,0.25","0.6,1.2,0.6"
"11","99.6","2","100","-1.5,0,1.5","0.333333333333333,0.333333333333333,0.333333333333333","0.6,0.6,1.2"
"12","100","2","100","-1.5,0,1.5","0.25,0.5,0.25","0.6,0.6,1.2"
"13","20.6","2","100","-1,0,2","0.333333333333333,0.333333333333333,0.333333333333333","1,1,1"
"14","23","2","100","-1,0,2","0.25,0.5,0.25","1,1,1"
"15","82.6","2","100","-1,0,2","0.333333333333333,0.333333333333333,0.333333333333333","0.6,1.2,0.6"
"16","65.4","2","100","-1,0,2","0.25,0.5,0.25","0.6,1.2,0.6"
"17","88.2","2","100","-1,0,2","0.333333333333333,0.333333333333333,0.333333333333333","0.6,0.6,1.2"
"18","92.6","2","100","-1,0,2","0.25,0.5,0.25","0.6,0.6,1.2"
"19","5.4","2","100","-0.5,0,1.5","0.333333333333333,0.333333333333333,0.333333333333333","1,1,1"
"20","4.6","2","100","-0.5,0,1.5","0.25,0.5,0.25","1,1,1"
"21","50.6","2","100","-0.5,0,1.5","0.333333333333333,0.333333333333333,0.333333333333333","0.6,1.2,0.6"
"22","35.2","2","100","-0.5,0,1.5","0.25,0.5,0.25","0.6,1.2,0.6"
"23","17.4","2","100","-0.5,0,1.5","0.333333333333333,0.333333333333333,0.333333333333333","0.6,0.6,1.2"
"24","18.4","2","100","-0.5,0,1.5","0.25,0.5,0.25","0.6,0.6,1.2"
