"","V1","V2","V3","V4","V5","V6"
"1","20.2","2","400","-1,0,1","0.333333333333333,0.333333333333333,0.333333333333333","1,1,1"
"2","22.8","2","400","-1,0,1","0.25,0.5,0.25","1,1,1"
"3","99.8","2","400","-1,0,1","0.333333333333333,0.333333333333333,0.333333333333333","0.6,1.2,0.6"
"4","100","2","400","-1,0,1","0.25,0.5,0.25","0.6,1.2,0.6"
"5","100","2","400","-1,0,1","0.333333333333333,0.333333333333333,0.333333333333333","0.6,0.6,1.2"
"6","100","2","400","-1,0,1","0.25,0.5,0.25","0.6,0.6,1.2"
"7","95.8","2","400","-1.5,0,1.5","0.333333333333333,0.333333333333333,0.333333333333333","1,1,1"
"8","99","2","400","-1.5,0,1.5","0.25,0.5,0.25","1,1,1"
"9","100","2","400","-1.5,0,1.5","0.333333333333333,0.333333333333333,0.333333333333333","0.6,1.2,0.6"
"10","100","2","400","-1.5,0,1.5","0.25,0.5,0.25","0.6,1.2,0.6"
"11","100","2","400","-1.5,0,1.5","0.333333333333333,0.333333333333333,0.333333333333333","0.6,0.6,1.2"
"12","100","2","400","-1.5,0,1.5","0.25,0.5,0.25","0.6,0.6,1.2"
"13","64.4","2","400","-1,0,2","0.333333333333333,0.333333333333333,0.333333333333333","1,1,1"
"14","74.4","2","400","-1,0,2","0.25,0.5,0.25","1,1,1"
"15","100","2","400","-1,0,2","0.333333333333333,0.333333333333333,0.333333333333333","0.6,1.2,0.6"
"16","100","2","400","-1,0,2","0.25,0.5,0.25","0.6,1.2,0.6"
"17","100","2","400","-1,0,2","0.333333333333333,0.333333333333333,0.333333333333333","0.6,0.6,1.2"
"18","100","2","400","-1,0,2","0.25,0.5,0.25","0.6,0.6,1.2"
"19","10.2","2","400","-0.5,0,1.5","0.333333333333333,0.333333333333333,0.333333333333333","1,1,1"
"20","10.8","2","400","-0.5,0,1.5","0.25,0.5,0.25","1,1,1"
"21","99.2","2","400","-0.5,0,1.5","0.333333333333333,0.333333333333333,0.333333333333333","0.6,1.2,0.6"
"22","97.4","2","400","-0.5,0,1.5","0.25,0.5,0.25","0.6,1.2,0.6"
"23","53","2","400","-0.5,0,1.5","0.333333333333333,0.333333333333333,0.333333333333333","0.6,0.6,1.2"
"24","49.8","2","400","-0.5,0,1.5","0.25,0.5,0.25","0.6,0.6,1.2"
