"nom.size","an","N","T","omega"
0.17,0.05,100,2,0.0668072012688581
0.094,0.1,100,2,0.0668072012688581
0.078,0.15,100,2,0.0668072012688581
0.062,0.3,100,2,0.0668072012688581
0.054,0.4,100,2,0.0668072012688581
0.2,0.05,100,2,0.0426955396472705
0.16,0.1,100,2,0.0426955396472705
0.14,0.15,100,2,0.0426955396472705
0.102,0.3,100,2,0.0426955396472705
0.086,0.4,100,2,0.0426955396472705
0.172,0.05,100,2,0.0227501319481792
0.128,0.1,100,2,0.0227501319481792
0.106,0.15,100,2,0.0227501319481792
0.084,0.3,100,2,0.0227501319481792
0.07,0.4,100,2,0.0227501319481792
0.214,0.05,100,2,0.0110054197000083
0.172,0.1,100,2,0.0110054197000083
0.156,0.15,100,2,0.0110054197000083
0.118,0.3,100,2,0.0110054197000083
0.112,0.4,100,2,0.0110054197000083
0.188,0.05,100,2,0.0227501319481792
0.15,0.1,100,2,0.0227501319481792
0.13,0.15,100,2,0.0227501319481792
0.102,0.3,100,2,0.0227501319481792
0.086,0.4,100,2,0.0227501319481792
0.222,0.05,100,2,0.0110054197000083
0.182,0.1,100,2,0.0110054197000083
0.16,0.15,100,2,0.0110054197000083
0.12,0.3,100,2,0.0110054197000083
0.118,0.4,100,2,0.0110054197000083
0.182,0.05,100,2,0.00620966532577615
0.146,0.1,100,2,0.00620966532577615
0.124,0.15,100,2,0.00620966532577615
0.098,0.3,100,2,0.00620966532577615
0.088,0.4,100,2,0.00620966532577615
0.214,0.05,100,2,0.0021134021545281
0.176,0.1,100,2,0.0021134021545281
0.156,0.15,100,2,0.0021134021545281
0.126,0.3,100,2,0.0021134021545281
0.116,0.4,100,2,0.0021134021545281
0.12,0.05,100,2,0.00620966532577615
0.09,0.1,100,2,0.00620966532577615
0.074,0.15,100,2,0.00620966532577615
0.05,0.3,100,2,0.00620966532577615
0.048,0.4,100,2,0.00620966532577615
0.226,0.05,100,2,0.0021134021545281
0.184,0.1,100,2,0.0021134021545281
0.162,0.15,100,2,0.0021134021545281
0.132,0.3,100,2,0.0021134021545281
0.12,0.4,100,2,0.0021134021545281
0.128,0.05,100,2,0.0013498980316301
0.098,0.1,100,2,0.0013498980316301
0.084,0.15,100,2,0.0013498980316301
0.054,0.3,100,2,0.0013498980316301
0.052,0.4,100,2,0.0013498980316301
0.216,0.05,100,2,0.000300066897308382
0.176,0.1,100,2,0.000300066897308382
0.156,0.15,100,2,0.000300066897308382
0.128,0.3,100,2,0.000300066897308382
0.112,0.4,100,2,0.000300066897308382
0.116,0.05,100,10,0.0668072012688581
0.114,0.1,100,10,0.0668072012688581
0.11,0.15,100,10,0.0668072012688581
0.106,0.3,100,10,0.0668072012688581
0.098,0.4,100,10,0.0668072012688581
0.102,0.05,100,10,0.0426955396472705
0.102,0.1,100,10,0.0426955396472705
0.098,0.15,100,10,0.0426955396472705
0.092,0.3,100,10,0.0426955396472705
0.09,0.4,100,10,0.0426955396472705
0.116,0.05,100,10,0.0227501319481792
0.112,0.1,100,10,0.0227501319481792
0.11,0.15,100,10,0.0227501319481792
0.106,0.3,100,10,0.0227501319481792
0.098,0.4,100,10,0.0227501319481792
0.104,0.05,100,10,0.0110054197000083
0.102,0.1,100,10,0.0110054197000083
0.1,0.15,100,10,0.0110054197000083
0.094,0.3,100,10,0.0110054197000083
0.092,0.4,100,10,0.0110054197000083
0.108,0.05,100,10,0.0227501319481792
0.106,0.1,100,10,0.0227501319481792
0.104,0.15,100,10,0.0227501319481792
0.098,0.3,100,10,0.0227501319481792
0.094,0.4,100,10,0.0227501319481792
0.108,0.05,100,10,0.0110054197000083
0.106,0.1,100,10,0.0110054197000083
0.104,0.15,100,10,0.0110054197000083
0.096,0.3,100,10,0.0110054197000083
0.092,0.4,100,10,0.0110054197000083
0.108,0.05,100,10,0.00620966532577615
0.106,0.1,100,10,0.00620966532577615
0.104,0.15,100,10,0.00620966532577615
0.098,0.3,100,10,0.00620966532577615
0.094,0.4,100,10,0.00620966532577615
0.106,0.05,100,10,0.0021134021545281
0.106,0.1,100,10,0.0021134021545281
0.104,0.15,100,10,0.0021134021545281
0.094,0.3,100,10,0.0021134021545281
0.092,0.4,100,10,0.0021134021545281
0.114,0.05,100,10,0.00620966532577615
0.112,0.1,100,10,0.00620966532577615
0.11,0.15,100,10,0.00620966532577615
0.104,0.3,100,10,0.00620966532577615
0.096,0.4,100,10,0.00620966532577615
0.104,0.05,100,10,0.0021134021545281
0.102,0.1,100,10,0.0021134021545281
0.098,0.15,100,10,0.0021134021545281
0.092,0.3,100,10,0.0021134021545281
0.09,0.4,100,10,0.0021134021545281
0.114,0.05,100,10,0.0013498980316301
0.112,0.1,100,10,0.0013498980316301
0.11,0.15,100,10,0.0013498980316301
0.104,0.3,100,10,0.0013498980316301
0.096,0.4,100,10,0.0013498980316301
0.106,0.05,100,10,0.000300066897308382
0.104,0.1,100,10,0.000300066897308382
0.1,0.15,100,10,0.000300066897308382
0.094,0.3,100,10,0.000300066897308382
0.092,0.4,100,10,0.000300066897308382
0.208,0.05,500,2,0.0668072012688581
0.172,0.1,500,2,0.0668072012688581
0.154,0.15,500,2,0.0668072012688581
0.132,0.3,500,2,0.0668072012688581
0.122,0.4,500,2,0.0668072012688581
0.216,0.05,500,2,0.0426955396472705
0.198,0.1,500,2,0.0426955396472705
0.184,0.15,500,2,0.0426955396472705
0.154,0.3,500,2,0.0426955396472705
0.144,0.4,500,2,0.0426955396472705
0.212,0.05,500,2,0.0227501319481792
0.182,0.1,500,2,0.0227501319481792
0.18,0.15,500,2,0.0227501319481792
0.158,0.3,500,2,0.0227501319481792
0.148,0.4,500,2,0.0227501319481792
0.22,0.05,500,2,0.0110054197000083
0.198,0.1,500,2,0.0110054197000083
0.19,0.15,500,2,0.0110054197000083
0.158,0.3,500,2,0.0110054197000083
0.15,0.4,500,2,0.0110054197000083
0.238,0.05,500,2,0.0227501319481792
0.202,0.1,500,2,0.0227501319481792
0.194,0.15,500,2,0.0227501319481792
0.172,0.3,500,2,0.0227501319481792
0.164,0.4,500,2,0.0227501319481792
0.21,0.05,500,2,0.0110054197000083
0.184,0.1,500,2,0.0110054197000083
0.176,0.15,500,2,0.0110054197000083
0.146,0.3,500,2,0.0110054197000083
0.14,0.4,500,2,0.0110054197000083
0.21,0.05,500,2,0.00620966532577615
0.182,0.1,500,2,0.00620966532577615
0.174,0.15,500,2,0.00620966532577615
0.15,0.3,500,2,0.00620966532577615
0.138,0.4,500,2,0.00620966532577615
0.2,0.05,500,2,0.0021134021545281
0.182,0.1,500,2,0.0021134021545281
0.172,0.15,500,2,0.0021134021545281
0.148,0.3,500,2,0.0021134021545281
0.134,0.4,500,2,0.0021134021545281
0.16,0.05,500,2,0.00620966532577615
0.136,0.1,500,2,0.00620966532577615
0.128,0.15,500,2,0.00620966532577615
0.112,0.3,500,2,0.00620966532577615
0.1,0.4,500,2,0.00620966532577615
0.21,0.05,500,2,0.0021134021545281
0.188,0.1,500,2,0.0021134021545281
0.18,0.15,500,2,0.0021134021545281
0.15,0.3,500,2,0.0021134021545281
0.144,0.4,500,2,0.0021134021545281
0.162,0.05,500,2,0.0013498980316301
0.136,0.1,500,2,0.0013498980316301
0.128,0.15,500,2,0.0013498980316301
0.114,0.3,500,2,0.0013498980316301
0.1,0.4,500,2,0.0013498980316301
0.21,0.05,500,2,0.000300066897308382
0.192,0.1,500,2,0.000300066897308382
0.18,0.15,500,2,0.000300066897308382
0.154,0.3,500,2,0.000300066897308382
0.146,0.4,500,2,0.000300066897308382
0.108,0.05,500,10,0.0668072012688581
0.108,0.1,500,10,0.0668072012688581
0.108,0.15,500,10,0.0668072012688581
0.108,0.3,500,10,0.0668072012688581
0.108,0.4,500,10,0.0668072012688581
0.114,0.05,500,10,0.0426955396472705
0.114,0.1,500,10,0.0426955396472705
0.114,0.15,500,10,0.0426955396472705
0.114,0.3,500,10,0.0426955396472705
0.112,0.4,500,10,0.0426955396472705
0.108,0.05,500,10,0.0227501319481792
0.108,0.1,500,10,0.0227501319481792
0.108,0.15,500,10,0.0227501319481792
0.108,0.3,500,10,0.0227501319481792
0.108,0.4,500,10,0.0227501319481792
0.114,0.05,500,10,0.0110054197000083
0.114,0.1,500,10,0.0110054197000083
0.114,0.15,500,10,0.0110054197000083
0.114,0.3,500,10,0.0110054197000083
0.112,0.4,500,10,0.0110054197000083
0.108,0.05,500,10,0.0227501319481792
0.108,0.1,500,10,0.0227501319481792
0.108,0.15,500,10,0.0227501319481792
0.106,0.3,500,10,0.0227501319481792
0.106,0.4,500,10,0.0227501319481792
0.114,0.05,500,10,0.0110054197000083
0.114,0.1,500,10,0.0110054197000083
0.114,0.15,500,10,0.0110054197000083
0.114,0.3,500,10,0.0110054197000083
0.112,0.4,500,10,0.0110054197000083
0.108,0.05,500,10,0.00620966532577615
0.108,0.1,500,10,0.00620966532577615
0.108,0.15,500,10,0.00620966532577615
0.106,0.3,500,10,0.00620966532577615
0.106,0.4,500,10,0.00620966532577615
0.114,0.05,500,10,0.0021134021545281
0.114,0.1,500,10,0.0021134021545281
0.114,0.15,500,10,0.0021134021545281
0.114,0.3,500,10,0.0021134021545281
0.112,0.4,500,10,0.0021134021545281
0.11,0.05,500,10,0.00620966532577615
0.11,0.1,500,10,0.00620966532577615
0.11,0.15,500,10,0.00620966532577615
0.11,0.3,500,10,0.00620966532577615
0.11,0.4,500,10,0.00620966532577615
0.114,0.05,500,10,0.0021134021545281
0.114,0.1,500,10,0.0021134021545281
0.114,0.15,500,10,0.0021134021545281
0.114,0.3,500,10,0.0021134021545281
0.112,0.4,500,10,0.0021134021545281
0.11,0.05,500,10,0.0013498980316301
0.11,0.1,500,10,0.0013498980316301
0.11,0.15,500,10,0.0013498980316301
0.11,0.3,500,10,0.0013498980316301
0.11,0.4,500,10,0.0013498980316301
0.114,0.05,500,10,0.000300066897308382
0.114,0.1,500,10,0.000300066897308382
0.114,0.15,500,10,0.000300066897308382
0.114,0.3,500,10,0.000300066897308382
0.112,0.4,500,10,0.000300066897308382
