nom.size,an,N,T,omega
0.1,1.00E-05,100,2,-0.766159318
0.11,5.00E-05,100,2,-0.766159318
0.106,1.00E-04,100,2,-0.766159318
0.098,5.00E-04,100,2,-0.766159318
0.098,0.001,100,2,-0.766159318
0.078,0.005,100,2,-0.766159318
0.118,1.00E-05,100,2,-0.651426597
0.114,5.00E-05,100,2,-0.651426597
0.106,1.00E-04,100,2,-0.651426597
0.102,5.00E-04,100,2,-0.651426597
0.092,0.001,100,2,-0.651426597
0.078,0.005,100,2,-0.651426597
0.122,1.00E-05,100,2,-0.809785959
0.122,5.00E-05,100,2,-0.809785959
0.116,1.00E-04,100,2,-0.809785959
0.112,5.00E-04,100,2,-0.809785959
0.098,0.001,100,2,-0.809785959
0.082,0.005,100,2,-0.809785959
0.132,1.00E-05,100,2,-0.303543687
0.126,5.00E-05,100,2,-0.303543687
0.118,1.00E-04,100,2,-0.303543687
0.094,5.00E-04,100,2,-0.303543687
0.09,0.001,100,2,-0.303543687
0.06,0.005,100,2,-0.303543687
0.13,1.00E-05,100,2,-0.404451011
0.122,5.00E-05,100,2,-0.404451011
0.118,1.00E-04,100,2,-0.404451011
0.092,5.00E-04,100,2,-0.404451011
0.084,0.001,100,2,-0.404451011
0.072,0.005,100,2,-0.404451011
0.12,1.00E-05,100,2,-0.231978615
0.112,5.00E-05,100,2,-0.231978615
0.112,1.00E-04,100,2,-0.231978615
0.098,5.00E-04,100,2,-0.231978615
0.088,0.001,100,2,-0.231978615
0.066,0.005,100,2,-0.231978615
0.148,1.00E-05,100,2,0.477151753
0.152,5.00E-05,100,2,0.477151753
0.142,1.00E-04,100,2,0.477151753
0.12,5.00E-04,100,2,0.477151753
0.112,0.001,100,2,0.477151753
0.086,0.005,100,2,0.477151753
0.116,1.00E-05,100,2,0.254410038
0.114,5.00E-05,100,2,0.254410038
0.114,1.00E-04,100,2,0.254410038
0.09,5.00E-04,100,2,0.254410038
0.092,0.001,100,2,0.254410038
0.08,0.005,100,2,0.254410038
0.114,1.00E-05,100,2,0.367062425
0.114,5.00E-05,100,2,0.367062425
0.11,1.00E-04,100,2,0.367062425
0.098,5.00E-04,100,2,0.367062425
0.09,0.001,100,2,0.367062425
0.066,0.005,100,2,0.367062425
0.214,1.00E-05,100,2,1.672419869
0.2,5.00E-05,100,2,1.672419869
0.196,1.00E-04,100,2,1.672419869
0.17,5.00E-04,100,2,1.672419869
0.158,0.001,100,2,1.672419869
0.116,0.005,100,2,1.672419869
0.122,1.00E-05,100,2,0.61429924
0.116,5.00E-05,100,2,0.61429924
0.116,1.00E-04,100,2,0.61429924
0.088,5.00E-04,100,2,0.61429924
0.084,0.001,100,2,0.61429924
0.066,0.005,100,2,0.61429924
0.186,1.00E-05,100,2,36.73680057
0.188,5.00E-05,100,2,36.73680057
0.178,1.00E-04,100,2,36.73680057
0.164,5.00E-04,100,2,36.73680057
0.144,0.001,100,2,36.73680057
0.094,0.005,100,2,36.73680057
0.108,1.00E-05,100,2,-0.307558483
0.108,5.00E-05,100,2,-0.307558483
0.098,1.00E-04,100,2,-0.307558483
0.094,5.00E-04,100,2,-0.307558483
0.09,0.001,100,2,-0.307558483
0.068,0.005,100,2,-0.307558483
0.126,1.00E-05,100,2,-0.279235679
0.124,5.00E-05,100,2,-0.279235679
0.114,1.00E-04,100,2,-0.279235679
0.106,5.00E-04,100,2,-0.279235679
0.098,0.001,100,2,-0.279235679
0.08,0.005,100,2,-0.279235679
0.096,1.00E-05,100,2,-0.364435441
0.096,5.00E-05,100,2,-0.364435441
0.094,1.00E-04,100,2,-0.364435441
0.084,5.00E-04,100,2,-0.364435441
0.078,0.001,100,2,-0.364435441
0.056,0.005,100,2,-0.364435441
0.138,1.00E-05,100,2,0.299406169
0.128,5.00E-05,100,2,0.299406169
0.12,1.00E-04,100,2,0.299406169
0.1,5.00E-04,100,2,0.299406169
0.094,0.001,100,2,0.299406169
0.074,0.005,100,2,0.299406169
0.142,1.00E-05,100,2,-0.001040847
0.134,5.00E-05,100,2,-0.001040847
0.128,1.00E-04,100,2,-0.001040847
0.106,5.00E-04,100,2,-0.001040847
0.104,0.001,100,2,-0.001040847
0.072,0.005,100,2,-0.001040847
0.098,1.00E-05,100,2,0.50365193
0.102,5.00E-05,100,2,0.50365193
0.092,1.00E-04,100,2,0.50365193
0.076,5.00E-04,100,2,0.50365193
0.072,0.001,100,2,0.50365193
0.052,0.005,100,2,0.50365193
0.09,1.00E-05,100,5,-0.766159318
0.088,5.00E-05,100,5,-0.766159318
0.086,1.00E-04,100,5,-0.766159318
0.09,5.00E-04,100,5,-0.766159318
0.088,0.001,100,5,-0.766159318
0.08,0.005,100,5,-0.766159318
0.062,1.00E-05,100,5,-0.651426597
0.062,5.00E-05,100,5,-0.651426597
0.062,1.00E-04,100,5,-0.651426597
0.06,5.00E-04,100,5,-0.651426597
0.062,0.001,100,5,-0.651426597
0.054,0.005,100,5,-0.651426597
0.072,1.00E-05,100,5,-0.809785959
0.068,5.00E-05,100,5,-0.809785959
0.068,1.00E-04,100,5,-0.809785959
0.066,5.00E-04,100,5,-0.809785959
0.068,0.001,100,5,-0.809785959
0.062,0.005,100,5,-0.809785959
0.07,1.00E-05,100,5,-0.303543687
0.074,5.00E-05,100,5,-0.303543687
0.074,1.00E-04,100,5,-0.303543687
0.072,5.00E-04,100,5,-0.303543687
0.072,0.001,100,5,-0.303543687
0.068,0.005,100,5,-0.303543687
0.058,1.00E-05,100,5,-0.404451011
0.054,5.00E-05,100,5,-0.404451011
0.054,1.00E-04,100,5,-0.404451011
0.054,5.00E-04,100,5,-0.404451011
0.052,0.001,100,5,-0.404451011
0.052,0.005,100,5,-0.404451011
0.08,1.00E-05,100,5,-0.231978615
0.08,5.00E-05,100,5,-0.231978615
0.08,1.00E-04,100,5,-0.231978615
0.078,5.00E-04,100,5,-0.231978615
0.078,0.001,100,5,-0.231978615
0.074,0.005,100,5,-0.231978615
0.048,1.00E-05,100,5,0.477151753
0.048,5.00E-05,100,5,0.477151753
0.048,1.00E-04,100,5,0.477151753
0.048,5.00E-04,100,5,0.477151753
0.048,0.001,100,5,0.477151753
0.044,0.005,100,5,0.477151753
0.064,1.00E-05,100,5,0.254410038
0.064,5.00E-05,100,5,0.254410038
0.064,1.00E-04,100,5,0.254410038
0.064,5.00E-04,100,5,0.254410038
0.062,0.001,100,5,0.254410038
0.058,0.005,100,5,0.254410038
0.054,1.00E-05,100,5,0.367062425
0.056,5.00E-05,100,5,0.367062425
0.056,1.00E-04,100,5,0.367062425
0.054,5.00E-04,100,5,0.367062425
0.056,0.001,100,5,0.367062425
0.05,0.005,100,5,0.367062425
0.038,1.00E-05,100,5,1.672419869
0.038,5.00E-05,100,5,1.672419869
0.04,1.00E-04,100,5,1.672419869
0.04,5.00E-04,100,5,1.672419869
0.036,0.001,100,5,1.672419869
0.034,0.005,100,5,1.672419869
0.056,1.00E-05,100,5,0.61429924
0.056,5.00E-05,100,5,0.61429924
0.054,1.00E-04,100,5,0.61429924
