"nom.size","an","N","T","omega"
0.076,0.05,100,2,-0.766159318147192
0.036,0.1,100,2,-0.766159318147192
0.032,0.15,100,2,-0.766159318147192
0.026,0.2,100,2,-0.766159318147192
0.024,0.3,100,2,-0.766159318147192
0.024,0.4,100,2,-0.766159318147192
0.042,0.05,100,2,-0.651426596680754
0.028,0.1,100,2,-0.651426596680754
0.026,0.15,100,2,-0.651426596680754
0.024,0.2,100,2,-0.651426596680754
0.022,0.3,100,2,-0.651426596680754
0.016,0.4,100,2,-0.651426596680754
0.046,0.05,100,2,-0.809785959299175
0.038,0.1,100,2,-0.809785959299175
0.036,0.15,100,2,-0.809785959299175
0.032,0.2,100,2,-0.809785959299175
0.026,0.3,100,2,-0.809785959299175
0.018,0.4,100,2,-0.809785959299175
0.04,0.05,100,2,-0.303543686628153
0.028,0.1,100,2,-0.303543686628153
0.026,0.15,100,2,-0.303543686628153
0.022,0.2,100,2,-0.303543686628153
0.014,0.3,100,2,-0.303543686628153
0.012,0.4,100,2,-0.303543686628153
0.046,0.05,100,2,-0.404451010977764
0.034,0.1,100,2,-0.404451010977764
0.03,0.15,100,2,-0.404451010977764
0.028,0.2,100,2,-0.404451010977764
0.028,0.3,100,2,-0.404451010977764
0.02,0.4,100,2,-0.404451010977764
0.044,0.05,100,2,-0.23197861507669
0.036,0.1,100,2,-0.23197861507669
0.028,0.15,100,2,-0.23197861507669
0.026,0.2,100,2,-0.23197861507669
0.018,0.3,100,2,-0.23197861507669
0.018,0.4,100,2,-0.23197861507669
0.05,0.05,100,2,0.47715175266195
0.036,0.1,100,2,0.47715175266195
0.03,0.15,100,2,0.47715175266195
0.03,0.2,100,2,0.47715175266195
0.03,0.3,100,2,0.47715175266195
0.026,0.4,100,2,0.47715175266195
0.05,0.05,100,2,0.254410038098349
0.046,0.1,100,2,0.254410038098349
0.042,0.15,100,2,0.254410038098349
0.042,0.2,100,2,0.254410038098349
0.032,0.3,100,2,0.254410038098349
0.026,0.4,100,2,0.254410038098349
0.038,0.05,100,2,0.367062425031398
0.028,0.1,100,2,0.367062425031398
0.024,0.15,100,2,0.367062425031398
0.022,0.2,100,2,0.367062425031398
0.018,0.3,100,2,0.367062425031398
0.016,0.4,100,2,0.367062425031398
0.038,0.05,100,2,1.67241986935199
0.036,0.1,100,2,1.67241986935199
0.034,0.15,100,2,1.67241986935199
0.03,0.2,100,2,1.67241986935199
0.03,0.3,100,2,1.67241986935199
0.026,0.4,100,2,1.67241986935199
0.036,0.05,100,2,0.614299239825076
0.026,0.1,100,2,0.614299239825076
0.026,0.15,100,2,0.614299239825076
0.022,0.2,100,2,0.614299239825076
0.018,0.3,100,2,0.614299239825076
0.016,0.4,100,2,0.614299239825076
0.032,0.05,100,2,36.7368005696771
0.024,0.1,100,2,36.7368005696771
0.022,0.15,100,2,36.7368005696771
0.022,0.2,100,2,36.7368005696771
0.022,0.3,100,2,36.7368005696771
0.016,0.4,100,2,36.7368005696771
0.034,0.05,100,2,-0.307558482589549
0.024,0.1,100,2,-0.307558482589549
0.024,0.15,100,2,-0.307558482589549
0.022,0.2,100,2,-0.307558482589549
0.016,0.3,100,2,-0.307558482589549
0.014,0.4,100,2,-0.307558482589549
0.046,0.05,100,2,-0.279235678741219
0.038,0.1,100,2,-0.279235678741219
0.034,0.15,100,2,-0.279235678741219
0.032,0.2,100,2,-0.279235678741219
0.022,0.3,100,2,-0.279235678741219
0.022,0.4,100,2,-0.279235678741219
0.036,0.05,100,2,-0.364435441168591
0.026,0.1,100,2,-0.364435441168591
0.022,0.15,100,2,-0.364435441168591
0.018,0.2,100,2,-0.364435441168591
0.016,0.3,100,2,-0.364435441168591
0.012,0.4,100,2,-0.364435441168591
0.036,0.05,100,2,0.299406169396449
0.03,0.1,100,2,0.299406169396449
0.028,0.15,100,2,0.299406169396449
0.028,0.2,100,2,0.299406169396449
0.026,0.3,100,2,0.299406169396449
0.026,0.4,100,2,0.299406169396449
0.046,0.05,100,2,-0.00104084705110318
0.036,0.1,100,2,-0.00104084705110318
0.036,0.15,100,2,-0.00104084705110318
0.032,0.2,100,2,-0.00104084705110318
0.02,0.3,100,2,-0.00104084705110318
0.02,0.4,100,2,-0.00104084705110318
0.034,0.05,100,2,0.503651929810128
0.028,0.1,100,2,0.503651929810128
0.026,0.15,100,2,0.503651929810128
0.026,0.2,100,2,0.503651929810128
0.02,0.3,100,2,0.503651929810128
0.016,0.4,100,2,0.503651929810128
0.066,0.05,100,5,-0.766159318147192
0.058,0.1,100,5,-0.766159318147192
0.052,0.15,100,5,-0.766159318147192
0.05,0.2,100,5,-0.766159318147192
0.05,0.3,100,5,-0.766159318147192
0.048,0.4,100,5,-0.766159318147192
0.044,0.05,100,5,-0.651426596680754
0.04,0.1,100,5,-0.651426596680754
0.038,0.15,100,5,-0.651426596680754
0.036,0.2,100,5,-0.651426596680754
0.034,0.3,100,5,-0.651426596680754
0.034,0.4,100,5,-0.651426596680754
0.054,0.05,100,5,-0.809785959299175
0.052,0.1,100,5,-0.809785959299175
0.044,0.15,100,5,-0.809785959299175
0.044,0.2,100,5,-0.809785959299175
0.044,0.3,100,5,-0.809785959299175
0.044,0.4,100,5,-0.809785959299175
0.056,0.05,100,5,-0.303543686628153
0.05,0.1,100,5,-0.303543686628153
0.048,0.15,100,5,-0.303543686628153
0.042,0.2,100,5,-0.303543686628153
0.038,0.3,100,5,-0.303543686628153
0.038,0.4,100,5,-0.303543686628153
0.032,0.05,100,5,-0.404451010977764
0.024,0.1,100,5,-0.404451010977764
0.022,0.15,100,5,-0.404451010977764
0.022,0.2,100,5,-0.404451010977764
0.024,0.3,100,5,-0.404451010977764
0.024,0.4,100,5,-0.404451010977764
0.056,0.05,100,5,-0.23197861507669
0.054,0.1,100,5,-0.23197861507669
0.054,0.15,100,5,-0.23197861507669
0.054,0.2,100,5,-0.23197861507669
0.044,0.3,100,5,-0.23197861507669
0.044,0.4,100,5,-0.23197861507669
0.028,0.05,100,5,0.47715175266195
0.026,0.1,100,5,0.47715175266195
0.024,0.15,100,5,0.47715175266195
0.024,0.2,100,5,0.47715175266195
0.022,0.3,100,5,0.47715175266195
0.02,0.4,100,5,0.47715175266195
0.04,0.05,100,5,0.254410038098349
0.038,0.1,100,5,0.254410038098349
0.034,0.15,100,5,0.254410038098349
0.034,0.2,100,5,0.254410038098349
0.034,0.3,100,5,0.254410038098349
0.03,0.4,100,5,0.254410038098349
0.034,0.05,100,5,0.367062425031398
0.03,0.1,100,5,0.367062425031398
0.028,0.15,100,5,0.367062425031398
0.028,0.2,100,5,0.367062425031398
0.026,0.3,100,5,0.367062425031398
0.024,0.4,100,5,0.367062425031398
0.024,0.05,100,5,1.67241986935199
0.024,0.1,100,5,1.67241986935199
0.022,0.15,100,5,1.67241986935199
0.02,0.2,100,5,1.67241986935199
0.02,0.3,100,5,1.67241986935199
0.02,0.4,100,5,1.67241986935199
0.036,0.05,100,5,0.614299239825076
0.034,0.1,100,5,0.614299239825076
0.034,0.15,100,5,0.614299239825076
0.026,0.2,100,5,0.614299239825076
0.024,0.3,100,5,0.614299239825076
0.024,0.4,100,5,0.614299239825076
0.026,0.05,100,5,36.7368005696771
0.022,0.1,100,5,36.7368005696771
0.02,0.15,100,5,36.7368005696771
0.02,0.2,100,5,36.7368005696771
0.016,0.3,100,5,36.7368005696771
0.016,0.4,100,5,36.7368005696771
0.044,0.05,100,5,-0.307558482589549
0.038,0.1,100,5,-0.307558482589549
0.038,0.15,100,5,-0.307558482589549
0.036,0.2,100,5,-0.307558482589549
0.034,0.3,100,5,-0.307558482589549
0.032,0.4,100,5,-0.307558482589549
0.042,0.05,100,5,-0.279235678741219
0.038,0.1,100,5,-0.279235678741219
0.036,0.15,100,5,-0.279235678741219
0.034,0.2,100,5,-0.279235678741219
0.032,0.3,100,5,-0.279235678741219
0.032,0.4,100,5,-0.279235678741219
0.052,0.05,100,5,-0.364435441168591
0.044,0.1,100,5,-0.364435441168591
0.042,0.15,100,5,-0.364435441168591
0.04,0.2,100,5,-0.364435441168591
0.04,0.3,100,5,-0.364435441168591
0.038,0.4,100,5,-0.364435441168591
0.044,0.05,100,5,0.299406169396449
0.036,0.1,100,5,0.299406169396449
0.032,0.15,100,5,0.299406169396449
0.03,0.2,100,5,0.299406169396449
0.028,0.3,100,5,0.299406169396449
0.028,0.4,100,5,0.299406169396449
0.044,0.05,100,5,-0.00104084705110318
0.038,0.1,100,5,-0.00104084705110318
0.034,0.15,100,5,-0.00104084705110318
0.034,0.2,100,5,-0.00104084705110318
0.034,0.3,100,5,-0.00104084705110318
0.028,0.4,100,5,-0.00104084705110318
0.05,0.05,100,5,0.503651929810128
0.042,0.1,100,5,0.503651929810128
0.042,0.15,100,5,0.503651929810128
0.042,0.2,100,5,0.503651929810128
0.036,0.3,100,5,0.503651929810128
0.034,0.4,100,5,0.503651929810128
0.028,0.05,100,10,-0.766159318147192
0.028,0.1,100,10,-0.766159318147192
0.028,0.15,100,10,-0.766159318147192
0.028,0.2,100,10,-0.766159318147192
0.026,0.3,100,10,-0.766159318147192
0.026,0.4,100,10,-0.766159318147192
0.03,0.05,100,10,-0.651426596680754
0.028,0.1,100,10,-0.651426596680754
0.028,0.15,100,10,-0.651426596680754
0.028,0.2,100,10,-0.651426596680754
0.028,0.3,100,10,-0.651426596680754
0.028,0.4,100,10,-0.651426596680754
0.03,0.05,100,10,-0.809785959299175
0.03,0.1,100,10,-0.809785959299175
0.03,0.15,100,10,-0.809785959299175
0.03,0.2,100,10,-0.809785959299175
0.03,0.3,100,10,-0.809785959299175
0.03,0.4,100,10,-0.809785959299175
0.038,0.05,100,10,-0.303543686628153
0.038,0.1,100,10,-0.303543686628153
0.038,0.15,100,10,-0.303543686628153
0.038,0.2,100,10,-0.303543686628153
0.038,0.3,100,10,-0.303543686628153
0.034,0.4,100,10,-0.303543686628153
0.044,0.05,100,10,-0.404451010977764
0.044,0.1,100,10,-0.404451010977764
0.042,0.15,100,10,-0.404451010977764
0.04,0.2,100,10,-0.404451010977764
0.04,0.3,100,10,-0.404451010977764
0.04,0.4,100,10,-0.404451010977764
0.04,0.05,100,10,-0.23197861507669
0.04,0.1,100,10,-0.23197861507669
0.04,0.15,100,10,-0.23197861507669
0.04,0.2,100,10,-0.23197861507669
0.038,0.3,100,10,-0.23197861507669
0.036,0.4,100,10,-0.23197861507669
0.022,0.05,100,10,0.47715175266195
0.022,0.1,100,10,0.47715175266195
0.022,0.15,100,10,0.47715175266195
0.022,0.2,100,10,0.47715175266195
0.02,0.3,100,10,0.47715175266195
0.02,0.4,100,10,0.47715175266195
0.036,0.05,100,10,0.254410038098349
0.034,0.1,100,10,0.254410038098349
0.032,0.15,100,10,0.254410038098349
0.032,0.2,100,10,0.254410038098349
0.03,0.3,100,10,0.254410038098349
0.028,0.4,100,10,0.254410038098349
0.028,0.05,100,10,0.367062425031398
0.028,0.1,100,10,0.367062425031398
0.028,0.15,100,10,0.367062425031398
0.026,0.2,100,10,0.367062425031398
0.024,0.3,100,10,0.367062425031398
0.024,0.4,100,10,0.367062425031398
0.018,0.05,100,10,1.67241986935199
0.014,0.1,100,10,1.67241986935199
0.014,0.15,100,10,1.67241986935199
0.014,0.2,100,10,1.67241986935199
0.014,0.3,100,10,1.67241986935199
0.014,0.4,100,10,1.67241986935199
0.048,0.05,100,10,0.614299239825076
0.046,0.1,100,10,0.614299239825076
0.046,0.15,100,10,0.614299239825076
0.046,0.2,100,10,0.614299239825076
0.046,0.3,100,10,0.614299239825076
0.046,0.4,100,10,0.614299239825076
0.034,0.05,100,10,36.7368005696771
0.034,0.1,100,10,36.7368005696771
0.034,0.15,100,10,36.7368005696771
0.032,0.2,100,10,36.7368005696771
0.03,0.3,100,10,36.7368005696771
0.024,0.4,100,10,36.7368005696771
0.026,0.05,100,10,-0.307558482589549
0.028,0.1,100,10,-0.307558482589549
0.026,0.15,100,10,-0.307558482589549
0.022,0.2,100,10,-0.307558482589549
0.022,0.3,100,10,-0.307558482589549
0.022,0.4,100,10,-0.307558482589549
0.024,0.05,100,10,-0.279235678741219
0.024,0.1,100,10,-0.279235678741219
0.024,0.15,100,10,-0.279235678741219
0.024,0.2,100,10,-0.279235678741219
0.024,0.3,100,10,-0.279235678741219
0.024,0.4,100,10,-0.279235678741219
0.034,0.05,100,10,-0.364435441168591
0.034,0.1,100,10,-0.364435441168591
0.034,0.15,100,10,-0.364435441168591
0.034,0.2,100,10,-0.364435441168591
0.032,0.3,100,10,-0.364435441168591
0.03,0.4,100,10,-0.364435441168591
0.04,0.05,100,10,0.299406169396449
0.042,0.1,100,10,0.299406169396449
0.04,0.15,100,10,0.299406169396449
0.04,0.2,100,10,0.299406169396449
0.038,0.3,100,10,0.299406169396449
0.036,0.4,100,10,0.299406169396449
0.046,0.05,100,10,-0.00104084705110318
0.046,0.1,100,10,-0.00104084705110318
0.046,0.15,100,10,-0.00104084705110318
0.046,0.2,100,10,-0.00104084705110318
0.046,0.3,100,10,-0.00104084705110318
0.046,0.4,100,10,-0.00104084705110318
0.032,0.05,100,10,0.503651929810128
0.034,0.1,100,10,0.503651929810128
0.028,0.15,100,10,0.503651929810128
0.03,0.2,100,10,0.503651929810128
0.03,0.3,100,10,0.503651929810128
0.028,0.4,100,10,0.503651929810128
0.032,0.05,500,2,-0.766159318147192
0.024,0.1,500,2,-0.766159318147192
0.02,0.15,500,2,-0.766159318147192
0.02,0.2,500,2,-0.766159318147192
0.016,0.3,500,2,-0.766159318147192
0.018,0.4,500,2,-0.766159318147192
0.032,0.05,500,2,-0.651426596680754
0.026,0.1,500,2,-0.651426596680754
0.024,0.15,500,2,-0.651426596680754
0.02,0.2,500,2,-0.651426596680754
0.016,0.3,500,2,-0.651426596680754
0.014,0.4,500,2,-0.651426596680754
0.042,0.05,500,2,-0.809785959299175
0.034,0.1,500,2,-0.809785959299175
0.03,0.15,500,2,-0.809785959299175
0.028,0.2,500,2,-0.809785959299175
0.024,0.3,500,2,-0.809785959299175
0.02,0.4,500,2,-0.809785959299175
0.02,0.05,500,2,-0.303543686628153
0.02,0.1,500,2,-0.303543686628153
0.02,0.15,500,2,-0.303543686628153
0.018,0.2,500,2,-0.303543686628153
0.018,0.3,500,2,-0.303543686628153
0.016,0.4,500,2,-0.303543686628153
0.028,0.05,500,2,-0.404451010977764
0.024,0.1,500,2,-0.404451010977764
0.022,0.15,500,2,-0.404451010977764
0.02,0.2,500,2,-0.404451010977764
0.02,0.3,500,2,-0.404451010977764
0.02,0.4,500,2,-0.404451010977764
0.038,0.05,500,2,-0.23197861507669
0.036,0.1,500,2,-0.23197861507669
0.032,0.15,500,2,-0.23197861507669
0.028,0.2,500,2,-0.23197861507669
0.03,0.3,500,2,-0.23197861507669
0.03,0.4,500,2,-0.23197861507669
0.042,0.05,500,2,0.47715175266195
0.04,0.1,500,2,0.47715175266195
0.036,0.15,500,2,0.47715175266195
0.032,0.2,500,2,0.47715175266195
0.024,0.3,500,2,0.47715175266195
0.022,0.4,500,2,0.47715175266195
0.04,0.05,500,2,0.254410038098349
0.032,0.1,500,2,0.254410038098349
0.03,0.15,500,2,0.254410038098349
0.028,0.2,500,2,0.254410038098349
0.018,0.3,500,2,0.254410038098349
0.018,0.4,500,2,0.254410038098349
0.024,0.05,500,2,0.367062425031398
0.022,0.1,500,2,0.367062425031398
0.022,0.15,500,2,0.367062425031398
0.018,0.2,500,2,0.367062425031398
0.02,0.3,500,2,0.367062425031398
0.018,0.4,500,2,0.367062425031398
0.038,0.05,500,2,1.67241986935199
0.036,0.1,500,2,1.67241986935199
0.032,0.15,500,2,1.67241986935199
0.032,0.2,500,2,1.67241986935199
0.03,0.3,500,2,1.67241986935199
0.028,0.4,500,2,1.67241986935199
0.03,0.05,500,2,0.614299239825076
0.026,0.1,500,2,0.614299239825076
0.024,0.15,500,2,0.614299239825076
0.022,0.2,500,2,0.614299239825076
0.022,0.3,500,2,0.614299239825076
0.022,0.4,500,2,0.614299239825076
0.028,0.05,500,2,36.7368005696771
0.028,0.1,500,2,36.7368005696771
0.024,0.15,500,2,36.7368005696771
0.024,0.2,500,2,36.7368005696771
0.018,0.3,500,2,36.7368005696771
0.016,0.4,500,2,36.7368005696771
0.04,0.05,500,2,-0.307558482589549
