"nom.size","an","N","T","omega"
0.086,0.01,100,2,-7.52034284870614
0.094,0.05,100,2,-7.52034284870614
0.076,0.1,100,2,-7.52034284870614
0.038,0.2,100,2,-7.52034284870614
0.044,0.3,100,2,-7.52034284870614
0.048,0.4,100,2,-7.52034284870614
0.12,0.01,100,2,-6.61941216140538
0.064,0.05,100,2,-6.61941216140538
0.046,0.1,100,2,-6.61941216140538
0.048,0.2,100,2,-6.61941216140538
0.05,0.3,100,2,-6.61941216140538
0.032,0.4,100,2,-6.61941216140538
0.092,0.01,100,2,-7.37900605698019
0.062,0.05,100,2,-7.37900605698019
0.056,0.1,100,2,-7.37900605698019
0.056,0.2,100,2,-7.37900605698019
0.046,0.3,100,2,-7.37900605698019
0.038,0.4,100,2,-7.37900605698019
0.082,0.01,100,2,-6.47822011386786
0.064,0.05,100,2,-6.47822011386786
0.054,0.1,100,2,-6.47822011386786
0.046,0.2,100,2,-6.47822011386786
0.044,0.3,100,2,-6.47822011386786
0.032,0.4,100,2,-6.47822011386786
0.088,0.01,100,2,-8.8355906761459
0.076,0.05,100,2,-8.8355906761459
0.054,0.1,100,2,-8.8355906761459
0.046,0.2,100,2,-8.8355906761459
0.034,0.3,100,2,-8.8355906761459
0.032,0.4,100,2,-8.8355906761459
0.086,0.01,100,2,-7.69457671655681
0.066,0.05,100,2,-7.69457671655681
0.058,0.1,100,2,-7.69457671655681
0.044,0.2,100,2,-7.69457671655681
0.04,0.3,100,2,-7.69457671655681
0.038,0.4,100,2,-7.69457671655681
0.066,0.01,100,2,-8.69855670836281
0.066,0.05,100,2,-8.69855670836281
0.05,0.1,100,2,-8.69855670836281
0.066,0.2,100,2,-8.69855670836281
0.056,0.3,100,2,-8.69855670836281
0.05,0.4,100,2,-8.69855670836281
0.096,0.01,100,2,-7.5584287942071
0.068,0.05,100,2,-7.5584287942071
0.076,0.1,100,2,-7.5584287942071
0.046,0.2,100,2,-7.5584287942071
0.052,0.3,100,2,-7.5584287942071
0.032,0.4,100,2,-7.5584287942071
0.102,0.01,100,2,-10.1508385035857
0.058,0.05,100,2,-10.1508385035857
0.048,0.1,100,2,-10.1508385035857
0.036,0.2,100,2,-10.1508385035857
0.042,0.3,100,2,-10.1508385035857
0.044,0.4,100,2,-10.1508385035857
0.084,0.01,100,2,-8.76974127170824
0.078,0.05,100,2,-8.76974127170824
0.044,0.1,100,2,-8.76974127170824
0.042,0.2,100,2,-8.76974127170824
0.052,0.3,100,2,-8.76974127170824
0.048,0.4,100,2,-8.76974127170824
0.072,0.01,100,2,-10.0181073597454
0.066,0.05,100,2,-10.0181073597454
0.04,0.1,100,2,-10.0181073597454
0.046,0.2,100,2,-10.0181073597454
0.048,0.3,100,2,-10.0181073597454
0.036,0.4,100,2,-10.0181073597454
0.088,0.01,100,2,-8.63863747454634
0.048,0.05,100,2,-8.63863747454634
0.068,0.1,100,2,-8.63863747454634
0.064,0.2,100,2,-8.63863747454634
0.044,0.3,100,2,-8.63863747454634
0.038,0.4,100,2,-8.63863747454634
0.062,0.01,100,2,-10.3665468358987
0.054,0.05,100,2,-10.3665468358987
0.05,0.1,100,2,-10.3665468358987
0.054,0.2,100,2,-10.3665468358987
0.042,0.3,100,2,-10.3665468358987
0.03,0.4,100,2,-10.3665468358987
0.072,0.01,100,2,-8.93353739537825
0.074,0.05,100,2,-8.93353739537825
0.07,0.1,100,2,-8.93353739537825
0.042,0.2,100,2,-8.93353739537825
0.03,0.3,100,2,-8.93353739537825
0.032,0.4,100,2,-8.93353739537825
0.072,0.01,100,2,-10.2317230516015
