"nom.size","an","N","T","omega"
0.106,0.05,100,2,-4.50490334495273
0.068,0.1,100,2,-4.50490334495273
0.054,0.15,100,2,-4.50490334495273
0.04,0.3,100,2,-4.50490334495273
0.038,0.4,100,2,-4.50490334495273
0.172,0.05,100,2,-14.2209118033605
0.134,0.1,100,2,-14.2209118033605
0.114,0.15,100,2,-14.2209118033605
0.078,0.3,100,2,-14.2209118033605
0.07,0.4,100,2,-14.2209118033605
0.136,0.05,100,2,-6.85309779980658
0.106,0.1,100,2,-6.85309779980658
0.09,0.15,100,2,-6.85309779980658
0.076,0.3,100,2,-6.85309779980658
0.064,0.4,100,2,-6.85309779980658
0.196,0.05,100,2,-22.1299930518858
0.154,0.1,100,2,-22.1299930518858
0.134,0.15,100,2,-22.1299930518858
0.1,0.3,100,2,-22.1299930518858
0.092,0.4,100,2,-22.1299930518858
0.17,0.05,100,2,-9.13040772248909
0.13,0.1,100,2,-9.13040772248909
0.114,0.15,100,2,-9.13040772248909
0.098,0.3,100,2,-9.13040772248909
0.08,0.4,100,2,-9.13040772248909
0.206,0.05,100,2,-26.6171046562776
0.17,0.1,100,2,-26.6171046562776
0.15,0.15,100,2,-26.6171046562776
0.11,0.3,100,2,-26.6171046562776
0.106,0.4,100,2,-26.6171046562776
0.168,0.05,100,2,-8.11474802846037
0.12,0.1,100,2,-8.11474802846037
0.104,0.15,100,2,-8.11474802846037
0.084,0.3,100,2,-8.11474802846037
0.076,0.4,100,2,-8.11474802846037
0.198,0.05,100,2,-19.3060247649694
0.168,0.1,100,2,-19.3060247649694
0.148,0.15,100,2,-19.3060247649694
0.118,0.3,100,2,-19.3060247649694
0.11,0.4,100,2,-19.3060247649694
0.094,0.05,100,2,-5.90832263794922
0.076,0.1,100,2,-5.90832263794922
0.06,0.15,100,2,-5.90832263794922
0.044,0.3,100,2,-5.90832263794922
0.038,0.4,100,2,-5.90832263794922
0.204,0.05,100,2,-12.5122973719256
0.164,0.1,100,2,-12.5122973719256
0.142,0.15,100,2,-12.5122973719256
0.11,0.3,100,2,-12.5122973719256
0.102,0.4,100,2,-12.5122973719256
0.102,0.05,100,2,-7.44419423015931
0.08,0.1,100,2,-7.44419423015931
0.068,0.15,100,2,-7.44419423015931
0.046,0.3,100,2,-7.44419423015931
0.04,0.4,100,2,-7.44419423015931
0.194,0.05,100,2,-14.4679817031187
0.156,0.1,100,2,-14.4679817031187
0.14,0.15,100,2,-14.4679817031187
0.108,0.3,100,2,-14.4679817031187
0.098,0.4,100,2,-14.4679817031187
0.102,0.05,100,10,-4.50490334495273
0.102,0.1,100,10,-4.50490334495273
0.1,0.15,100,10,-4.50490334495273
0.096,0.3,100,10,-4.50490334495273
0.088,0.4,100,10,-4.50490334495273
0.094,0.05,100,10,-14.2209118033605
0.092,0.1,100,10,-14.2209118033605
0.088,0.15,100,10,-14.2209118033605
0.084,0.3,100,10,-14.2209118033605
0.082,0.4,100,10,-14.2209118033605
0.102,0.05,100,10,-6.85309779980658
0.102,0.1,100,10,-6.85309779980658
0.1,0.15,100,10,-6.85309779980658
0.096,0.3,100,10,-6.85309779980658
0.088,0.4,100,10,-6.85309779980658
0.096,0.05,100,10,-22.1299930518858
0.094,0.1,100,10,-22.1299930518858
0.09,0.15,100,10,-22.1299930518858
0.086,0.3,100,10,-22.1299930518858
0.084,0.4,100,10,-22.1299930518858
0.1,0.05,100,10,-9.13040772248909
0.1,0.1,100,10,-9.13040772248909
0.098,0.15,100,10,-9.13040772248909
0.09,0.3,100,10,-9.13040772248909
0.088,0.4,100,10,-9.13040772248909
0.1,0.05,100,10,-26.6171046562776
0.098,0.1,100,10,-26.6171046562776
0.098,0.15,100,10,-26.6171046562776
0.09,0.3,100,10,-26.6171046562776
0.086,0.4,100,10,-26.6171046562776
0.1,0.05,100,10,-8.11474802846037
0.1,0.1,100,10,-8.11474802846037
0.098,0.15,100,10,-8.11474802846037
0.09,0.3,100,10,-8.11474802846037
0.088,0.4,100,10,-8.11474802846037
0.1,0.05,100,10,-19.3060247649694
0.098,0.1,100,10,-19.3060247649694
0.098,0.15,100,10,-19.3060247649694
0.088,0.3,100,10,-19.3060247649694
0.086,0.4,100,10,-19.3060247649694
0.102,0.05,100,10,-5.90832263794922
0.102,0.1,100,10,-5.90832263794922
0.1,0.15,100,10,-5.90832263794922
0.096,0.3,100,10,-5.90832263794922
0.088,0.4,100,10,-5.90832263794922
0.094,0.05,100,10,-12.5122973719256
0.092,0.1,100,10,-12.5122973719256
0.088,0.15,100,10,-12.5122973719256
0.084,0.3,100,10,-12.5122973719256
0.082,0.4,100,10,-12.5122973719256
0.102,0.05,100,10,-7.44419423015931
0.102,0.1,100,10,-7.44419423015931
0.1,0.15,100,10,-7.44419423015931
0.096,0.3,100,10,-7.44419423015931
0.088,0.4,100,10,-7.44419423015931
0.1,0.05,100,10,-14.4679817031187
0.098,0.1,100,10,-14.4679817031187
