"","c(-1, 1),c(0.5, 0.5)","c(-0.5, 0.5),c(0.5, 0.5)","c(-1, 1),c(0.2, 0.8)","c(-0.5, 0.5),c(0.2, 0.8)"
"200,2",2,3,0.8,0.6
"400,2",3,3,1.4,1.2
"200,3",4.2,3.4,1,1.4
"400,3",6,2.6,2.6,1.8
"200,5",4.6,3.6,3.2,1.8
"400,5",2.2,4.2,2.4,1.8
"200,8",2.4,4.4,2.8,4.4
"400,8",4.6,3.2,2.6,4.2
"200,2",2.6,4.2,1.6,2.2
"400,2",3.4,4.4,1.8,3.4
"200,3",4.8,4.2,3,2.6
"400,3",6.4,4.2,3.4,2.2
"200,5",5.2,4,3.8,2.6
"400,5",2.2,4.2,2.4,2
"200,8",2.4,4.8,3,4.4
"400,8",4.6,3.4,2.6,4.4
"200,2",4.2,6.4,3.4,5.2
"400,2",4.2,5.4,3.6,4.2
"200,3",5,5.2,3.4,2.8
"400,3",6.4,4.6,3.4,2.4
"200,5",5.4,4.2,4,2.8
"400,5",2.2,4.4,2.4,2
"200,8",2.8,4.6,3,4.4
"400,8",4.6,3.4,2.6,4.4
