"","c(-1, 1),c(0.5, 0.5)","c(-0.5, 0.5),c(0.5, 0.5)","c(-1, 1),c(0.2, 0.8)","c(-0.5, 0.5),c(0.2, 0.8)"
"200,3",2.4,3.4,3.4,2.2
"400,3",4.2,3.6,2.6,2.2
"200,5",4.2,3.2,3,4.2
"400,5",3,3,5.4,2.4
"200,8",4,3.2,2.8,4.6
"400,8",3,3.4,3.6,4
"200,3",4.2,4.6,6.2,3.4
"400,3",5.2,3.8,3.6,3
"200,5",5.8,4.8,4.8,4.6
"400,5",3.2,3.4,5.8,2.6
"200,8",4.2,3.2,3.6,5
"400,8",3.6,3.4,3.6,4.2
"200,3",4.6,4.6,7.2,4
"400,3",5.2,3.8,3.8,3.6
"200,5",6,4.8,4.8,4.6
"400,5",3.2,3.4,5.8,2.6
"200,8",4.2,3.2,3.6,5
"400,8",3.6,3.4,3.6,4.4
