"","c(-1, 1),c(0.5, 0.5)","c(-0.5, 0.5),c(0.5, 0.5)","c(-1, 1),c(0.2, 0.8)","c(-0.5, 0.5),c(0.2, 0.8)"
"200,2",5.8,7.6,9.6,11.6
"400,2",4.2,3,6.4,8.4
"200,3",5,4.2,7.6,3.2
"400,3",6.6,2.4,6.8,2.4
"200,5",4.8,2.4,5.6,3
"400,5",2.2,3.6,4,2.2
"200,8",2.8,3.2,2.6,4.6
"400,8",4.6,3.4,2.8,4.6
"200,2",6.2,9,10,13.4
"400,2",4.2,3,7.4,9.6
"200,3",5,4.2,7.8,3.2
"400,3",6.8,2.4,6.6,2.4
"200,5",5,2.6,6,2.8
"400,5",2.2,3.6,4,2.2
"200,8",2.8,3.2,2.6,4.6
"400,8",4.6,3.4,3,4.6
"200,2",6.2,8.8,9.8,12.6
"400,2",4.2,3.2,7.2,9.2
"200,3",5,4.2,7.8,3.4
"400,3",6.8,2.4,6.6,2.4
"200,5",5,2.6,6,3
"400,5",2.2,3.6,4,2.2
"200,8",3,3.2,2.6,4.6
"400,8",4.6,3.4,3,4.6
